it,instant,local_optimum_value
0,0.0,73109.0
1,3.0059921741485596,73109.0
2,4.771176099777222,71406.0
3,7.688767910003662,71214.0
4,10.237276077270508,71214.0
5,11.089569091796875,71214.0
6,12.860603094100952,71214.0
7,13.80872917175293,71214.0
8,17.576056003570557,71214.0
9,23.415985107421875,71214.0
10,24.491595029830933,71214.0
11,89.03573203086853,71214.0
12,90.09874200820923,71214.0
13,95.83158302307129,71214.0
14,98.28756022453308,71214.0
15,99.36024332046509,71214.0
16,100.89985918998718,71214.0
17,101.85966205596924,71214.0
18,105.57775616645813,71214.0
19,106.6311891078949,71214.0
20,109.61385798454285,71214.0
21,110.70559906959534,71214.0
22,129.851646900177,70892.0
23,135.83397006988525,70892.0
24,137.06677198410034,70892.0
25,145.31426811218262,70892.0
26,167.85405898094177,70892.0
27,168.97041821479797,70892.0
28,175.7783751487732,70892.0
29,177.04999494552612,70892.0
30,185.04606413841248,70892.0
31,201.50986504554749,70892.0
32,202.64011311531067,70892.0
33,210.83623504638672,70892.0
34,218.58716797828674,70892.0
35,228.55579113960266,70892.0
36,229.7068190574646,70892.0
37,234.11156702041626,70892.0
38,235.2413239479065,70892.0
39,242.73092913627625,70892.0
40,250.3285300731659,70892.0
41,251.4899251461029,70892.0
42,259.76497197151184,70892.0
43,268.72610807418823,70892.0
44,269.8683650493622,70892.0
45,285.5311059951782,70257.0
46,287.1805031299591,70257.0
47,288.40703797340393,70257.0
48,293.04454708099365,70257.0
49,297.10605216026306,70257.0
50,298.19296002388,70257.0
51,301.41641211509705,70257.0
52,302.49995589256287,70257.0
53,304.1321048736572,70257.0
54,305.20753812789917,70257.0
55,306.9803841114044,70257.0
56,308.08346700668335,70257.0
57,312.61531710624695,70257.0
58,315.694580078125,70257.0
59,316.7807021141052,70257.0
60,319.8376181125641,70257.0
61,320.9354920387268,70257.0
62,325.568243265152,70257.0
63,326.66764521598816,70257.0
64,331.2129158973694,70257.0
65,336.23680996894836,70257.0
66,338.0057489871979,70257.0
67,339.1097819805145,70257.0
68,344.14199209213257,70257.0
69,345.51818895339966,70257.0
70,346.6709942817688,70257.0
71,350.8372039794922,70257.0
72,355.12409806251526,70257.0
73,359.85452008247375,70257.0
74,364.6740663051605,70257.0
75,368.71675515174866,70257.0
76,372.71843910217285,70257.0
77,376.6567862033844,70257.0
78,379.72246408462524,70257.0
79,380.8419141769409,70257.0
80,382.5278251171112,70257.0
81,383.6104838848114,70257.0
82,386.86211109161377,70257.0
83,387.9267120361328,70257.0
84,392.335156917572,70257.0
85,395.3919701576233,70257.0
86,396.2592360973358,70257.0
87,400.103178024292,70257.0
88,402.9638121128082,70257.0
89,404.10353922843933,70257.0
90,407.0899121761322,70257.0
91,408.1813910007477,70257.0
92,412.5738081932068,70257.0
93,416.9513461589813,70257.0
94,418.0384030342102,70257.0
95,422.6157371997833,70257.0
96,428.40906596183777,70257.0
97,432.354031085968,70257.0
98,436.4318540096283,70257.0
99,438.0676522254944,70257.0
100,439.15359115600586,70257.0
101,443.22292923927307,70257.0
102,447.06939697265625,70257.0
103,451.0238552093506,70257.0
104,454.0998229980469,70257.0
105,455.19775104522705,70257.0
106,459.26704502105713,70257.0
107,464.5956048965454,70257.0
108,470.28752613067627,70257.0
109,471.5143361091614,70257.0
110,475.57520508766174,70257.0
111,479.7987971305847,70257.0
112,480.886048078537,70257.0
113,484.73653197288513,70257.0
114,489.3340799808502,70257.0
115,490.44309401512146,70257.0
116,494.54950404167175,70257.0
117,497.56419706344604,70257.0
118,498.46483397483826,70257.0
119,499.9430730342865,70257.0
120,500.8927421569824,70257.0
121,506.444531917572,70257.0
122,507.53425097465515,70257.0
123,509.0108380317688,70257.0
124,510.1551139354706,70257.0
125,511.6614189147949,70257.0
126,512.6206851005554,70257.0
127,516.5763750076294,70257.0
128,520.7235419750214,70257.0
129,525.4018790721893,70257.0
130,528.5797140598297,70257.0
131,529.6764039993286,70257.0
132,531.2801661491394,70257.0
133,532.3773679733276,70257.0
134,536.6517460346222,70257.0
135,538.2244920730591,70257.0
136,539.29825091362,70257.0
137,543.9032938480377,70257.0
138,547.7906432151794,70257.0
139,552.692617893219,70257.0
140,556.8240649700165,70257.0
141,562.4693140983582,70257.0
142,563.5969841480255,70257.0
143,567.5377111434937,70257.0
144,572.4286980628967,70257.0
145,574.0726342201233,70257.0
146,575.1910240650177,70257.0
147,576.7631390094757,70257.0
148,577.8556201457977,70257.0
149,581.8682570457458,70257.0
150,585.8381910324097,70257.0
151,587.5039911270142,70257.0
152,588.6169919967651,70257.0
153,593.0639989376068,70257.0
154,597.4486331939697,70257.0
155,599.0128021240234,70257.0
156,600.1311752796173,70257.0
