datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-02-01_18-14-36_395956,73109.0,"[0, 2, 3, 1, 0];[0, 19, 28, 55, 27, 68, 54, 53, 74, 65, 24, 69, 64, 63, 71, 70, 35, 49, 40, 39, 66, 5, 51, 52, 50, 72, 67, 20, 58, 57, 14, 56, 9, 0];[0, 73, 6, 4, 12, 10, 59, 22, 62, 26, 21, 23, 13, 18, 37, 41, 44, 47, 46, 45, 48, 38, 36, 25, 17, 15, 16, 42, 43, 60, 61, 31, 30, 32, 33, 29, 34, 11, 7, 8, 0]",70200.0,"[0, 73, 7, 16, 20, 67, 2, 1, 3, 0];[0, 6, 4, 12, 10, 59, 22, 62, 26, 21, 18, 13, 23, 37, 41, 44, 47, 46, 48, 38, 36, 25, 17, 15, 42, 43, 60, 61, 31, 30, 32, 33, 29, 34, 11, 8, 0];[0, 19, 28, 54, 68, 27, 74, 53, 65, 24, 69, 64, 63, 70, 71, 35, 49, 39, 40, 45, 66, 5, 52, 51, 72, 50, 55, 58, 57, 14, 56, 9, 0]",2,1393.6531491279602
2021-02-01_18-37-59_302313,73109.0,"[0, 2, 3, 1, 0];[0, 19, 28, 55, 27, 68, 54, 53, 74, 65, 24, 69, 64, 63, 71, 70, 35, 49, 40, 39, 66, 5, 51, 52, 50, 72, 67, 20, 58, 57, 14, 56, 9, 0];[0, 73, 6, 4, 12, 10, 59, 22, 62, 26, 21, 23, 13, 18, 37, 41, 44, 47, 46, 45, 48, 38, 36, 25, 17, 15, 16, 42, 43, 60, 61, 31, 30, 32, 33, 29, 34, 11, 7, 8, 0]",70958.0,"[0, 4, 12, 10, 59, 22, 62, 26, 21, 18, 13, 23, 44, 47, 46, 45, 48, 36, 25, 17, 42, 43, 60, 61, 31, 29, 34, 8, 0];[0, 16, 15, 37, 38, 41, 33, 32, 30, 11, 7, 6, 73, 2, 1, 3, 0];[0, 19, 28, 55, 27, 68, 74, 53, 54, 65, 24, 69, 64, 63, 71, 70, 35, 49, 40, 39, 66, 5, 51, 52, 50, 72, 67, 20, 58, 57, 14, 56, 9, 0]",2,600.1978471279143
2021-02-01_18-48-07_286858,73109.0,"[0, 2, 3, 1, 0];[0, 19, 28, 55, 27, 68, 54, 53, 74, 65, 24, 69, 64, 63, 71, 70, 35, 49, 40, 39, 66, 5, 51, 52, 50, 72, 67, 20, 58, 57, 14, 56, 9, 0];[0, 73, 6, 4, 12, 10, 59, 22, 62, 26, 21, 23, 13, 18, 37, 41, 44, 47, 46, 45, 48, 38, 36, 25, 17, 15, 16, 42, 43, 60, 61, 31, 30, 32, 33, 29, 34, 11, 7, 8, 0]",70354.0,"[0, 6, 4, 12, 10, 59, 22, 62, 26, 21, 18, 13, 23, 44, 47, 46, 48, 38, 36, 25, 15, 42, 60, 61, 31, 30, 29, 34, 11, 7, 8, 0];[0, 19, 28, 54, 55, 68, 27, 74, 53, 65, 24, 69, 64, 63, 71, 70, 35, 49, 5, 51, 52, 72, 50, 67, 58, 57, 14, 56, 9, 0];[0, 73, 2, 1, 16, 17, 39, 40, 37, 33, 32, 43, 41, 45, 66, 20, 3, 0]",2,601.3721442222595
2021-02-01_18-58-17_880766,73109.0,"[0, 2, 3, 1, 0];[0, 19, 28, 55, 27, 68, 54, 53, 74, 65, 24, 69, 64, 63, 71, 70, 35, 49, 40, 39, 66, 5, 51, 52, 50, 72, 67, 20, 58, 57, 14, 56, 9, 0];[0, 73, 6, 4, 12, 10, 59, 22, 62, 26, 21, 23, 13, 18, 37, 41, 44, 47, 46, 45, 48, 38, 36, 25, 17, 15, 16, 42, 43, 60, 61, 31, 30, 32, 33, 29, 34, 11, 7, 8, 0]",68518.0,"[0, 19, 20, 28, 54, 55, 68, 27, 74, 53, 65, 24, 69, 64, 63, 71, 70, 35, 49, 39, 40, 45, 66, 5, 52, 51, 72, 50, 67, 58, 57, 14, 56, 9, 0];[0, 4, 12, 10, 59, 22, 62, 26, 21, 18, 13, 23, 44, 47, 46, 48, 36, 25, 17, 42, 43, 60, 61, 31, 29, 34, 8, 0];[0, 16, 15, 37, 38, 41, 33, 32, 30, 11, 7, 6, 73, 2, 1, 3, 0]",2,603.5815029144288
2021-02-01_19-08-30_586141,73109.0,"[0, 2, 3, 1, 0];[0, 19, 28, 55, 27, 68, 54, 53, 74, 65, 24, 69, 64, 63, 71, 70, 35, 49, 40, 39, 66, 5, 51, 52, 50, 72, 67, 20, 58, 57, 14, 56, 9, 0];[0, 73, 6, 4, 12, 10, 59, 22, 62, 26, 21, 23, 13, 18, 37, 41, 44, 47, 46, 45, 48, 38, 36, 25, 17, 15, 16, 42, 43, 60, 61, 31, 30, 32, 33, 29, 34, 11, 7, 8, 0]",66651.0,"[0, 19, 28, 54, 55, 68, 27, 74, 53, 65, 24, 69, 64, 63, 71, 70, 35, 49, 5, 52, 51, 72, 50, 67, 58, 57, 14, 56, 9, 0];[0, 73, 6, 4, 12, 7, 10, 59, 22, 62, 41, 26, 21, 13, 18, 44, 47, 46, 48, 45, 38, 36, 37, 25, 17, 16, 15, 42, 60, 61, 31, 43, 32, 30, 33, 29, 34, 11, 8, 0];[0, 2, 20, 39, 40, 66, 23, 3, 1, 0]",2,605.0119569301605
2021-02-01_19-18-44_528447,73109.0,"[0, 2, 3, 1, 0];[0, 19, 28, 55, 27, 68, 54, 53, 74, 65, 24, 69, 64, 63, 71, 70, 35, 49, 40, 39, 66, 5, 51, 52, 50, 72, 67, 20, 58, 57, 14, 56, 9, 0];[0, 73, 6, 4, 12, 10, 59, 22, 62, 26, 21, 23, 13, 18, 37, 41, 44, 47, 46, 45, 48, 38, 36, 25, 17, 15, 16, 42, 43, 60, 61, 31, 30, 32, 33, 29, 34, 11, 7, 8, 0]",69063.0,"[0, 6, 4, 12, 10, 59, 22, 62, 26, 21, 18, 13, 23, 37, 41, 44, 47, 46, 45, 48, 38, 36, 25, 17, 15, 16, 42, 43, 60, 61, 31, 30, 32, 33, 29, 34, 11, 7, 8, 0];[0, 73, 2, 1, 3, 0];[0, 19, 20, 28, 54, 55, 68, 27, 74, 53, 65, 24, 69, 64, 63, 71, 70, 35, 49, 39, 40, 66, 5, 52, 51, 72, 50, 67, 58, 57, 14, 56, 9, 0]",2,605.0827062129973
2021-02-01_19-28-57_889700,73109.0,"[0, 2, 3, 1, 0];[0, 19, 28, 55, 27, 68, 54, 53, 74, 65, 24, 69, 64, 63, 71, 70, 35, 49, 40, 39, 66, 5, 51, 52, 50, 72, 67, 20, 58, 57, 14, 56, 9, 0];[0, 73, 6, 4, 12, 10, 59, 22, 62, 26, 21, 23, 13, 18, 37, 41, 44, 47, 46, 45, 48, 38, 36, 25, 17, 15, 16, 42, 43, 60, 61, 31, 30, 32, 33, 29, 34, 11, 7, 8, 0]",70257.0,"[0, 6, 4, 12, 10, 59, 22, 62, 26, 21, 18, 13, 23, 37, 41, 44, 47, 46, 48, 38, 36, 25, 17, 15, 42, 43, 60, 61, 31, 30, 29, 34, 7, 0];[0, 19, 20, 28, 54, 55, 68, 27, 74, 53, 65, 24, 69, 64, 63, 71, 70, 35, 49, 5, 51, 52, 72, 50, 67, 58, 57, 14, 56, 9, 0];[0, 73, 2, 1, 16, 66, 39, 40, 45, 33, 32, 11, 8, 3, 0]",2,600.1364049911499
2021-02-01_19-39-06_321220,73109.0,"[0, 2, 3, 1, 0];[0, 19, 28, 55, 27, 68, 54, 53, 74, 65, 24, 69, 64, 63, 71, 70, 35, 49, 40, 39, 66, 5, 51, 52, 50, 72, 67, 20, 58, 57, 14, 56, 9, 0];[0, 73, 6, 4, 12, 10, 59, 22, 62, 26, 21, 23, 13, 18, 37, 41, 44, 47, 46, 45, 48, 38, 36, 25, 17, 15, 16, 42, 43, 60, 61, 31, 30, 32, 33, 29, 34, 11, 7, 8, 0]",69081.0,"[0, 6, 4, 12, 10, 59, 22, 62, 26, 21, 18, 13, 23, 44, 47, 46, 48, 38, 36, 25, 17, 42, 60, 61, 31, 30, 29, 34, 11, 7, 8, 0];[0, 19, 28, 54, 55, 68, 27, 74, 53, 65, 24, 69, 64, 63, 71, 70, 35, 49, 5, 52, 51, 72, 50, 67, 58, 57, 14, 56, 9, 0];[0, 73, 2, 1, 16, 15, 33, 32, 43, 41, 37, 66, 39, 40, 45, 20, 3, 0]",2,600.1755759716034
2021-02-01_19-49-14_682071,73109.0,"[0, 2, 3, 1, 0];[0, 19, 28, 55, 27, 68, 54, 53, 74, 65, 24, 69, 64, 63, 71, 70, 35, 49, 40, 39, 66, 5, 51, 52, 50, 72, 67, 20, 58, 57, 14, 56, 9, 0];[0, 73, 6, 4, 12, 10, 59, 22, 62, 26, 21, 23, 13, 18, 37, 41, 44, 47, 46, 45, 48, 38, 36, 25, 17, 15, 16, 42, 43, 60, 61, 31, 30, 32, 33, 29, 34, 11, 7, 8, 0]",71025.0,"[0, 6, 4, 12, 10, 59, 22, 62, 26, 21, 18, 13, 23, 44, 47, 46, 45, 48, 38, 36, 25, 15, 42, 43, 60, 61, 31, 29, 34, 11, 8, 0];[0, 7, 16, 17, 39, 41, 37, 33, 32, 30, 73, 2, 1, 3, 0];[0, 19, 28, 55, 27, 68, 74, 53, 54, 65, 24, 69, 64, 63, 71, 70, 35, 49, 40, 66, 5, 51, 52, 50, 72, 67, 20, 58, 57, 14, 56, 9, 0]",2,600.294618844986
2021-02-01_19-59-22_444032,73109.0,"[0, 2, 3, 1, 0];[0, 19, 28, 55, 27, 68, 54, 53, 74, 65, 24, 69, 64, 63, 71, 70, 35, 49, 40, 39, 66, 5, 51, 52, 50, 72, 67, 20, 58, 57, 14, 56, 9, 0];[0, 73, 6, 4, 12, 10, 59, 22, 62, 26, 21, 23, 13, 18, 37, 41, 44, 47, 46, 45, 48, 38, 36, 25, 17, 15, 16, 42, 43, 60, 61, 31, 30, 32, 33, 29, 34, 11, 7, 8, 0]",69861.0,"[0, 6, 4, 12, 10, 59, 22, 62, 26, 21, 18, 13, 23, 44, 47, 48, 38, 36, 25, 17, 15, 42, 43, 60, 61, 31, 30, 29, 34, 0];[0, 19, 20, 54, 68, 27, 74, 53, 65, 24, 69, 64, 63, 70, 71, 35, 45, 46, 40, 49, 5, 52, 51, 72, 50, 28, 67, 55, 58, 57, 14, 56, 9, 0];[0, 73, 2, 1, 16, 37, 66, 39, 41, 33, 32, 11, 8, 7, 3, 0]",2,1360.494306087494
