datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-02-01_16-32-34_329780,86747.0,"[0, 2, 3, 0];[0, 9, 1, 0];[0, 10, 59, 22, 11, 12, 15, 16, 61, 30, 32, 33, 0];[0, 19, 67, 55, 0];[0, 20, 58, 27, 68, 54, 53, 74, 65, 24, 69, 63, 71, 70, 64, 5, 51, 52, 50, 72, 28, 57, 14, 56, 0];[0, 73, 6, 4, 7, 8, 62, 31, 60, 25, 21, 40, 46, 45, 48, 38, 37, 36, 29, 34, 44, 47, 43, 42, 41, 17, 26, 13, 23, 49, 35, 39, 66, 18, 0]",82876.0,"[0, 2, 3, 0];[0, 9, 1, 0];[0, 10, 59, 22, 11, 12, 16, 15, 61, 30, 32, 33, 0];[0, 19, 67, 55, 0];[0, 20, 58, 27, 68, 74, 53, 54, 65, 24, 69, 63, 71, 70, 64, 5, 51, 52, 50, 72, 28, 57, 14, 56, 0];[0, 73, 6, 4, 7, 8, 62, 31, 60, 25, 21, 40, 45, 46, 48, 38, 37, 36, 34, 29, 44, 47, 43, 42, 41, 17, 26, 13, 23, 49, 35, 39, 66, 18, 0]",2,602.7408368587494
2021-02-01_16-42-45_060531,86747.0,"[0, 2, 3, 0];[0, 9, 1, 0];[0, 10, 59, 22, 11, 12, 15, 16, 61, 30, 32, 33, 0];[0, 19, 67, 55, 0];[0, 20, 58, 27, 68, 54, 53, 74, 65, 24, 69, 63, 71, 70, 64, 5, 51, 52, 50, 72, 28, 57, 14, 56, 0];[0, 73, 6, 4, 7, 8, 62, 31, 60, 25, 21, 40, 46, 45, 48, 38, 37, 36, 29, 34, 44, 47, 43, 42, 41, 17, 26, 13, 23, 49, 35, 39, 66, 18, 0]",82876.0,"[0, 2, 3, 0];[0, 9, 1, 0];[0, 10, 59, 22, 11, 12, 16, 15, 61, 30, 32, 33, 0];[0, 19, 67, 55, 0];[0, 20, 58, 27, 68, 74, 53, 54, 65, 24, 69, 63, 71, 70, 64, 5, 51, 52, 50, 72, 28, 57, 14, 56, 0];[0, 73, 6, 4, 7, 8, 62, 31, 60, 25, 21, 40, 45, 46, 48, 38, 37, 36, 34, 29, 44, 47, 43, 42, 41, 17, 26, 13, 23, 49, 35, 39, 66, 18, 0]",2,601.0477721691133
2021-02-01_16-52-54_326641,86747.0,"[0, 2, 3, 0];[0, 9, 1, 0];[0, 10, 59, 22, 11, 12, 15, 16, 61, 30, 32, 33, 0];[0, 19, 67, 55, 0];[0, 20, 58, 27, 68, 54, 53, 74, 65, 24, 69, 63, 71, 70, 64, 5, 51, 52, 50, 72, 28, 57, 14, 56, 0];[0, 73, 6, 4, 7, 8, 62, 31, 60, 25, 21, 40, 46, 45, 48, 38, 37, 36, 29, 34, 44, 47, 43, 42, 41, 17, 26, 13, 23, 49, 35, 39, 66, 18, 0]",82876.0,"[0, 2, 3, 0];[0, 9, 1, 0];[0, 10, 59, 22, 11, 12, 16, 15, 61, 30, 32, 33, 0];[0, 19, 67, 55, 0];[0, 20, 58, 27, 68, 74, 53, 54, 65, 24, 69, 63, 71, 70, 64, 5, 51, 52, 50, 72, 28, 57, 14, 56, 0];[0, 73, 6, 4, 7, 8, 62, 31, 60, 25, 21, 40, 45, 46, 48, 38, 37, 36, 34, 29, 44, 47, 43, 42, 41, 17, 26, 13, 23, 49, 35, 39, 66, 18, 0]",2,600.7902700901031
2021-02-01_17-03-02_739648,86747.0,"[0, 2, 3, 0];[0, 9, 1, 0];[0, 10, 59, 22, 11, 12, 15, 16, 61, 30, 32, 33, 0];[0, 19, 67, 55, 0];[0, 20, 58, 27, 68, 54, 53, 74, 65, 24, 69, 63, 71, 70, 64, 5, 51, 52, 50, 72, 28, 57, 14, 56, 0];[0, 73, 6, 4, 7, 8, 62, 31, 60, 25, 21, 40, 46, 45, 48, 38, 37, 36, 29, 34, 44, 47, 43, 42, 41, 17, 26, 13, 23, 49, 35, 39, 66, 18, 0]",81013.0,"[0, 9, 1, 0];[0, 2, 3, 0];[0, 10, 59, 22, 11, 12, 16, 15, 61, 32, 30, 33, 0];[0, 19, 67, 55, 0];[0, 20, 58, 27, 68, 74, 53, 54, 65, 24, 69, 63, 71, 70, 64, 5, 51, 52, 50, 72, 28, 57, 14, 56, 0];[0, 73, 6, 4, 7, 8, 62, 31, 60, 25, 21, 40, 45, 46, 48, 38, 37, 36, 34, 29, 44, 47, 43, 42, 41, 17, 26, 13, 23, 49, 35, 39, 66, 18, 0]",2,600.0917210578917
2021-02-01_17-13-10_614444,86747.0,"[0, 2, 3, 0];[0, 9, 1, 0];[0, 10, 59, 22, 11, 12, 15, 16, 61, 30, 32, 33, 0];[0, 19, 67, 55, 0];[0, 20, 58, 27, 68, 54, 53, 74, 65, 24, 69, 63, 71, 70, 64, 5, 51, 52, 50, 72, 28, 57, 14, 56, 0];[0, 73, 6, 4, 7, 8, 62, 31, 60, 25, 21, 40, 46, 45, 48, 38, 37, 36, 29, 34, 44, 47, 43, 42, 41, 17, 26, 13, 23, 49, 35, 39, 66, 18, 0]",81013.0,"[0, 2, 3, 0];[0, 9, 1, 0];[0, 10, 59, 22, 11, 12, 16, 15, 61, 32, 30, 33, 0];[0, 19, 67, 55, 0];[0, 20, 58, 27, 68, 74, 53, 54, 65, 24, 69, 63, 71, 70, 64, 5, 51, 52, 50, 72, 28, 57, 14, 56, 0];[0, 73, 6, 4, 7, 8, 62, 31, 60, 25, 21, 40, 45, 46, 48, 38, 37, 36, 34, 29, 44, 47, 43, 42, 41, 17, 26, 13, 23, 49, 35, 39, 66, 18, 0]",2,603.522833108902
2021-02-01_17-23-22_145255,86747.0,"[0, 2, 3, 0];[0, 9, 1, 0];[0, 10, 59, 22, 11, 12, 15, 16, 61, 30, 32, 33, 0];[0, 19, 67, 55, 0];[0, 20, 58, 27, 68, 54, 53, 74, 65, 24, 69, 63, 71, 70, 64, 5, 51, 52, 50, 72, 28, 57, 14, 56, 0];[0, 73, 6, 4, 7, 8, 62, 31, 60, 25, 21, 40, 46, 45, 48, 38, 37, 36, 29, 34, 44, 47, 43, 42, 41, 17, 26, 13, 23, 49, 35, 39, 66, 18, 0]",82876.0,"[0, 2, 3, 0];[0, 9, 1, 0];[0, 10, 59, 22, 11, 12, 16, 15, 61, 30, 32, 33, 0];[0, 19, 67, 55, 0];[0, 20, 58, 27, 68, 74, 53, 54, 65, 24, 69, 63, 71, 70, 64, 5, 51, 52, 50, 72, 28, 57, 14, 56, 0];[0, 73, 6, 4, 7, 8, 62, 31, 60, 25, 21, 40, 45, 46, 48, 38, 37, 36, 34, 29, 44, 47, 43, 42, 41, 17, 26, 13, 23, 49, 35, 39, 66, 18, 0]",2,602.0126450061797
2021-02-01_17-33-31_816698,86747.0,"[0, 2, 3, 0];[0, 9, 1, 0];[0, 10, 59, 22, 11, 12, 15, 16, 61, 30, 32, 33, 0];[0, 19, 67, 55, 0];[0, 20, 58, 27, 68, 54, 53, 74, 65, 24, 69, 63, 71, 70, 64, 5, 51, 52, 50, 72, 28, 57, 14, 56, 0];[0, 73, 6, 4, 7, 8, 62, 31, 60, 25, 21, 40, 46, 45, 48, 38, 37, 36, 29, 34, 44, 47, 43, 42, 41, 17, 26, 13, 23, 49, 35, 39, 66, 18, 0]",81013.0,"[0, 2, 3, 0];[0, 9, 1, 0];[0, 10, 59, 22, 11, 12, 16, 15, 61, 32, 30, 33, 0];[0, 19, 67, 55, 0];[0, 20, 58, 27, 68, 74, 53, 54, 65, 24, 69, 63, 71, 70, 64, 5, 51, 52, 50, 72, 28, 57, 14, 56, 0];[0, 73, 6, 4, 7, 8, 62, 31, 60, 25, 21, 40, 45, 46, 48, 38, 37, 36, 34, 29, 44, 47, 43, 42, 41, 17, 26, 13, 23, 49, 35, 39, 66, 18, 0]",2,601.5361351966857
2021-02-01_17-43-41_228651,86747.0,"[0, 2, 3, 0];[0, 9, 1, 0];[0, 10, 59, 22, 11, 12, 15, 16, 61, 30, 32, 33, 0];[0, 19, 67, 55, 0];[0, 20, 58, 27, 68, 54, 53, 74, 65, 24, 69, 63, 71, 70, 64, 5, 51, 52, 50, 72, 28, 57, 14, 56, 0];[0, 73, 6, 4, 7, 8, 62, 31, 60, 25, 21, 40, 46, 45, 48, 38, 37, 36, 29, 34, 44, 47, 43, 42, 41, 17, 26, 13, 23, 49, 35, 39, 66, 18, 0]",81013.0,"[0, 9, 1, 0];[0, 2, 3, 0];[0, 10, 59, 22, 11, 12, 16, 15, 61, 32, 30, 33, 0];[0, 19, 67, 55, 0];[0, 20, 58, 27, 68, 74, 53, 54, 65, 24, 69, 63, 71, 70, 64, 5, 51, 52, 50, 72, 28, 57, 14, 56, 0];[0, 73, 6, 4, 7, 8, 62, 31, 60, 25, 21, 40, 45, 46, 48, 38, 37, 36, 34, 29, 44, 47, 43, 42, 41, 17, 26, 13, 23, 49, 35, 39, 66, 18, 0]",2,601.7511658668517
2021-02-01_17-53-51_163100,86747.0,"[0, 2, 3, 0];[0, 9, 1, 0];[0, 10, 59, 22, 11, 12, 15, 16, 61, 30, 32, 33, 0];[0, 19, 67, 55, 0];[0, 20, 58, 27, 68, 54, 53, 74, 65, 24, 69, 63, 71, 70, 64, 5, 51, 52, 50, 72, 28, 57, 14, 56, 0];[0, 73, 6, 4, 7, 8, 62, 31, 60, 25, 21, 40, 46, 45, 48, 38, 37, 36, 29, 34, 44, 47, 43, 42, 41, 17, 26, 13, 23, 49, 35, 39, 66, 18, 0]",82876.0,"[0, 2, 3, 0];[0, 9, 1, 0];[0, 10, 59, 22, 11, 12, 16, 15, 61, 30, 32, 33, 0];[0, 19, 67, 55, 0];[0, 20, 58, 27, 68, 74, 53, 54, 65, 24, 69, 63, 71, 70, 64, 5, 51, 52, 50, 72, 28, 57, 14, 56, 0];[0, 73, 6, 4, 7, 8, 62, 31, 60, 25, 21, 40, 45, 46, 48, 38, 37, 36, 34, 29, 44, 47, 43, 42, 41, 17, 26, 13, 23, 49, 35, 39, 66, 18, 0]",2,601.2902760505676
2021-02-01_18-04-00_528209,86747.0,"[0, 2, 3, 0];[0, 9, 1, 0];[0, 10, 59, 22, 11, 12, 15, 16, 61, 30, 32, 33, 0];[0, 19, 67, 55, 0];[0, 20, 58, 27, 68, 54, 53, 74, 65, 24, 69, 63, 71, 70, 64, 5, 51, 52, 50, 72, 28, 57, 14, 56, 0];[0, 73, 6, 4, 7, 8, 62, 31, 60, 25, 21, 40, 46, 45, 48, 38, 37, 36, 29, 34, 44, 47, 43, 42, 41, 17, 26, 13, 23, 49, 35, 39, 66, 18, 0]",81013.0,"[0, 9, 1, 0];[0, 2, 3, 0];[0, 10, 59, 22, 11, 12, 16, 15, 61, 32, 30, 33, 0];[0, 19, 67, 55, 0];[0, 20, 58, 27, 68, 74, 53, 54, 65, 24, 69, 63, 71, 70, 64, 5, 51, 52, 50, 72, 28, 57, 14, 56, 0];[0, 73, 6, 4, 7, 8, 62, 31, 60, 25, 21, 40, 45, 46, 48, 38, 37, 36, 34, 29, 44, 47, 43, 42, 41, 17, 26, 13, 23, 49, 35, 39, 66, 18, 0]",2,600.1317839622498
