datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-02-01_10-57-42_675584,75322.0,"[0, 1, 21, 22, 20, 79, 42, 43, 44, 46, 47, 67, 69, 68, 66, 65, 70, 64, 62, 76, 72, 77, 75, 73, 74, 55, 54, 59, 61, 48, 45, 41, 40, 49, 30, 32, 25, 29, 24, 63, 71, 78, 39, 37, 36, 33, 50, 51, 34, 31, 52, 53, 56, 57, 58, 60, 35, 28, 27, 26, 13, 15, 14, 16, 12, 11, 8, 0];[0, 2, 19, 18, 3, 4, 17, 38, 23, 0];[0, 5, 6, 9, 10, 7, 0]",75208.0,"[0, 1, 21, 22, 20, 79, 42, 43, 44, 46, 47, 67, 69, 68, 66, 65, 70, 64, 62, 76, 72, 77, 75, 73, 74, 55, 54, 59, 61, 48, 45, 41, 40, 49, 30, 32, 25, 29, 24, 63, 71, 78, 39, 37, 36, 51, 50, 33, 34, 31, 52, 53, 56, 57, 58, 60, 35, 28, 27, 26, 13, 15, 14, 16, 12, 11, 0];[0, 2, 19, 18, 3, 4, 17, 38, 23, 0];[0, 5, 6, 9, 10, 8, 7, 0]",2,600.2402477264403
2021-02-01_11-07-51_177163,75322.0,"[0, 1, 21, 22, 20, 79, 42, 43, 44, 46, 47, 67, 69, 68, 66, 65, 70, 64, 62, 76, 72, 77, 75, 73, 74, 55, 54, 59, 61, 48, 45, 41, 40, 49, 30, 32, 25, 29, 24, 63, 71, 78, 39, 37, 36, 33, 50, 51, 34, 31, 52, 53, 56, 57, 58, 60, 35, 28, 27, 26, 13, 15, 14, 16, 12, 11, 8, 0];[0, 2, 19, 18, 3, 4, 17, 38, 23, 0];[0, 5, 6, 9, 10, 7, 0]",75208.0,"[0, 5, 6, 9, 10, 8, 7, 0];[0, 2, 19, 18, 3, 4, 17, 38, 23, 0];[0, 1, 21, 22, 20, 79, 42, 43, 44, 46, 47, 67, 69, 68, 66, 65, 70, 64, 62, 76, 72, 77, 75, 73, 74, 55, 54, 59, 61, 48, 45, 41, 40, 49, 30, 32, 25, 29, 24, 63, 71, 78, 39, 37, 36, 51, 50, 33, 34, 31, 52, 53, 56, 57, 58, 60, 35, 28, 27, 26, 13, 15, 14, 16, 12, 11, 0]",2,600.0473341941832
2021-02-01_11-17-59_112859,75322.0,"[0, 1, 21, 22, 20, 79, 42, 43, 44, 46, 47, 67, 69, 68, 66, 65, 70, 64, 62, 76, 72, 77, 75, 73, 74, 55, 54, 59, 61, 48, 45, 41, 40, 49, 30, 32, 25, 29, 24, 63, 71, 78, 39, 37, 36, 33, 50, 51, 34, 31, 52, 53, 56, 57, 58, 60, 35, 28, 27, 26, 13, 15, 14, 16, 12, 11, 8, 0];[0, 2, 19, 18, 3, 4, 17, 38, 23, 0];[0, 5, 6, 9, 10, 7, 0]",75208.0,"[0, 1, 21, 22, 20, 79, 42, 43, 44, 46, 47, 67, 69, 68, 66, 65, 70, 64, 62, 76, 72, 77, 75, 73, 74, 55, 54, 59, 61, 48, 45, 41, 40, 49, 30, 32, 25, 29, 24, 63, 71, 78, 39, 37, 36, 51, 50, 33, 34, 31, 52, 53, 56, 57, 58, 60, 35, 28, 27, 26, 13, 15, 14, 16, 12, 11, 0];[0, 2, 19, 18, 3, 4, 17, 38, 23, 0];[0, 5, 6, 9, 10, 8, 7, 0]",2,600.887912273407
2021-02-01_11-28-07_853402,75322.0,"[0, 1, 21, 22, 20, 79, 42, 43, 44, 46, 47, 67, 69, 68, 66, 65, 70, 64, 62, 76, 72, 77, 75, 73, 74, 55, 54, 59, 61, 48, 45, 41, 40, 49, 30, 32, 25, 29, 24, 63, 71, 78, 39, 37, 36, 33, 50, 51, 34, 31, 52, 53, 56, 57, 58, 60, 35, 28, 27, 26, 13, 15, 14, 16, 12, 11, 8, 0];[0, 2, 19, 18, 3, 4, 17, 38, 23, 0];[0, 5, 6, 9, 10, 7, 0]",75208.0,"[0, 1, 21, 22, 20, 79, 42, 43, 44, 46, 47, 67, 69, 68, 66, 65, 70, 64, 62, 76, 72, 77, 75, 73, 74, 55, 54, 59, 61, 48, 45, 41, 40, 49, 30, 32, 25, 29, 24, 63, 71, 78, 39, 37, 36, 51, 50, 33, 34, 31, 52, 53, 56, 57, 58, 60, 35, 28, 27, 26, 13, 15, 14, 16, 12, 11, 0];[0, 2, 19, 18, 3, 4, 17, 38, 23, 0];[0, 5, 6, 9, 10, 8, 7, 0]",2,600.1065080165862
2021-02-01_11-38-15_865891,75322.0,"[0, 1, 21, 22, 20, 79, 42, 43, 44, 46, 47, 67, 69, 68, 66, 65, 70, 64, 62, 76, 72, 77, 75, 73, 74, 55, 54, 59, 61, 48, 45, 41, 40, 49, 30, 32, 25, 29, 24, 63, 71, 78, 39, 37, 36, 33, 50, 51, 34, 31, 52, 53, 56, 57, 58, 60, 35, 28, 27, 26, 13, 15, 14, 16, 12, 11, 8, 0];[0, 2, 19, 18, 3, 4, 17, 38, 23, 0];[0, 5, 6, 9, 10, 7, 0]",75208.0,"[0, 5, 6, 9, 10, 8, 7, 0];[0, 2, 19, 18, 3, 4, 17, 38, 23, 0];[0, 1, 21, 22, 20, 79, 42, 43, 44, 46, 47, 67, 69, 68, 66, 65, 70, 64, 62, 76, 72, 77, 75, 73, 74, 55, 54, 59, 61, 48, 45, 41, 40, 49, 30, 32, 25, 29, 24, 63, 71, 78, 39, 37, 36, 51, 50, 33, 34, 31, 52, 53, 56, 57, 58, 60, 35, 28, 27, 26, 13, 15, 14, 16, 12, 11, 0]",2,600.1924979686738
2021-02-01_11-48-24_116426,75322.0,"[0, 1, 21, 22, 20, 79, 42, 43, 44, 46, 47, 67, 69, 68, 66, 65, 70, 64, 62, 76, 72, 77, 75, 73, 74, 55, 54, 59, 61, 48, 45, 41, 40, 49, 30, 32, 25, 29, 24, 63, 71, 78, 39, 37, 36, 33, 50, 51, 34, 31, 52, 53, 56, 57, 58, 60, 35, 28, 27, 26, 13, 15, 14, 16, 12, 11, 8, 0];[0, 2, 19, 18, 3, 4, 17, 38, 23, 0];[0, 5, 6, 9, 10, 7, 0]",75208.0,"[0, 1, 21, 22, 20, 79, 42, 43, 44, 46, 47, 67, 69, 68, 66, 65, 70, 64, 62, 76, 72, 77, 75, 73, 74, 55, 54, 59, 61, 48, 45, 41, 40, 49, 30, 32, 25, 29, 24, 63, 71, 78, 39, 37, 36, 51, 50, 33, 34, 31, 52, 53, 56, 57, 58, 60, 35, 28, 27, 26, 13, 15, 14, 16, 12, 11, 0];[0, 2, 19, 18, 3, 4, 17, 38, 23, 0];[0, 5, 6, 9, 10, 8, 7, 0]",2,600.2090139389037
2021-02-01_11-58-32_134600,75322.0,"[0, 1, 21, 22, 20, 79, 42, 43, 44, 46, 47, 67, 69, 68, 66, 65, 70, 64, 62, 76, 72, 77, 75, 73, 74, 55, 54, 59, 61, 48, 45, 41, 40, 49, 30, 32, 25, 29, 24, 63, 71, 78, 39, 37, 36, 33, 50, 51, 34, 31, 52, 53, 56, 57, 58, 60, 35, 28, 27, 26, 13, 15, 14, 16, 12, 11, 8, 0];[0, 2, 19, 18, 3, 4, 17, 38, 23, 0];[0, 5, 6, 9, 10, 7, 0]",75208.0,"[0, 1, 21, 22, 20, 79, 42, 43, 44, 46, 47, 67, 69, 68, 66, 65, 70, 64, 62, 76, 72, 77, 75, 73, 74, 55, 54, 59, 61, 48, 45, 41, 40, 49, 30, 32, 25, 29, 24, 63, 71, 78, 39, 37, 36, 51, 50, 33, 34, 31, 52, 53, 56, 57, 58, 60, 35, 28, 27, 26, 13, 15, 14, 16, 12, 11, 0];[0, 2, 19, 18, 3, 4, 17, 38, 23, 0];[0, 5, 6, 9, 10, 8, 7, 0]",2,600.9889569282533
2021-02-01_12-08-41_022975,75322.0,"[0, 1, 21, 22, 20, 79, 42, 43, 44, 46, 47, 67, 69, 68, 66, 65, 70, 64, 62, 76, 72, 77, 75, 73, 74, 55, 54, 59, 61, 48, 45, 41, 40, 49, 30, 32, 25, 29, 24, 63, 71, 78, 39, 37, 36, 33, 50, 51, 34, 31, 52, 53, 56, 57, 58, 60, 35, 28, 27, 26, 13, 15, 14, 16, 12, 11, 8, 0];[0, 2, 19, 18, 3, 4, 17, 38, 23, 0];[0, 5, 6, 9, 10, 7, 0]",75208.0,"[0, 5, 6, 9, 10, 8, 7, 0];[0, 2, 19, 18, 3, 4, 17, 38, 23, 0];[0, 1, 21, 22, 20, 79, 42, 43, 44, 46, 47, 67, 69, 68, 66, 65, 70, 64, 62, 76, 72, 77, 75, 73, 74, 55, 54, 59, 61, 48, 45, 41, 40, 49, 30, 32, 25, 29, 24, 63, 71, 78, 39, 37, 36, 51, 50, 33, 34, 31, 52, 53, 56, 57, 58, 60, 35, 28, 27, 26, 13, 15, 14, 16, 12, 11, 0]",2,600.9456293582916
2021-02-01_12-18-49_856204,75322.0,"[0, 1, 21, 22, 20, 79, 42, 43, 44, 46, 47, 67, 69, 68, 66, 65, 70, 64, 62, 76, 72, 77, 75, 73, 74, 55, 54, 59, 61, 48, 45, 41, 40, 49, 30, 32, 25, 29, 24, 63, 71, 78, 39, 37, 36, 33, 50, 51, 34, 31, 52, 53, 56, 57, 58, 60, 35, 28, 27, 26, 13, 15, 14, 16, 12, 11, 8, 0];[0, 2, 19, 18, 3, 4, 17, 38, 23, 0];[0, 5, 6, 9, 10, 7, 0]",75208.0,"[0, 1, 21, 22, 20, 79, 42, 43, 44, 46, 47, 67, 69, 68, 66, 65, 70, 64, 62, 76, 72, 77, 75, 73, 74, 55, 54, 59, 61, 48, 45, 41, 40, 49, 30, 32, 25, 29, 24, 63, 71, 78, 39, 37, 36, 51, 50, 33, 34, 31, 52, 53, 56, 57, 58, 60, 35, 28, 27, 26, 13, 15, 14, 16, 12, 11, 0];[0, 2, 19, 18, 3, 4, 17, 38, 23, 0];[0, 5, 6, 9, 10, 8, 7, 0]",2,600.0418949127197
2021-02-01_12-28-57_663470,75322.0,"[0, 1, 21, 22, 20, 79, 42, 43, 44, 46, 47, 67, 69, 68, 66, 65, 70, 64, 62, 76, 72, 77, 75, 73, 74, 55, 54, 59, 61, 48, 45, 41, 40, 49, 30, 32, 25, 29, 24, 63, 71, 78, 39, 37, 36, 33, 50, 51, 34, 31, 52, 53, 56, 57, 58, 60, 35, 28, 27, 26, 13, 15, 14, 16, 12, 11, 8, 0];[0, 2, 19, 18, 3, 4, 17, 38, 23, 0];[0, 5, 6, 9, 10, 7, 0]",75208.0,"[0, 1, 21, 22, 20, 79, 42, 43, 44, 46, 47, 67, 69, 68, 66, 65, 70, 64, 62, 76, 72, 77, 75, 73, 74, 55, 54, 59, 61, 48, 45, 41, 40, 49, 30, 32, 25, 29, 24, 63, 71, 78, 39, 37, 36, 51, 50, 33, 34, 31, 52, 53, 56, 57, 58, 60, 35, 28, 27, 26, 13, 15, 14, 16, 12, 11, 0];[0, 2, 19, 18, 3, 4, 17, 38, 23, 0];[0, 5, 6, 9, 10, 8, 7, 0]",2,600.7767550945282
