datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-02-01_09-00-19_974649,163277.0,"[0, 1, 3, 5, 6, 8, 7, 2, 0];[0, 4, 9, 15, 14, 13, 12, 11, 0];[0, 10, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 37, 36, 27, 0];[0, 16, 20, 21, 22, 25, 33, 34, 35, 46, 47, 43, 44, 17, 0];[0, 24, 30, 29, 28, 19, 18, 0];[0, 26, 50, 61, 72, 73, 74, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0];[0, 52, 63, 64, 70, 69, 68, 65, 60, 59, 58, 57, 56, 55, 54, 53, 51, 45, 23, 0]",160621.0,"[0, 1, 3, 5, 8, 7, 6, 9, 2, 0];[0, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 37, 36, 27, 0];[0, 23, 52, 63, 64, 70, 69, 68, 65, 60, 59, 58, 57, 56, 55, 54, 53, 51, 45, 22, 0];[0, 12, 14, 16, 15, 13, 11, 10, 4, 0];[0, 24, 30, 29, 28, 19, 18, 0];[0, 20, 21, 25, 33, 35, 46, 62, 47, 43, 44, 34, 26, 17, 0];[0, 50, 61, 72, 73, 74, 67, 66, 75, 80, 78, 79, 77, 76, 71, 0]",2,667.5699970722197
2021-02-01_09-11-38_067491,163277.0,"[0, 1, 3, 5, 6, 8, 7, 2, 0];[0, 4, 9, 15, 14, 13, 12, 11, 0];[0, 10, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 37, 36, 27, 0];[0, 16, 20, 21, 22, 25, 33, 34, 35, 46, 47, 43, 44, 17, 0];[0, 24, 30, 29, 28, 19, 18, 0];[0, 26, 50, 61, 72, 73, 74, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0];[0, 52, 63, 64, 70, 69, 68, 65, 60, 59, 58, 57, 56, 55, 54, 53, 51, 45, 23, 0]",161590.0,"[0, 1, 3, 8, 7, 6, 5, 2, 0];[0, 16, 20, 21, 22, 25, 33, 35, 46, 47, 43, 44, 34, 26, 17, 0];[0, 9, 15, 14, 13, 12, 11, 10, 4, 0];[0, 52, 63, 64, 70, 69, 68, 65, 60, 59, 58, 57, 56, 55, 54, 53, 51, 45, 23, 0];[0, 24, 30, 29, 28, 19, 18, 0];[0, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 37, 36, 27, 0];[0, 50, 61, 72, 73, 74, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0]",2,1231.6549608707428
2021-02-01_09-32-19_602063,163277.0,"[0, 1, 3, 5, 6, 8, 7, 2, 0];[0, 4, 9, 15, 14, 13, 12, 11, 0];[0, 10, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 37, 36, 27, 0];[0, 16, 20, 21, 22, 25, 33, 34, 35, 46, 47, 43, 44, 17, 0];[0, 24, 30, 29, 28, 19, 18, 0];[0, 26, 50, 61, 72, 73, 74, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0];[0, 52, 63, 64, 70, 69, 68, 65, 60, 59, 58, 57, 56, 55, 54, 53, 51, 45, 23, 0]",161625.0,"[0, 16, 20, 21, 22, 25, 33, 34, 35, 46, 47, 43, 44, 26, 17, 0];[0, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 37, 36, 27, 0];[0, 1, 3, 8, 7, 6, 5, 2, 0];[0, 9, 15, 14, 13, 12, 11, 10, 4, 0];[0, 52, 63, 64, 70, 69, 68, 65, 60, 59, 58, 57, 56, 55, 54, 53, 51, 45, 23, 0];[0, 24, 30, 29, 28, 19, 18, 0];[0, 50, 61, 72, 73, 74, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0]",2,607.1743900775907
2021-02-01_09-42-36_993144,163277.0,"[0, 1, 3, 5, 6, 8, 7, 2, 0];[0, 4, 9, 15, 14, 13, 12, 11, 0];[0, 10, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 37, 36, 27, 0];[0, 16, 20, 21, 22, 25, 33, 34, 35, 46, 47, 43, 44, 17, 0];[0, 24, 30, 29, 28, 19, 18, 0];[0, 26, 50, 61, 72, 73, 74, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0];[0, 52, 63, 64, 70, 69, 68, 65, 60, 59, 58, 57, 56, 55, 54, 53, 51, 45, 23, 0]",158642.0,"[0, 14, 20, 21, 25, 33, 34, 46, 47, 43, 44, 26, 17, 0];[0, 1, 3, 8, 7, 6, 5, 2, 0];[0, 52, 63, 64, 70, 69, 68, 65, 60, 59, 58, 57, 55, 54, 53, 51, 45, 23, 22, 0];[0, 12, 16, 15, 13, 11, 10, 9, 4, 0];[0, 24, 30, 29, 28, 19, 18, 0];[0, 31, 32, 39, 40, 41, 49, 81, 48, 56, 42, 38, 37, 36, 35, 27, 0];[0, 50, 61, 72, 73, 74, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0]",2,602.3539938926698
2021-02-01_09-52-49_911055,163277.0,"[0, 1, 3, 5, 6, 8, 7, 2, 0];[0, 4, 9, 15, 14, 13, 12, 11, 0];[0, 10, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 37, 36, 27, 0];[0, 16, 20, 21, 22, 25, 33, 34, 35, 46, 47, 43, 44, 17, 0];[0, 24, 30, 29, 28, 19, 18, 0];[0, 26, 50, 61, 72, 73, 74, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0];[0, 52, 63, 64, 70, 69, 68, 65, 60, 59, 58, 57, 56, 55, 54, 53, 51, 45, 23, 0]",160003.0,"[0, 1, 3, 8, 7, 6, 5, 0];[0, 52, 63, 64, 70, 69, 68, 65, 60, 59, 58, 57, 56, 55, 54, 53, 51, 45, 23, 0];[0, 14, 15, 13, 12, 11, 10, 9, 4, 0];[0, 50, 61, 72, 73, 74, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0];[0, 16, 20, 21, 25, 33, 34, 35, 46, 47, 43, 44, 26, 17, 0];[0, 24, 29, 30, 28, 19, 18, 0];[0, 2, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 37, 36, 27, 22, 0]",2,607.6798980236052
2021-02-01_10-03-07_806628,163277.0,"[0, 1, 3, 5, 6, 8, 7, 2, 0];[0, 4, 9, 15, 14, 13, 12, 11, 0];[0, 10, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 37, 36, 27, 0];[0, 16, 20, 21, 22, 25, 33, 34, 35, 46, 47, 43, 44, 17, 0];[0, 24, 30, 29, 28, 19, 18, 0];[0, 26, 50, 61, 72, 73, 74, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0];[0, 52, 63, 64, 70, 69, 68, 65, 60, 59, 58, 57, 56, 55, 54, 53, 51, 45, 23, 0]",159684.0,"[0, 1, 3, 8, 7, 6, 5, 2, 0];[0, 52, 63, 64, 70, 69, 68, 65, 60, 59, 58, 57, 56, 55, 54, 53, 51, 45, 22, 0];[0, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 37, 36, 27, 0];[0, 50, 61, 72, 73, 74, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0];[0, 16, 20, 21, 23, 25, 33, 34, 35, 46, 47, 43, 44, 26, 17, 0];[0, 9, 14, 15, 13, 12, 11, 10, 4, 0];[0, 24, 30, 29, 28, 19, 18, 0]",2,603.7898561954497
2021-02-01_10-13-21_846173,163277.0,"[0, 1, 3, 5, 6, 8, 7, 2, 0];[0, 4, 9, 15, 14, 13, 12, 11, 0];[0, 10, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 37, 36, 27, 0];[0, 16, 20, 21, 22, 25, 33, 34, 35, 46, 47, 43, 44, 17, 0];[0, 24, 30, 29, 28, 19, 18, 0];[0, 26, 50, 61, 72, 73, 74, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0];[0, 52, 63, 64, 70, 69, 68, 65, 60, 59, 58, 57, 56, 55, 54, 53, 51, 45, 23, 0]",160684.0,"[0, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 37, 36, 0];[0, 15, 13, 12, 11, 10, 9, 4, 0];[0, 1, 3, 8, 7, 6, 5, 2, 0];[0, 52, 63, 64, 70, 69, 68, 65, 60, 59, 58, 57, 56, 55, 54, 53, 51, 45, 23, 0];[0, 24, 30, 29, 28, 19, 18, 0];[0, 14, 16, 20, 21, 22, 25, 33, 34, 27, 35, 46, 47, 43, 44, 17, 0];[0, 26, 50, 61, 72, 73, 74, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0]",2,608.823224067688
2021-02-01_10-23-40_545723,163277.0,"[0, 1, 3, 5, 6, 8, 7, 2, 0];[0, 4, 9, 15, 14, 13, 12, 11, 0];[0, 10, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 37, 36, 27, 0];[0, 16, 20, 21, 22, 25, 33, 34, 35, 46, 47, 43, 44, 17, 0];[0, 24, 30, 29, 28, 19, 18, 0];[0, 26, 50, 61, 72, 73, 74, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0];[0, 52, 63, 64, 70, 69, 68, 65, 60, 59, 58, 57, 56, 55, 54, 53, 51, 45, 23, 0]",160614.0,"[0, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 37, 36, 27, 0];[0, 1, 3, 8, 7, 6, 5, 0];[0, 2, 9, 14, 15, 13, 12, 0];[0, 50, 61, 72, 73, 74, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0];[0, 23, 52, 63, 64, 70, 69, 68, 65, 60, 59, 58, 57, 56, 55, 54, 53, 51, 45, 11, 0];[0, 24, 30, 29, 28, 19, 18, 0];[0, 16, 20, 21, 22, 25, 33, 34, 35, 46, 47, 43, 44, 26, 17, 10, 4, 0]",2,602.3707473278047
2021-02-01_10-33-53_163030,163277.0,"[0, 1, 3, 5, 6, 8, 7, 2, 0];[0, 4, 9, 15, 14, 13, 12, 11, 0];[0, 10, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 37, 36, 27, 0];[0, 16, 20, 21, 22, 25, 33, 34, 35, 46, 47, 43, 44, 17, 0];[0, 24, 30, 29, 28, 19, 18, 0];[0, 26, 50, 61, 72, 73, 74, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0];[0, 52, 63, 64, 70, 69, 68, 65, 60, 59, 58, 57, 56, 55, 54, 53, 51, 45, 23, 0]",159248.0,"[0, 52, 63, 64, 70, 69, 68, 65, 60, 59, 58, 57, 56, 55, 54, 53, 51, 45, 23, 22, 0];[0, 1, 3, 8, 7, 6, 5, 2, 0];[0, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 37, 36, 27, 0];[0, 50, 61, 72, 73, 74, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0];[0, 24, 30, 29, 28, 19, 18, 0];[0, 16, 20, 21, 25, 33, 34, 35, 46, 47, 43, 44, 26, 17, 0];[0, 9, 12, 15, 13, 14, 11, 10, 4, 0]",2,610.078250169754
2021-02-01_10-44-13_028567,163277.0,"[0, 1, 3, 5, 6, 8, 7, 2, 0];[0, 4, 9, 15, 14, 13, 12, 11, 0];[0, 10, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 37, 36, 27, 0];[0, 16, 20, 21, 22, 25, 33, 34, 35, 46, 47, 43, 44, 17, 0];[0, 24, 30, 29, 28, 19, 18, 0];[0, 26, 50, 61, 72, 73, 74, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0];[0, 52, 63, 64, 70, 69, 68, 65, 60, 59, 58, 57, 56, 55, 54, 53, 51, 45, 23, 0]",159241.0,"[0, 16, 20, 21, 23, 25, 33, 34, 35, 43, 47, 46, 44, 26, 17, 0];[0, 1, 3, 8, 7, 6, 5, 2, 0];[0, 14, 15, 13, 12, 11, 10, 9, 4, 0];[0, 50, 61, 72, 73, 74, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0];[0, 24, 30, 29, 28, 19, 18, 0];[0, 52, 63, 64, 70, 69, 68, 65, 60, 59, 58, 57, 56, 55, 54, 53, 51, 45, 22, 0];[0, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 37, 36, 27, 0]",2,603.5374248027802
