datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-02-01_07-16-11_516786,226074.0,"[0, 1, 3, 5, 6, 8, 7, 9, 0];[0, 4, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 35, 27, 0];[0, 15, 13, 12, 10, 0];[0, 16, 20, 21, 25, 33, 34, 45, 44, 0];[0, 17, 18, 14, 11, 0];[0, 19, 30, 29, 28, 0];[0, 23, 63, 70, 69, 61, 54, 50, 2, 0];[0, 46, 47, 43, 37, 36, 26, 0];[0, 51, 52, 53, 22, 24, 0];[0, 64, 68, 74, 73, 72, 55, 56, 57, 58, 60, 59, 65, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0]",223348.0,"[0, 1, 3, 8, 7, 6, 5, 2, 0];[0, 23, 46, 47, 43, 37, 36, 27, 10, 0];[0, 15, 13, 12, 0];[0, 31, 39, 40, 41, 49, 81, 48, 42, 38, 35, 0];[0, 16, 20, 21, 25, 33, 34, 45, 44, 26, 0];[0, 14, 19, 30, 32, 29, 28, 0];[0, 9, 17, 18, 11, 0];[0, 63, 69, 70, 61, 54, 50, 4, 0];[0, 51, 52, 53, 22, 24, 0];[0, 64, 68, 74, 73, 72, 55, 56, 57, 58, 60, 59, 65, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0]",2,601.6745150089264
2021-02-01_07-26-22_375884,226074.0,"[0, 1, 3, 5, 6, 8, 7, 9, 0];[0, 4, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 35, 27, 0];[0, 15, 13, 12, 10, 0];[0, 16, 20, 21, 25, 33, 34, 45, 44, 0];[0, 17, 18, 14, 11, 0];[0, 19, 30, 29, 28, 0];[0, 23, 63, 70, 69, 61, 54, 50, 2, 0];[0, 46, 47, 43, 37, 36, 26, 0];[0, 51, 52, 53, 22, 24, 0];[0, 64, 68, 74, 73, 72, 55, 56, 57, 58, 60, 59, 65, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0]",223775.0,"[0, 1, 3, 8, 7, 6, 5, 0];[0, 46, 47, 43, 37, 36, 0];[0, 15, 13, 12, 10, 0];[0, 2, 9, 17, 18, 0];[0, 63, 69, 70, 61, 54, 50, 4, 0];[0, 14, 19, 30, 32, 29, 28, 0];[0, 31, 39, 40, 41, 49, 81, 48, 42, 38, 35, 27, 0];[0, 16, 20, 21, 23, 25, 33, 34, 45, 44, 26, 11, 0];[0, 51, 52, 53, 22, 24, 0];[0, 64, 68, 74, 73, 72, 55, 56, 57, 58, 60, 59, 65, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0]",2,612.9689168930054
2021-02-01_07-36-44_404643,226074.0,"[0, 1, 3, 5, 6, 8, 7, 9, 0];[0, 4, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 35, 27, 0];[0, 15, 13, 12, 10, 0];[0, 16, 20, 21, 25, 33, 34, 45, 44, 0];[0, 17, 18, 14, 11, 0];[0, 19, 30, 29, 28, 0];[0, 23, 63, 70, 69, 61, 54, 50, 2, 0];[0, 46, 47, 43, 37, 36, 26, 0];[0, 51, 52, 53, 22, 24, 0];[0, 64, 68, 74, 73, 72, 55, 56, 57, 58, 60, 59, 65, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0]",221235.0,"[0, 63, 69, 70, 61, 54, 50, 0];[0, 23, 46, 47, 43, 37, 36, 11, 0];[0, 31, 39, 40, 41, 49, 81, 48, 42, 38, 35, 27, 0];[0, 12, 17, 18, 0];[0, 16, 20, 21, 25, 33, 45, 44, 34, 26, 0];[0, 14, 19, 30, 32, 29, 28, 0];[0, 9, 15, 13, 10, 4, 0];[0, 1, 3, 8, 7, 6, 5, 2, 0];[0, 51, 52, 53, 22, 24, 0];[0, 64, 68, 74, 73, 72, 55, 56, 57, 58, 60, 59, 65, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0]",2,603.2159807682037
2021-02-01_07-46-57_333799,226074.0,"[0, 1, 3, 5, 6, 8, 7, 9, 0];[0, 4, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 35, 27, 0];[0, 15, 13, 12, 10, 0];[0, 16, 20, 21, 25, 33, 34, 45, 44, 0];[0, 17, 18, 14, 11, 0];[0, 19, 30, 29, 28, 0];[0, 23, 63, 70, 69, 61, 54, 50, 2, 0];[0, 46, 47, 43, 37, 36, 26, 0];[0, 51, 52, 53, 22, 24, 0];[0, 64, 68, 74, 73, 72, 55, 56, 57, 58, 60, 59, 65, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0]",224377.0,"[0, 15, 13, 12, 0];[0, 31, 32, 39, 40, 41, 49, 81, 42, 38, 35, 27, 0];[0, 46, 47, 43, 37, 36, 0];[0, 63, 70, 69, 61, 54, 50, 0];[0, 14, 19, 30, 48, 29, 28, 0];[0, 17, 18, 10, 9, 4, 0];[0, 1, 3, 8, 7, 6, 5, 2, 0];[0, 16, 20, 21, 23, 25, 33, 34, 45, 44, 26, 11, 0];[0, 51, 52, 53, 22, 24, 0];[0, 64, 68, 74, 73, 72, 55, 56, 57, 58, 60, 59, 65, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0]",2,604.6049327850343
2021-02-01_07-57-11_187900,226074.0,"[0, 1, 3, 5, 6, 8, 7, 9, 0];[0, 4, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 35, 27, 0];[0, 15, 13, 12, 10, 0];[0, 16, 20, 21, 25, 33, 34, 45, 44, 0];[0, 17, 18, 14, 11, 0];[0, 19, 30, 29, 28, 0];[0, 23, 63, 70, 69, 61, 54, 50, 2, 0];[0, 46, 47, 43, 37, 36, 26, 0];[0, 51, 52, 53, 22, 24, 0];[0, 64, 68, 74, 73, 72, 55, 56, 57, 58, 60, 59, 65, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0]",223394.0,"[0, 16, 20, 21, 25, 33, 34, 45, 44, 26, 0];[0, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 35, 0];[0, 15, 13, 12, 10, 0];[0, 1, 3, 8, 7, 6, 5, 0];[0, 2, 9, 17, 18, 11, 0];[0, 14, 19, 28, 30, 29, 0];[0, 63, 69, 70, 61, 54, 50, 4, 0];[0, 23, 46, 47, 43, 37, 36, 27, 0];[0, 51, 52, 53, 22, 24, 0];[0, 64, 68, 74, 73, 72, 55, 56, 57, 58, 60, 59, 65, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0]",2,607.1570348739624
2021-02-01_08-07-29_286261,226074.0,"[0, 1, 3, 5, 6, 8, 7, 9, 0];[0, 4, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 35, 27, 0];[0, 15, 13, 12, 10, 0];[0, 16, 20, 21, 25, 33, 34, 45, 44, 0];[0, 17, 18, 14, 11, 0];[0, 19, 30, 29, 28, 0];[0, 23, 63, 70, 69, 61, 54, 50, 2, 0];[0, 46, 47, 43, 37, 36, 26, 0];[0, 51, 52, 53, 22, 24, 0];[0, 64, 68, 74, 73, 72, 55, 56, 57, 58, 60, 59, 65, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0]",223429.0,"[0, 9, 17, 18, 11, 0];[0, 15, 13, 12, 0];[0, 1, 3, 8, 7, 6, 5, 2, 0];[0, 16, 20, 21, 25, 33, 45, 44, 34, 26, 0];[0, 14, 19, 30, 32, 29, 28, 0];[0, 63, 70, 69, 61, 54, 50, 0];[0, 31, 39, 40, 41, 49, 81, 48, 42, 38, 35, 0];[0, 23, 46, 47, 43, 37, 36, 27, 10, 4, 0];[0, 51, 52, 53, 22, 24, 0];[0, 64, 68, 74, 73, 72, 55, 56, 57, 58, 60, 59, 65, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0]",2,603.4902508258821
2021-02-01_08-17-41_347355,226074.0,"[0, 1, 3, 5, 6, 8, 7, 9, 0];[0, 4, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 35, 27, 0];[0, 15, 13, 12, 10, 0];[0, 16, 20, 21, 25, 33, 34, 45, 44, 0];[0, 17, 18, 14, 11, 0];[0, 19, 30, 29, 28, 0];[0, 23, 63, 70, 69, 61, 54, 50, 2, 0];[0, 46, 47, 43, 37, 36, 26, 0];[0, 51, 52, 53, 22, 24, 0];[0, 64, 68, 74, 73, 72, 55, 56, 57, 58, 60, 59, 65, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0]",225817.0,"[0, 15, 13, 12, 0];[0, 17, 18, 14, 0];[0, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 35, 27, 0];[0, 46, 47, 43, 37, 36, 0];[0, 63, 70, 69, 61, 54, 50, 0];[0, 1, 3, 5, 6, 8, 7, 9, 4, 2, 0];[0, 19, 30, 29, 28, 11, 0];[0, 16, 20, 21, 23, 25, 33, 34, 45, 44, 26, 10, 0];[0, 51, 52, 53, 22, 24, 0];[0, 64, 68, 74, 73, 72, 55, 56, 57, 58, 60, 59, 65, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0]",2,605.7082090377808
2021-02-01_08-27-56_365248,226074.0,"[0, 1, 3, 5, 6, 8, 7, 9, 0];[0, 4, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 35, 27, 0];[0, 15, 13, 12, 10, 0];[0, 16, 20, 21, 25, 33, 34, 45, 44, 0];[0, 17, 18, 14, 11, 0];[0, 19, 30, 29, 28, 0];[0, 23, 63, 70, 69, 61, 54, 50, 2, 0];[0, 46, 47, 43, 37, 36, 26, 0];[0, 51, 52, 53, 22, 24, 0];[0, 64, 68, 74, 73, 72, 55, 56, 57, 58, 60, 59, 65, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0]",223023.0,"[0, 9, 17, 18, 11, 0];[0, 51, 53, 24, 22, 0];[0, 15, 13, 12, 10, 0];[0, 1, 3, 8, 7, 6, 5, 2, 0];[0, 31, 39, 40, 41, 49, 81, 48, 42, 38, 35, 27, 0];[0, 14, 19, 30, 32, 29, 28, 0];[0, 16, 20, 21, 23, 25, 33, 34, 45, 52, 44, 0];[0, 46, 47, 43, 37, 36, 26, 0];[0, 63, 69, 70, 61, 54, 50, 4, 0];[0, 64, 68, 74, 73, 72, 55, 56, 57, 58, 60, 59, 65, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0]",2,603.7132837772368
2021-02-01_08-38-09_360510,226074.0,"[0, 1, 3, 5, 6, 8, 7, 9, 0];[0, 4, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 35, 27, 0];[0, 15, 13, 12, 10, 0];[0, 16, 20, 21, 25, 33, 34, 45, 44, 0];[0, 17, 18, 14, 11, 0];[0, 19, 30, 29, 28, 0];[0, 23, 63, 70, 69, 61, 54, 50, 2, 0];[0, 46, 47, 43, 37, 36, 26, 0];[0, 51, 52, 53, 22, 24, 0];[0, 64, 68, 74, 73, 72, 55, 56, 57, 58, 60, 59, 65, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0]",223774.0,"[0, 23, 46, 47, 43, 37, 36, 27, 0];[0, 1, 3, 8, 7, 6, 5, 0];[0, 15, 13, 12, 0];[0, 16, 20, 21, 25, 33, 34, 45, 44, 26, 0];[0, 14, 19, 30, 32, 29, 28, 0];[0, 31, 39, 40, 41, 49, 81, 48, 42, 38, 35, 0];[0, 9, 17, 18, 11, 10, 2, 0];[0, 63, 69, 70, 61, 54, 50, 4, 0];[0, 51, 52, 53, 22, 24, 0];[0, 64, 68, 74, 73, 72, 55, 56, 57, 58, 60, 59, 65, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0]",2,609.8095648288728
2021-02-01_08-48-27_992644,226074.0,"[0, 1, 3, 5, 6, 8, 7, 9, 0];[0, 4, 31, 32, 39, 40, 41, 49, 81, 48, 42, 38, 35, 27, 0];[0, 15, 13, 12, 10, 0];[0, 16, 20, 21, 25, 33, 34, 45, 44, 0];[0, 17, 18, 14, 11, 0];[0, 19, 30, 29, 28, 0];[0, 23, 63, 70, 69, 61, 54, 50, 2, 0];[0, 46, 47, 43, 37, 36, 26, 0];[0, 51, 52, 53, 22, 24, 0];[0, 64, 68, 74, 73, 72, 55, 56, 57, 58, 60, 59, 65, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0]",223331.0,"[0, 15, 13, 12, 0];[0, 1, 3, 8, 7, 6, 5, 2, 0];[0, 4, 63, 69, 70, 61, 54, 50, 0];[0, 31, 39, 40, 41, 49, 81, 48, 42, 38, 35, 0];[0, 9, 17, 18, 11, 0];[0, 46, 47, 43, 37, 36, 27, 0];[0, 14, 19, 30, 32, 29, 28, 0];[0, 16, 20, 21, 23, 25, 33, 45, 44, 34, 26, 10, 0];[0, 51, 52, 53, 22, 24, 0];[0, 64, 68, 74, 73, 72, 55, 56, 57, 58, 60, 59, 65, 67, 66, 75, 80, 78, 79, 77, 76, 71, 62, 0]",2,602.6717159748077
