it,instant,local_optimum_value
0,0.0,453971.0
1,9.502499103546143,453866.0
2,14.212965965270996,453866.0
3,18.691002130508423,453866.0
4,23.651648998260498,453866.0
5,28.605035066604614,453866.0
6,32.880006074905396,453866.0
7,37.79596519470215,453866.0
8,42.70665788650513,453866.0
9,47.463407039642334,453866.0
10,52.470962047576904,453866.0
11,57.32663297653198,453866.0
12,62.41803002357483,453866.0
13,67.28575778007507,453866.0
14,72.33125185966492,453866.0
15,77.16040802001953,453866.0
16,81.94371390342712,453866.0
17,86.71326518058777,453866.0
18,91.52946496009827,453866.0
19,96.33705806732178,453866.0
20,100.9777250289917,453866.0
21,106.04580402374268,453866.0
