it,instant,local_optimum_value
0,0.0,453971.0
1,19.362491846084595,453971.0
2,20.85628581047058,453971.0
3,31.818780183792114,453866.0
4,38.62177777290344,453866.0
5,45.372946977615356,453866.0
6,52.622097969055176,453865.0
7,59.98923206329346,453865.0
8,66.61683082580566,453815.0
9,71.14910101890564,453815.0
10,72.65890717506409,453815.0
11,79.16066098213196,453815.0
12,85.63955879211426,453389.0
13,93.30402398109436,453389.0
14,101.68835711479187,453389.0
15,108.0664050579071,453389.0
16,109.60871386528015,453389.0
17,122.27848505973816,453389.0
18,123.80812907218933,453389.0
19,130.17864799499512,453389.0
20,136.72301197052002,453389.0
21,145.6759741306305,453389.0
22,152.75402808189392,453389.0
23,160.01194214820862,453389.0
24,166.71926093101501,453389.0
25,168.2441520690918,453389.0
26,175.36200284957886,453389.0
27,176.89209389686584,453389.0
28,184.052973985672,453389.0
29,195.72269892692566,453389.0
30,202.91275000572205,453389.0
31,212.06838297843933,453389.0
32,219.1444070339203,453389.0
33,220.67166996002197,453389.0
34,229.6830677986145,453389.0
35,236.62422490119934,453389.0
36,241.12910985946655,453389.0
37,242.63328409194946,453389.0
38,249.16724801063538,453389.0
39,250.6537730693817,453389.0
40,257.9556291103363,453389.0
41,259.477303981781,453389.0
42,267.37610697746277,453389.0
43,273.7491488456726,453389.0
44,280.9967200756073,453389.0
45,282.4986870288849,453389.0
46,293.8467571735382,453389.0
47,301.5929148197174,453389.0
48,309.0964369773865,453389.0
49,317.7932360172272,453389.0
50,325.20368099212646,453389.0
51,332.59335708618164,453389.0
52,341.10767102241516,453389.0
53,351.06357407569885,453389.0
54,357.8661937713623,453389.0
55,359.4007759094238,453389.0
56,366.9680051803589,453389.0
57,373.9823889732361,453389.0
58,380.55840611457825,453389.0
59,387.5977599620819,453389.0
60,395.0579299926758,453389.0
61,396.612380027771,453389.0
62,403.597825050354,453389.0
63,411.3391489982605,453389.0
64,418.757994890213,453389.0
65,430.1563489437103,451952.0
66,436.2908568382263,451952.0
67,442.76571702957153,451952.0
68,449.4747529029846,451952.0
69,451.0139949321747,451952.0
70,456.9913899898529,451952.0
71,463.59547209739685,451952.0
72,465.1087510585785,451952.0
73,471.1737871170044,451952.0
74,477.3816418647766,451952.0
75,484.1843400001526,451952.0
76,485.6970098018646,451952.0
77,492.15247416496277,451952.0
78,504.5488860607147,451952.0
79,506.04294180870056,451952.0
80,512.1327438354492,451952.0
81,513.140741109848,451952.0
82,1185.2498018741608,451952.0
