datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-02-01_05-03-39_995986,453971.0,"[0, 1, 3, 5, 6, 7, 0];[0, 8, 4, 0];[0, 10, 13, 0];[0, 12, 11, 0];[0, 15, 0];[0, 16, 23, 29, 0];[0, 17, 0];[0, 18, 0];[0, 19, 30, 0];[0, 20, 21, 22, 62, 63, 0];[0, 24, 0];[0, 25, 70, 0];[0, 34, 26, 14, 2, 0];[0, 36, 31, 32, 0];[0, 37, 35, 0];[0, 42, 38, 0];[0, 45, 51, 0];[0, 46, 43, 27, 0];[0, 50, 47, 68, 74, 57, 73, 75, 80, 78, 79, 77, 76, 71, 52, 0];[0, 53, 33, 44, 0];[0, 54, 55, 56, 67, 66, 65, 60, 58, 59, 81, 49, 48, 40, 41, 39, 28, 9, 0];[0, 69, 64, 61, 72, 0]",452056.0,"[0, 37, 35, 0];[0, 12, 11, 0];[0, 13, 0];[0, 8, 4, 0];[0, 15, 0];[0, 16, 23, 29, 0];[0, 17, 0];[0, 18, 0];[0, 19, 30, 0];[0, 20, 21, 22, 62, 63, 0];[0, 24, 0];[0, 25, 70, 0];[0, 14, 34, 26, 0];[0, 36, 31, 32, 0];[0, 46, 43, 27, 0];[0, 42, 38, 0];[0, 10, 45, 51, 0];[0, 1, 3, 6, 7, 5, 2, 0];[0, 53, 33, 44, 0];[0, 50, 47, 68, 74, 57, 73, 75, 80, 78, 79, 77, 76, 71, 52, 0];[0, 54, 55, 56, 67, 66, 65, 60, 58, 59, 81, 49, 48, 40, 41, 39, 28, 9, 0];[0, 64, 69, 61, 72, 0]",2,985.6241550445557
2021-02-01_05-20-13_496695,453971.0,"[0, 1, 3, 5, 6, 7, 0];[0, 8, 4, 0];[0, 10, 13, 0];[0, 12, 11, 0];[0, 15, 0];[0, 16, 23, 29, 0];[0, 17, 0];[0, 18, 0];[0, 19, 30, 0];[0, 20, 21, 22, 62, 63, 0];[0, 24, 0];[0, 25, 70, 0];[0, 34, 26, 14, 2, 0];[0, 36, 31, 32, 0];[0, 37, 35, 0];[0, 42, 38, 0];[0, 45, 51, 0];[0, 46, 43, 27, 0];[0, 50, 47, 68, 74, 57, 73, 75, 80, 78, 79, 77, 76, 71, 52, 0];[0, 53, 33, 44, 0];[0, 54, 55, 56, 67, 66, 65, 60, 58, 59, 81, 49, 48, 40, 41, 39, 28, 9, 0];[0, 69, 64, 61, 72, 0]",451967.0,"[0, 45, 51, 0];[0, 12, 0];[0, 24, 0];[0, 13, 0];[0, 15, 0];[0, 16, 23, 29, 0];[0, 17, 0];[0, 6, 7, 3, 1, 0];[0, 37, 35, 11, 0];[0, 19, 30, 0];[0, 8, 5, 2, 0];[0, 25, 70, 0];[0, 20, 21, 22, 62, 63, 0];[0, 36, 31, 32, 0];[0, 53, 33, 44, 0];[0, 42, 38, 0];[0, 18, 10, 4, 0];[0, 46, 43, 27, 0];[0, 50, 47, 68, 74, 57, 73, 75, 80, 78, 79, 77, 76, 71, 52, 0];[0, 14, 34, 26, 0];[0, 54, 55, 56, 67, 66, 65, 60, 58, 59, 81, 49, 48, 40, 41, 39, 28, 9, 0];[0, 69, 64, 61, 72, 0]",2,600.8838169574738
2021-02-01_05-30-22_138531,453971.0,"[0, 1, 3, 5, 6, 7, 0];[0, 8, 4, 0];[0, 10, 13, 0];[0, 12, 11, 0];[0, 15, 0];[0, 16, 23, 29, 0];[0, 17, 0];[0, 18, 0];[0, 19, 30, 0];[0, 20, 21, 22, 62, 63, 0];[0, 24, 0];[0, 25, 70, 0];[0, 34, 26, 14, 2, 0];[0, 36, 31, 32, 0];[0, 37, 35, 0];[0, 42, 38, 0];[0, 45, 51, 0];[0, 46, 43, 27, 0];[0, 50, 47, 68, 74, 57, 73, 75, 80, 78, 79, 77, 76, 71, 52, 0];[0, 53, 33, 44, 0];[0, 54, 55, 56, 67, 66, 65, 60, 58, 59, 81, 49, 48, 40, 41, 39, 28, 9, 0];[0, 69, 64, 61, 72, 0]",451917.0,"[0, 8, 3, 1, 0];[0, 15, 0];[0, 13, 0];[0, 12, 0];[0, 37, 10, 4, 0];[0, 16, 23, 29, 0];[0, 17, 0];[0, 18, 0];[0, 6, 7, 5, 2, 0];[0, 20, 21, 22, 62, 63, 0];[0, 46, 43, 35, 27, 11, 0];[0, 25, 70, 0];[0, 14, 34, 26, 0];[0, 36, 31, 32, 0];[0, 45, 51, 0];[0, 42, 38, 0];[0, 24, 0];[0, 53, 33, 44, 0];[0, 19, 30, 0];[0, 50, 47, 68, 74, 57, 73, 75, 80, 78, 79, 77, 76, 71, 52, 0];[0, 54, 55, 56, 67, 66, 65, 60, 58, 59, 81, 49, 48, 40, 41, 39, 28, 9, 0];[0, 64, 69, 61, 72, 0]",2,605.6958332061768
2021-02-01_05-40-35_751366,453971.0,"[0, 1, 3, 5, 6, 7, 0];[0, 8, 4, 0];[0, 10, 13, 0];[0, 12, 11, 0];[0, 15, 0];[0, 16, 23, 29, 0];[0, 17, 0];[0, 18, 0];[0, 19, 30, 0];[0, 20, 21, 22, 62, 63, 0];[0, 24, 0];[0, 25, 70, 0];[0, 34, 26, 14, 2, 0];[0, 36, 31, 32, 0];[0, 37, 35, 0];[0, 42, 38, 0];[0, 45, 51, 0];[0, 46, 43, 27, 0];[0, 50, 47, 68, 74, 57, 73, 75, 80, 78, 79, 77, 76, 71, 52, 0];[0, 53, 33, 44, 0];[0, 54, 55, 56, 67, 66, 65, 60, 58, 59, 81, 49, 48, 40, 41, 39, 28, 9, 0];[0, 69, 64, 61, 72, 0]",451953.0,"[0, 45, 51, 0];[0, 17, 0];[0, 53, 33, 44, 0];[0, 12, 0];[0, 15, 0];[0, 16, 23, 29, 0];[0, 14, 34, 26, 0];[0, 18, 0];[0, 13, 0];[0, 24, 10, 0];[0, 37, 35, 27, 0];[0, 25, 70, 0];[0, 1, 3, 6, 7, 5, 4, 0];[0, 36, 31, 32, 0];[0, 8, 2, 0];[0, 42, 38, 0];[0, 20, 21, 22, 62, 63, 0];[0, 19, 30, 0];[0, 46, 43, 11, 0];[0, 50, 47, 68, 74, 57, 73, 75, 80, 78, 79, 77, 76, 71, 52, 0];[0, 54, 55, 56, 67, 66, 65, 60, 58, 59, 81, 49, 48, 40, 41, 39, 28, 9, 0];[0, 64, 69, 61, 72, 0]",2,605.3331892490388
2021-02-01_05-50-49_015045,453971.0,"[0, 1, 3, 5, 6, 7, 0];[0, 8, 4, 0];[0, 10, 13, 0];[0, 12, 11, 0];[0, 15, 0];[0, 16, 23, 29, 0];[0, 17, 0];[0, 18, 0];[0, 19, 30, 0];[0, 20, 21, 22, 62, 63, 0];[0, 24, 0];[0, 25, 70, 0];[0, 34, 26, 14, 2, 0];[0, 36, 31, 32, 0];[0, 37, 35, 0];[0, 42, 38, 0];[0, 45, 51, 0];[0, 46, 43, 27, 0];[0, 50, 47, 68, 74, 57, 73, 75, 80, 78, 79, 77, 76, 71, 52, 0];[0, 53, 33, 44, 0];[0, 54, 55, 56, 67, 66, 65, 60, 58, 59, 81, 49, 48, 40, 41, 39, 28, 9, 0];[0, 69, 64, 61, 72, 0]",447407.0,"[0, 53, 33, 44, 0];[0, 7, 13, 0];[0, 12, 6, 0];[0, 17, 11, 0];[0, 16, 23, 29, 0];[0, 24, 0];[0, 8, 5, 2, 0];[0, 19, 30, 0];[0, 18, 10, 4, 0];[0, 20, 21, 22, 62, 63, 0];[0, 1, 3, 25, 37, 0];[0, 45, 51, 0];[0, 36, 31, 32, 0];[0, 15, 0];[0, 42, 38, 0];[0, 69, 61, 72, 0];[0, 64, 70, 0];[0, 50, 47, 68, 74, 57, 73, 75, 80, 78, 79, 77, 76, 71, 52, 0];[0, 14, 34, 26, 0];[0, 54, 55, 56, 67, 66, 65, 60, 58, 59, 81, 49, 48, 40, 41, 39, 28, 9, 0];[0, 46, 43, 35, 27, 0]",2,608.6621849536897
2021-02-01_06-01-05_901292,453971.0,"[0, 1, 3, 5, 6, 7, 0];[0, 8, 4, 0];[0, 10, 13, 0];[0, 12, 11, 0];[0, 15, 0];[0, 16, 23, 29, 0];[0, 17, 0];[0, 18, 0];[0, 19, 30, 0];[0, 20, 21, 22, 62, 63, 0];[0, 24, 0];[0, 25, 70, 0];[0, 34, 26, 14, 2, 0];[0, 36, 31, 32, 0];[0, 37, 35, 0];[0, 42, 38, 0];[0, 45, 51, 0];[0, 46, 43, 27, 0];[0, 50, 47, 68, 74, 57, 73, 75, 80, 78, 79, 77, 76, 71, 52, 0];[0, 53, 33, 44, 0];[0, 54, 55, 56, 67, 66, 65, 60, 58, 59, 81, 49, 48, 40, 41, 39, 28, 9, 0];[0, 69, 64, 61, 72, 0]",452002.0,"[0, 45, 51, 0];[0, 53, 33, 44, 0];[0, 12, 0];[0, 18, 0];[0, 15, 0];[0, 16, 23, 29, 0];[0, 37, 35, 0];[0, 24, 0];[0, 19, 30, 0];[0, 20, 21, 22, 62, 63, 0];[0, 8, 5, 2, 0];[0, 25, 70, 0];[0, 1, 3, 6, 7, 0];[0, 36, 31, 32, 0];[0, 13, 11, 10, 4, 0];[0, 42, 38, 0];[0, 17, 0];[0, 14, 34, 26, 0];[0, 50, 47, 68, 74, 57, 73, 75, 80, 78, 79, 77, 76, 71, 52, 0];[0, 46, 43, 27, 0];[0, 54, 55, 56, 67, 66, 65, 60, 58, 59, 81, 49, 48, 40, 41, 39, 28, 9, 0];[0, 69, 64, 61, 72, 0]",2,605.6987230777739
2021-02-01_06-11-19_962260,453971.0,"[0, 1, 3, 5, 6, 7, 0];[0, 8, 4, 0];[0, 10, 13, 0];[0, 12, 11, 0];[0, 15, 0];[0, 16, 23, 29, 0];[0, 17, 0];[0, 18, 0];[0, 19, 30, 0];[0, 20, 21, 22, 62, 63, 0];[0, 24, 0];[0, 25, 70, 0];[0, 34, 26, 14, 2, 0];[0, 36, 31, 32, 0];[0, 37, 35, 0];[0, 42, 38, 0];[0, 45, 51, 0];[0, 46, 43, 27, 0];[0, 50, 47, 68, 74, 57, 73, 75, 80, 78, 79, 77, 76, 71, 52, 0];[0, 53, 33, 44, 0];[0, 54, 55, 56, 67, 66, 65, 60, 58, 59, 81, 49, 48, 40, 41, 39, 28, 9, 0];[0, 69, 64, 61, 72, 0]",453390.0,"[0, 53, 33, 44, 0];[0, 24, 0];[0, 18, 0];[0, 12, 0];[0, 15, 0];[0, 16, 23, 29, 0];[0, 17, 0];[0, 13, 11, 10, 0];[0, 46, 43, 0];[0, 20, 21, 22, 62, 63, 0];[0, 8, 2, 0];[0, 25, 70, 0];[0, 19, 30, 0];[0, 36, 31, 32, 0];[0, 34, 26, 14, 0];[0, 42, 38, 0];[0, 45, 51, 0];[0, 37, 35, 27, 0];[0, 1, 3, 6, 7, 5, 4, 0];[0, 50, 47, 68, 74, 57, 73, 75, 80, 78, 79, 77, 76, 71, 52, 0];[0, 54, 55, 56, 67, 66, 65, 60, 58, 59, 81, 49, 48, 40, 41, 39, 28, 9, 0];[0, 64, 69, 61, 72, 0]",2,1061.8521239757538
2021-02-01_06-29-09_621044,453971.0,"[0, 1, 3, 5, 6, 7, 0];[0, 8, 4, 0];[0, 10, 13, 0];[0, 12, 11, 0];[0, 15, 0];[0, 16, 23, 29, 0];[0, 17, 0];[0, 18, 0];[0, 19, 30, 0];[0, 20, 21, 22, 62, 63, 0];[0, 24, 0];[0, 25, 70, 0];[0, 34, 26, 14, 2, 0];[0, 36, 31, 32, 0];[0, 37, 35, 0];[0, 42, 38, 0];[0, 45, 51, 0];[0, 46, 43, 27, 0];[0, 50, 47, 68, 74, 57, 73, 75, 80, 78, 79, 77, 76, 71, 52, 0];[0, 53, 33, 44, 0];[0, 54, 55, 56, 67, 66, 65, 60, 58, 59, 81, 49, 48, 40, 41, 39, 28, 9, 0];[0, 69, 64, 61, 72, 0]",451951.0,"[0, 45, 51, 0];[0, 12, 0];[0, 24, 0];[0, 13, 11, 10, 4, 0];[0, 15, 0];[0, 16, 23, 29, 0];[0, 17, 0];[0, 18, 0];[0, 8, 5, 2, 0];[0, 20, 21, 22, 62, 63, 0];[0, 69, 61, 72, 0];[0, 53, 33, 44, 0];[0, 46, 43, 35, 27, 0];[0, 36, 31, 32, 0];[0, 64, 70, 0];[0, 42, 38, 0];[0, 25, 37, 0];[0, 1, 3, 6, 7, 0];[0, 50, 47, 68, 74, 57, 73, 75, 80, 78, 79, 77, 76, 71, 52, 0];[0, 14, 34, 26, 0];[0, 54, 55, 56, 67, 66, 65, 60, 58, 59, 81, 49, 48, 40, 41, 39, 28, 9, 0];[0, 19, 30, 0]",2,600.7766940593721
2021-02-01_06-39-18_303689,453971.0,"[0, 1, 3, 5, 6, 7, 0];[0, 8, 4, 0];[0, 10, 13, 0];[0, 12, 11, 0];[0, 15, 0];[0, 16, 23, 29, 0];[0, 17, 0];[0, 18, 0];[0, 19, 30, 0];[0, 20, 21, 22, 62, 63, 0];[0, 24, 0];[0, 25, 70, 0];[0, 34, 26, 14, 2, 0];[0, 36, 31, 32, 0];[0, 37, 35, 0];[0, 42, 38, 0];[0, 45, 51, 0];[0, 46, 43, 27, 0];[0, 50, 47, 68, 74, 57, 73, 75, 80, 78, 79, 77, 76, 71, 52, 0];[0, 53, 33, 44, 0];[0, 54, 55, 56, 67, 66, 65, 60, 58, 59, 81, 49, 48, 40, 41, 39, 28, 9, 0];[0, 69, 64, 61, 72, 0]",451952.0,"[0, 45, 51, 0];[0, 15, 0];[0, 18, 0];[0, 12, 0];[0, 13, 0];[0, 16, 23, 29, 0];[0, 37, 35, 27, 0];[0, 1, 3, 6, 7, 0];[0, 46, 43, 0];[0, 20, 21, 22, 62, 63, 0];[0, 24, 0];[0, 25, 70, 0];[0, 53, 33, 44, 0];[0, 36, 31, 32, 0];[0, 19, 30, 0];[0, 42, 38, 0];[0, 8, 5, 2, 0];[0, 17, 11, 10, 4, 0];[0, 14, 34, 26, 0];[0, 50, 47, 68, 74, 57, 73, 75, 80, 78, 79, 77, 76, 71, 52, 0];[0, 54, 55, 56, 67, 66, 65, 60, 58, 59, 81, 49, 48, 40, 41, 39, 28, 9, 0];[0, 64, 69, 61, 72, 0]",2,1185.2593450546265
2021-02-01_06-59-12_350060,453971.0,"[0, 1, 3, 5, 6, 7, 0];[0, 8, 4, 0];[0, 10, 13, 0];[0, 12, 11, 0];[0, 15, 0];[0, 16, 23, 29, 0];[0, 17, 0];[0, 18, 0];[0, 19, 30, 0];[0, 20, 21, 22, 62, 63, 0];[0, 24, 0];[0, 25, 70, 0];[0, 34, 26, 14, 2, 0];[0, 36, 31, 32, 0];[0, 37, 35, 0];[0, 42, 38, 0];[0, 45, 51, 0];[0, 46, 43, 27, 0];[0, 50, 47, 68, 74, 57, 73, 75, 80, 78, 79, 77, 76, 71, 52, 0];[0, 53, 33, 44, 0];[0, 54, 55, 56, 67, 66, 65, 60, 58, 59, 81, 49, 48, 40, 41, 39, 28, 9, 0];[0, 69, 64, 61, 72, 0]",452482.0,"[0, 53, 33, 44, 0];[0, 24, 0];[0, 10, 45, 51, 0];[0, 12, 11, 0];[0, 15, 0];[0, 16, 23, 29, 0];[0, 17, 0];[0, 18, 0];[0, 19, 30, 0];[0, 20, 21, 22, 62, 63, 0];[0, 13, 0];[0, 25, 70, 0];[0, 1, 3, 6, 7, 0];[0, 36, 31, 32, 0];[0, 37, 35, 0];[0, 42, 38, 0];[0, 14, 34, 26, 2, 0];[0, 46, 43, 27, 0];[0, 50, 47, 68, 74, 57, 73, 75, 80, 78, 79, 77, 76, 71, 52, 0];[0, 8, 5, 4, 0];[0, 54, 55, 56, 67, 66, 65, 60, 58, 59, 81, 49, 48, 40, 41, 39, 28, 9, 0];[0, 64, 69, 61, 72, 0]",2,896.4038019180298
