it,instant,local_optimum_value
0,0.0,27000.0
1,0.601935863494873,25200.0
2,0.9458527565002441,25200.0
3,1.1806058883666992,25200.0
4,1.4168188571929932,25200.0
5,1.6484808921813965,25200.0
6,1.9889426231384277,25200.0
7,2.2245616912841797,25200.0
8,2.4662418365478516,25200.0
9,2.701652765274048,25200.0
10,2.938553810119629,25200.0
11,3.180046796798706,25200.0
12,3.4186878204345703,25200.0
13,3.6562297344207764,25200.0
14,3.8895318508148193,25200.0
15,4.125669717788696,25200.0
16,4.362184762954712,25200.0
17,4.5955588817596436,25200.0
18,4.834577798843384,25200.0
19,5.0718488693237305,25200.0
20,5.308878660202026,25200.0
21,5.547137022018433,25200.0
