datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_21-40-39_019362,27000.0,"[0, 1, 3, 6, 4, 10, 2, 13, 8, 5, 7, 0];[0, 12, 9, 11, 0]",25200.0,"[0, 12, 11, 9, 0];[0, 1, 3, 6, 10, 4, 2, 13, 5, 8, 7, 0]",2,15.366250038146973
2021-01-31_21-40-58_793818,27000.0,"[0, 1, 3, 6, 4, 10, 2, 13, 8, 5, 7, 0];[0, 12, 9, 11, 0]",25200.0,"[0, 12, 11, 9, 0];[0, 1, 3, 6, 10, 4, 2, 13, 5, 8, 7, 0]",2,15.302175045013428
2021-01-31_21-41-17_277321,27000.0,"[0, 1, 3, 6, 4, 10, 2, 13, 8, 5, 7, 0];[0, 12, 9, 11, 0]",23800.0,"[0, 11, 12, 0];[0, 9, 4, 6, 10, 1, 3, 2, 13, 5, 8, 7, 0]",2,15.023916959762573
2021-01-31_21-41-35_624236,27000.0,"[0, 1, 3, 6, 4, 10, 2, 13, 8, 5, 7, 0];[0, 12, 9, 11, 0]",24300.0,"[0, 12, 11, 9, 0];[0, 13, 2, 10, 4, 6, 3, 1, 5, 8, 7, 0]",2,15.09115195274353
2021-01-31_21-41-54_273807,27000.0,"[0, 1, 3, 6, 4, 10, 2, 13, 8, 5, 7, 0];[0, 12, 9, 11, 0]",25200.0,"[0, 1, 3, 6, 10, 4, 2, 13, 5, 8, 7, 0];[0, 12, 11, 9, 0]",2,15.199646949768065
2021-01-31_21-42-12_787469,27000.0,"[0, 1, 3, 6, 4, 10, 2, 13, 8, 5, 7, 0];[0, 12, 9, 11, 0]",25200.0,"[0, 12, 11, 9, 0];[0, 1, 3, 6, 10, 4, 2, 13, 5, 8, 7, 0]",2,15.16788911819458
2021-01-31_21-42-31_527454,27000.0,"[0, 1, 3, 6, 4, 10, 2, 13, 8, 5, 7, 0];[0, 12, 9, 11, 0]",25200.0,"[0, 12, 11, 9, 0];[0, 1, 3, 6, 10, 4, 2, 13, 5, 8, 7, 0]",2,15.185588836669922
2021-01-31_21-42-50_595584,27000.0,"[0, 1, 3, 6, 4, 10, 2, 13, 8, 5, 7, 0];[0, 12, 9, 11, 0]",25200.0,"[0, 1, 3, 6, 10, 4, 2, 13, 5, 8, 7, 0];[0, 12, 11, 9, 0]",2,15.581137895584106
2021-01-31_21-43-09_769722,27000.0,"[0, 1, 3, 6, 4, 10, 2, 13, 8, 5, 7, 0];[0, 12, 9, 11, 0]",25200.0,"[0, 12, 11, 9, 0];[0, 1, 3, 6, 10, 4, 2, 13, 5, 8, 7, 0]",2,15.265979051589966
2021-01-31_21-43-27_595004,27000.0,"[0, 1, 3, 6, 4, 10, 2, 13, 8, 5, 7, 0];[0, 12, 9, 11, 0]",25200.0,"[0, 12, 11, 9, 0];[0, 1, 3, 6, 10, 4, 2, 13, 5, 8, 7, 0]",2,15.522047996520996
