it,instant,local_optimum_value
0,0.0,117097.0
1,8.181487083435059,114749.0
2,80.39202213287354,114749.0
3,81.71031594276428,114749.0
4,95.56595611572266,111500.0
5,99.46930193901062,111500.0
6,103.16595196723938,111500.0
7,108.94408202171326,111500.0
8,110.34843492507935,111500.0
9,117.22702383995056,111500.0
10,118.63994598388672,111500.0
11,133.1132731437683,111500.0
12,134.54439496994019,111500.0
13,138.22952389717102,111500.0
14,142.0329430103302,111500.0
15,144.36855697631836,111500.0
16,150.5609860420227,111500.0
17,151.91485691070557,111500.0
18,155.59513187408447,111500.0
19,167.70805096626282,111500.0
20,169.15508604049683,111500.0
21,173.89664506912231,111500.0
22,177.85441398620605,111500.0
23,183.12923002243042,111500.0
24,184.63435792922974,111500.0
25,193.731773853302,111500.0
26,195.00150513648987,111500.0
27,198.97465920448303,111500.0
28,204.29743099212646,111500.0
29,205.76427912712097,111500.0
30,215.62604689598083,111500.0
31,216.9494059085846,111500.0
32,220.64335894584656,111500.0
33,224.75400304794312,111500.0
34,231.8712990283966,111500.0
35,233.27630400657654,111500.0
36,277.6972670555115,111500.0
37,279.04121804237366,111500.0
38,282.8892788887024,111500.0
39,286.9036979675293,111500.0
40,290.99499106407166,111500.0
41,296.86710596084595,111500.0
42,298.27994179725647,111500.0
43,301.93936681747437,111500.0
44,305.8489000797272,111500.0
45,309.88328409194946,111500.0
46,313.70819997787476,111500.0
47,317.9458518028259,111500.0
48,360.76867294311523,108457.0
49,377.1200158596039,108457.0
50,378.55811405181885,108457.0
51,391.450777053833,108457.0
52,392.833377122879,108457.0
53,405.052698135376,108457.0
54,416.84937286376953,108457.0
55,428.6288859844208,108457.0
56,440.6696388721466,108457.0
57,451.9677062034607,108457.0
58,463.00449991226196,108457.0
59,473.1429510116577,108457.0
60,474.5229260921478,108457.0
61,485.03687715530396,108457.0
62,496.60484504699707,108457.0
63,525.9340090751648,108457.0
64,527.4808421134949,108457.0
65,539.0785670280457,108457.0
66,550.9476540088654,108457.0
67,562.6530251502991,108457.0
68,564.0641658306122,108457.0
69,573.896744966507,108419.0
70,588.7135679721832,107939.0
71,592.859738111496,107939.0
72,594.3369100093842,107939.0
73,603.4288539886475,107939.0
