datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-02-01_03-20-01_040201,117097.0,"[0, 3, 4, 6, 5, 1, 2, 0];[0, 8, 7, 9, 11, 29, 34, 20, 19, 41, 46, 39, 25, 0];[0, 12, 13, 16, 48, 42, 47, 70, 88, 89, 74, 75, 76, 77, 59, 58, 0];[0, 35, 28, 27, 21, 17, 22, 31, 30, 33, 32, 49, 50, 51, 84, 85, 83, 81, 82, 80, 56, 57, 44, 45, 15, 10, 23, 26, 36, 40, 0];[0, 55, 52, 54, 63, 64, 65, 53, 61, 62, 67, 71, 72, 73, 86, 87, 79, 78, 60, 68, 69, 66, 43, 37, 38, 24, 18, 14, 0]",115318.0,"[0, 31, 50, 67, 71, 68, 49, 19, 13, 6, 5, 4, 3, 2, 1, 0];[0, 8, 7, 9, 11, 16, 29, 34, 20, 41, 46, 39, 0];[0, 35, 54, 53, 63, 64, 65, 52, 55, 61, 62, 86, 87, 79, 78, 60, 73, 72, 69, 66, 43, 48, 37, 25, 38, 24, 22, 18, 14, 0];[0, 12, 42, 47, 70, 88, 89, 74, 75, 76, 77, 59, 58, 0];[0, 17, 28, 27, 21, 30, 33, 32, 51, 84, 85, 83, 81, 82, 80, 56, 57, 44, 45, 15, 10, 23, 26, 36, 40, 0]",2,602.4149146080018
2021-02-01_03-30-15_145538,117097.0,"[0, 3, 4, 6, 5, 1, 2, 0];[0, 8, 7, 9, 11, 29, 34, 20, 19, 41, 46, 39, 25, 0];[0, 12, 13, 16, 48, 42, 47, 70, 88, 89, 74, 75, 76, 77, 59, 58, 0];[0, 35, 28, 27, 21, 17, 22, 31, 30, 33, 32, 49, 50, 51, 84, 85, 83, 81, 82, 80, 56, 57, 44, 45, 15, 10, 23, 26, 36, 40, 0];[0, 55, 52, 54, 63, 64, 65, 53, 61, 62, 67, 71, 72, 73, 86, 87, 79, 78, 60, 68, 69, 66, 43, 37, 38, 24, 18, 14, 0]",109527.0,"[0, 1, 4, 3, 6, 5, 0];[0, 8, 7, 9, 11, 16, 29, 34, 19, 20, 41, 49, 54, 53, 46, 39, 0];[0, 52, 63, 64, 65, 61, 62, 67, 71, 86, 87, 79, 78, 68, 60, 73, 72, 69, 66, 43, 48, 38, 37, 25, 24, 22, 17, 18, 14, 13, 2, 0];[0, 12, 42, 47, 70, 88, 89, 74, 75, 76, 77, 59, 58, 0];[0, 35, 28, 27, 21, 31, 30, 33, 32, 50, 51, 55, 84, 85, 83, 81, 82, 80, 56, 57, 44, 45, 15, 10, 23, 26, 36, 40, 0]",2,604.54319190979
2021-02-01_03-40-31_676192,117097.0,"[0, 3, 4, 6, 5, 1, 2, 0];[0, 8, 7, 9, 11, 29, 34, 20, 19, 41, 46, 39, 25, 0];[0, 12, 13, 16, 48, 42, 47, 70, 88, 89, 74, 75, 76, 77, 59, 58, 0];[0, 35, 28, 27, 21, 17, 22, 31, 30, 33, 32, 49, 50, 51, 84, 85, 83, 81, 82, 80, 56, 57, 44, 45, 15, 10, 23, 26, 36, 40, 0];[0, 55, 52, 54, 63, 64, 65, 53, 61, 62, 67, 71, 72, 73, 86, 87, 79, 78, 60, 68, 69, 66, 43, 37, 38, 24, 18, 14, 0]",107801.0,"[0, 3, 6, 5, 2, 1, 0];[0, 12, 16, 42, 47, 70, 88, 89, 74, 75, 76, 77, 59, 58, 0];[0, 8, 7, 9, 11, 29, 34, 19, 20, 41, 46, 39, 0];[0, 35, 28, 27, 21, 30, 33, 32, 55, 84, 85, 83, 81, 82, 80, 56, 57, 44, 45, 15, 10, 23, 26, 36, 40, 0];[0, 31, 50, 51, 54, 53, 63, 64, 65, 52, 49, 61, 62, 67, 71, 86, 87, 79, 78, 68, 60, 73, 72, 69, 66, 43, 48, 38, 37, 25, 24, 22, 17, 18, 14, 13, 4, 0]",2,603.4957432746887
2021-02-01_03-50-46_923306,117097.0,"[0, 3, 4, 6, 5, 1, 2, 0];[0, 8, 7, 9, 11, 29, 34, 20, 19, 41, 46, 39, 25, 0];[0, 12, 13, 16, 48, 42, 47, 70, 88, 89, 74, 75, 76, 77, 59, 58, 0];[0, 35, 28, 27, 21, 17, 22, 31, 30, 33, 32, 49, 50, 51, 84, 85, 83, 81, 82, 80, 56, 57, 44, 45, 15, 10, 23, 26, 36, 40, 0];[0, 55, 52, 54, 63, 64, 65, 53, 61, 62, 67, 71, 72, 73, 86, 87, 79, 78, 60, 68, 69, 66, 43, 37, 38, 24, 18, 14, 0]",107801.0,"[0, 12, 16, 42, 47, 70, 88, 89, 74, 75, 76, 77, 59, 58, 0];[0, 3, 6, 5, 2, 1, 0];[0, 31, 50, 51, 54, 53, 63, 64, 65, 52, 49, 61, 62, 67, 71, 86, 87, 79, 78, 68, 60, 73, 72, 69, 66, 43, 48, 38, 37, 25, 24, 22, 17, 18, 14, 13, 4, 0];[0, 35, 28, 27, 21, 30, 33, 32, 55, 84, 85, 83, 81, 82, 80, 56, 57, 44, 45, 15, 10, 23, 26, 36, 40, 0];[0, 8, 7, 9, 11, 29, 34, 19, 20, 41, 46, 39, 0]",2,607.0476131439209
2021-02-01_04-01-05_746707,117097.0,"[0, 3, 4, 6, 5, 1, 2, 0];[0, 8, 7, 9, 11, 29, 34, 20, 19, 41, 46, 39, 25, 0];[0, 12, 13, 16, 48, 42, 47, 70, 88, 89, 74, 75, 76, 77, 59, 58, 0];[0, 35, 28, 27, 21, 17, 22, 31, 30, 33, 32, 49, 50, 51, 84, 85, 83, 81, 82, 80, 56, 57, 44, 45, 15, 10, 23, 26, 36, 40, 0];[0, 55, 52, 54, 63, 64, 65, 53, 61, 62, 67, 71, 72, 73, 86, 87, 79, 78, 60, 68, 69, 66, 43, 37, 38, 24, 18, 14, 0]",107939.0,"[0, 1, 4, 3, 6, 5, 0];[0, 12, 16, 42, 47, 70, 88, 89, 74, 75, 76, 77, 59, 58, 0];[0, 8, 7, 9, 11, 29, 34, 19, 20, 41, 46, 39, 0];[0, 31, 50, 51, 63, 64, 65, 52, 55, 61, 62, 67, 71, 86, 87, 79, 78, 68, 60, 73, 72, 69, 66, 54, 53, 43, 48, 38, 37, 25, 24, 22, 17, 18, 14, 13, 2, 0];[0, 35, 28, 27, 21, 30, 33, 32, 49, 84, 85, 83, 81, 82, 80, 56, 57, 44, 45, 15, 10, 23, 26, 36, 40, 0]",2,603.4802770614624
2021-02-01_04-11-21_079191,117097.0,"[0, 3, 4, 6, 5, 1, 2, 0];[0, 8, 7, 9, 11, 29, 34, 20, 19, 41, 46, 39, 25, 0];[0, 12, 13, 16, 48, 42, 47, 70, 88, 89, 74, 75, 76, 77, 59, 58, 0];[0, 35, 28, 27, 21, 17, 22, 31, 30, 33, 32, 49, 50, 51, 84, 85, 83, 81, 82, 80, 56, 57, 44, 45, 15, 10, 23, 26, 36, 40, 0];[0, 55, 52, 54, 63, 64, 65, 53, 61, 62, 67, 71, 72, 73, 86, 87, 79, 78, 60, 68, 69, 66, 43, 37, 38, 24, 18, 14, 0]",108327.0,"[0, 8, 7, 9, 11, 16, 29, 34, 19, 20, 41, 49, 50, 51, 54, 53, 46, 39, 22, 0];[0, 35, 28, 27, 21, 30, 33, 32, 84, 85, 83, 81, 82, 80, 56, 57, 44, 45, 15, 10, 23, 26, 36, 40, 0];[0, 31, 63, 64, 65, 52, 55, 61, 62, 67, 71, 86, 87, 79, 78, 68, 60, 73, 72, 69, 66, 43, 48, 38, 37, 25, 24, 17, 18, 14, 13, 4, 0];[0, 3, 6, 5, 2, 1, 0];[0, 12, 42, 47, 70, 88, 89, 74, 75, 76, 77, 59, 58, 0]",2,606.4459111690521
2021-02-01_04-21-38_886621,117097.0,"[0, 3, 4, 6, 5, 1, 2, 0];[0, 8, 7, 9, 11, 29, 34, 20, 19, 41, 46, 39, 25, 0];[0, 12, 13, 16, 48, 42, 47, 70, 88, 89, 74, 75, 76, 77, 59, 58, 0];[0, 35, 28, 27, 21, 17, 22, 31, 30, 33, 32, 49, 50, 51, 84, 85, 83, 81, 82, 80, 56, 57, 44, 45, 15, 10, 23, 26, 36, 40, 0];[0, 55, 52, 54, 63, 64, 65, 53, 61, 62, 67, 71, 72, 73, 86, 87, 79, 78, 60, 68, 69, 66, 43, 37, 38, 24, 18, 14, 0]",112666.0,"[0, 42, 47, 70, 88, 89, 74, 75, 76, 77, 59, 58, 0];[0, 52, 54, 53, 63, 64, 65, 61, 62, 67, 71, 86, 87, 79, 78, 68, 60, 73, 72, 69, 66, 43, 48, 27, 24, 14, 2, 0];[0, 8, 7, 9, 11, 29, 34, 19, 20, 41, 46, 39, 0];[0, 1, 4, 3, 12, 17, 18, 35, 37, 25, 38, 22, 16, 13, 6, 5, 0];[0, 28, 21, 31, 30, 33, 32, 49, 50, 51, 55, 84, 85, 83, 81, 82, 80, 56, 57, 44, 45, 15, 10, 23, 26, 36, 40, 0]",2,601.6340970993043
2021-02-01_04-31-51_635184,117097.0,"[0, 3, 4, 6, 5, 1, 2, 0];[0, 8, 7, 9, 11, 29, 34, 20, 19, 41, 46, 39, 25, 0];[0, 12, 13, 16, 48, 42, 47, 70, 88, 89, 74, 75, 76, 77, 59, 58, 0];[0, 35, 28, 27, 21, 17, 22, 31, 30, 33, 32, 49, 50, 51, 84, 85, 83, 81, 82, 80, 56, 57, 44, 45, 15, 10, 23, 26, 36, 40, 0];[0, 55, 52, 54, 63, 64, 65, 53, 61, 62, 67, 71, 72, 73, 86, 87, 79, 78, 60, 68, 69, 66, 43, 37, 38, 24, 18, 14, 0]",115925.0,"[0, 8, 7, 9, 11, 29, 34, 19, 20, 41, 46, 39, 0];[0, 52, 54, 63, 64, 65, 53, 61, 62, 67, 71, 72, 73, 86, 87, 79, 78, 60, 68, 69, 66, 43, 37, 24, 14, 0];[0, 12, 16, 48, 42, 47, 70, 88, 89, 74, 75, 76, 77, 59, 58, 0];[0, 28, 27, 21, 31, 30, 33, 32, 49, 50, 51, 55, 84, 85, 83, 81, 82, 80, 56, 57, 44, 45, 15, 10, 23, 26, 36, 40, 0];[0, 3, 4, 17, 18, 35, 25, 38, 22, 13, 6, 5, 2, 1, 0]",2,602.2901840209961
2021-02-01_04-42-04_916025,117097.0,"[0, 3, 4, 6, 5, 1, 2, 0];[0, 8, 7, 9, 11, 29, 34, 20, 19, 41, 46, 39, 25, 0];[0, 12, 13, 16, 48, 42, 47, 70, 88, 89, 74, 75, 76, 77, 59, 58, 0];[0, 35, 28, 27, 21, 17, 22, 31, 30, 33, 32, 49, 50, 51, 84, 85, 83, 81, 82, 80, 56, 57, 44, 45, 15, 10, 23, 26, 36, 40, 0];[0, 55, 52, 54, 63, 64, 65, 53, 61, 62, 67, 71, 72, 73, 86, 87, 79, 78, 60, 68, 69, 66, 43, 37, 38, 24, 18, 14, 0]",115329.0,"[0, 52, 54, 63, 64, 65, 53, 61, 62, 67, 71, 72, 73, 86, 87, 79, 78, 60, 68, 69, 66, 43, 37, 38, 24, 14, 0];[0, 12, 16, 48, 42, 47, 70, 88, 89, 74, 75, 76, 77, 59, 58, 0];[0, 8, 7, 9, 11, 29, 34, 19, 20, 41, 46, 39, 25, 0];[0, 35, 28, 27, 21, 31, 30, 33, 32, 49, 50, 51, 55, 84, 85, 83, 81, 82, 80, 56, 57, 44, 45, 15, 10, 23, 26, 36, 40, 0];[0, 3, 4, 17, 18, 22, 13, 6, 5, 2, 1, 0]",2,602.0232179164886
2021-02-01_04-52-18_164328,117097.0,"[0, 3, 4, 6, 5, 1, 2, 0];[0, 8, 7, 9, 11, 29, 34, 20, 19, 41, 46, 39, 25, 0];[0, 12, 13, 16, 48, 42, 47, 70, 88, 89, 74, 75, 76, 77, 59, 58, 0];[0, 35, 28, 27, 21, 17, 22, 31, 30, 33, 32, 49, 50, 51, 84, 85, 83, 81, 82, 80, 56, 57, 44, 45, 15, 10, 23, 26, 36, 40, 0];[0, 55, 52, 54, 63, 64, 65, 53, 61, 62, 67, 71, 72, 73, 86, 87, 79, 78, 60, 68, 69, 66, 43, 37, 38, 24, 18, 14, 0]",108718.0,"[0, 12, 42, 47, 70, 88, 89, 74, 75, 76, 77, 59, 58, 0];[0, 1, 5, 6, 4, 0];[0, 8, 7, 9, 11, 16, 29, 34, 19, 20, 41, 49, 50, 51, 54, 53, 46, 39, 0];[0, 35, 28, 27, 21, 31, 30, 33, 32, 55, 84, 85, 83, 81, 82, 80, 56, 57, 44, 45, 15, 10, 23, 26, 36, 40, 0];[0, 3, 52, 63, 64, 65, 61, 62, 67, 71, 86, 87, 79, 78, 68, 60, 73, 72, 69, 66, 43, 48, 38, 37, 25, 24, 22, 17, 18, 14, 13, 2, 0]",2,601.7063021659851
