it,instant,local_optimum_value
0,0.0,131208.0
1,7.014301061630249,128455.0
2,9.193956851959229,128455.0
3,11.451550960540771,128455.0
4,13.70173692703247,128455.0
5,15.747143030166626,128455.0
6,18.07694125175476,128455.0
7,20.12777805328369,128455.0
8,22.465157985687256,128455.0
9,24.805365085601807,128455.0
10,26.937469005584717,128455.0
11,29.326853036880493,128455.0
12,31.444193124771118,128455.0
13,33.72130012512207,128455.0
14,36.0356969833374,128455.0
15,38.0754919052124,128455.0
16,40.37454009056091,128455.0
17,42.68143105506897,128455.0
18,44.798300981521606,128455.0
19,47.23749613761902,128455.0
20,49.56940698623657,128455.0
21,51.65603590011597,128455.0
