datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-02-01_01-36-48_920582,131208.0,"[0, 3, 4, 1, 2, 8, 9, 7, 0];[0, 17, 23, 46, 25, 35, 14, 0];[0, 18, 22, 31, 30, 33, 16, 11, 29, 34, 20, 41, 37, 38, 24, 26, 36, 0];[0, 28, 27, 21, 40, 10, 5, 6, 0];[0, 32, 49, 55, 52, 65, 53, 56, 57, 50, 51, 54, 63, 72, 85, 83, 81, 82, 79, 59, 86, 87, 60, 68, 71, 88, 89, 64, 61, 62, 67, 70, 69, 66, 43, 0];[0, 44, 39, 45, 15, 12, 13, 19, 47, 73, 84, 74, 75, 76, 77, 58, 78, 80, 48, 42, 0]",127408.0,"[0, 3, 2, 1, 5, 8, 9, 7, 4, 0];[0, 23, 46, 25, 35, 14, 0];[0, 18, 22, 31, 30, 33, 16, 11, 29, 34, 20, 41, 37, 38, 24, 26, 36, 0];[0, 28, 27, 21, 40, 10, 6, 0];[0, 17, 44, 39, 45, 15, 12, 13, 19, 47, 73, 84, 74, 75, 76, 77, 58, 78, 80, 48, 42, 0];[0, 32, 49, 52, 65, 54, 55, 56, 57, 50, 51, 53, 63, 72, 85, 83, 81, 82, 79, 59, 86, 87, 68, 60, 71, 88, 89, 64, 61, 62, 67, 70, 69, 66, 43, 0]",2,601.6364600658418
2021-02-01_01-47-00_931078,131208.0,"[0, 3, 4, 1, 2, 8, 9, 7, 0];[0, 17, 23, 46, 25, 35, 14, 0];[0, 18, 22, 31, 30, 33, 16, 11, 29, 34, 20, 41, 37, 38, 24, 26, 36, 0];[0, 28, 27, 21, 40, 10, 5, 6, 0];[0, 32, 49, 55, 52, 65, 53, 56, 57, 50, 51, 54, 63, 72, 85, 83, 81, 82, 79, 59, 86, 87, 60, 68, 71, 88, 89, 64, 61, 62, 67, 70, 69, 66, 43, 0];[0, 44, 39, 45, 15, 12, 13, 19, 47, 73, 84, 74, 75, 76, 77, 58, 78, 80, 48, 42, 0]",124661.0,"[0, 1, 5, 4, 3, 8, 9, 7, 2, 0];[0, 28, 27, 21, 40, 10, 6, 0];[0, 17, 18, 22, 31, 30, 33, 16, 11, 29, 34, 20, 41, 37, 38, 24, 26, 36, 0];[0, 23, 46, 25, 35, 14, 0];[0, 44, 39, 45, 15, 12, 13, 47, 73, 84, 74, 75, 76, 77, 58, 78, 80, 48, 42, 19, 0];[0, 32, 49, 52, 65, 54, 55, 56, 57, 50, 51, 53, 63, 72, 85, 83, 81, 82, 79, 59, 86, 87, 68, 60, 71, 88, 89, 64, 61, 62, 67, 70, 69, 66, 43, 0]",2,601.0574972629547
2021-02-01_01-57-12_690825,131208.0,"[0, 3, 4, 1, 2, 8, 9, 7, 0];[0, 17, 23, 46, 25, 35, 14, 0];[0, 18, 22, 31, 30, 33, 16, 11, 29, 34, 20, 41, 37, 38, 24, 26, 36, 0];[0, 28, 27, 21, 40, 10, 5, 6, 0];[0, 32, 49, 55, 52, 65, 53, 56, 57, 50, 51, 54, 63, 72, 85, 83, 81, 82, 79, 59, 86, 87, 60, 68, 71, 88, 89, 64, 61, 62, 67, 70, 69, 66, 43, 0];[0, 44, 39, 45, 15, 12, 13, 19, 47, 73, 84, 74, 75, 76, 77, 58, 78, 80, 48, 42, 0]",126114.0,"[0, 3, 2, 1, 5, 8, 9, 7, 4, 0];[0, 18, 22, 31, 30, 33, 16, 11, 29, 34, 20, 41, 37, 38, 24, 26, 36, 0];[0, 44, 39, 45, 15, 12, 13, 47, 73, 84, 74, 75, 76, 77, 58, 78, 80, 48, 42, 19, 0];[0, 28, 27, 21, 40, 10, 6, 0];[0, 32, 49, 52, 65, 54, 55, 56, 57, 50, 51, 53, 63, 72, 85, 83, 81, 82, 79, 59, 86, 87, 68, 60, 71, 88, 89, 64, 61, 62, 67, 70, 69, 66, 43, 0];[0, 17, 23, 46, 25, 35, 14, 0]",2,600.4427700042726
2021-02-01_02-07-23_387876,131208.0,"[0, 3, 4, 1, 2, 8, 9, 7, 0];[0, 17, 23, 46, 25, 35, 14, 0];[0, 18, 22, 31, 30, 33, 16, 11, 29, 34, 20, 41, 37, 38, 24, 26, 36, 0];[0, 28, 27, 21, 40, 10, 5, 6, 0];[0, 32, 49, 55, 52, 65, 53, 56, 57, 50, 51, 54, 63, 72, 85, 83, 81, 82, 79, 59, 86, 87, 60, 68, 71, 88, 89, 64, 61, 62, 67, 70, 69, 66, 43, 0];[0, 44, 39, 45, 15, 12, 13, 19, 47, 73, 84, 74, 75, 76, 77, 58, 78, 80, 48, 42, 0]",127408.0,"[0, 3, 2, 1, 5, 8, 9, 7, 4, 0];[0, 32, 49, 52, 65, 54, 55, 56, 57, 50, 51, 53, 63, 72, 85, 83, 81, 82, 79, 59, 86, 87, 68, 60, 71, 88, 89, 64, 61, 62, 67, 70, 69, 66, 43, 0];[0, 23, 46, 25, 35, 14, 0];[0, 18, 22, 31, 30, 33, 16, 11, 29, 34, 20, 41, 37, 38, 24, 26, 36, 0];[0, 28, 27, 21, 40, 10, 6, 0];[0, 17, 44, 39, 45, 15, 12, 13, 19, 47, 73, 84, 74, 75, 76, 77, 58, 78, 80, 48, 42, 0]",2,604.9846727848052
2021-02-01_02-17-38_734135,131208.0,"[0, 3, 4, 1, 2, 8, 9, 7, 0];[0, 17, 23, 46, 25, 35, 14, 0];[0, 18, 22, 31, 30, 33, 16, 11, 29, 34, 20, 41, 37, 38, 24, 26, 36, 0];[0, 28, 27, 21, 40, 10, 5, 6, 0];[0, 32, 49, 55, 52, 65, 53, 56, 57, 50, 51, 54, 63, 72, 85, 83, 81, 82, 79, 59, 86, 87, 60, 68, 71, 88, 89, 64, 61, 62, 67, 70, 69, 66, 43, 0];[0, 44, 39, 45, 15, 12, 13, 19, 47, 73, 84, 74, 75, 76, 77, 58, 78, 80, 48, 42, 0]",127408.0,"[0, 3, 2, 1, 5, 8, 9, 7, 4, 0];[0, 28, 27, 21, 40, 10, 6, 0];[0, 44, 39, 45, 15, 12, 13, 19, 47, 73, 84, 74, 75, 76, 77, 58, 78, 80, 48, 42, 0];[0, 18, 22, 31, 30, 33, 16, 11, 29, 34, 20, 41, 37, 38, 24, 26, 36, 0];[0, 17, 32, 49, 52, 65, 54, 55, 56, 57, 50, 51, 53, 63, 72, 85, 83, 81, 82, 79, 59, 86, 87, 68, 60, 71, 88, 89, 64, 61, 62, 67, 70, 69, 66, 43, 0];[0, 23, 46, 25, 35, 14, 0]",2,609.1602780818938
2021-02-01_02-27-58_191858,131208.0,"[0, 3, 4, 1, 2, 8, 9, 7, 0];[0, 17, 23, 46, 25, 35, 14, 0];[0, 18, 22, 31, 30, 33, 16, 11, 29, 34, 20, 41, 37, 38, 24, 26, 36, 0];[0, 28, 27, 21, 40, 10, 5, 6, 0];[0, 32, 49, 55, 52, 65, 53, 56, 57, 50, 51, 54, 63, 72, 85, 83, 81, 82, 79, 59, 86, 87, 60, 68, 71, 88, 89, 64, 61, 62, 67, 70, 69, 66, 43, 0];[0, 44, 39, 45, 15, 12, 13, 19, 47, 73, 84, 74, 75, 76, 77, 58, 78, 80, 48, 42, 0]",127408.0,"[0, 3, 2, 1, 5, 8, 9, 7, 4, 0];[0, 44, 39, 45, 15, 12, 13, 19, 47, 73, 84, 74, 75, 76, 77, 58, 78, 80, 48, 42, 0];[0, 23, 46, 25, 35, 14, 0];[0, 18, 22, 31, 30, 33, 16, 11, 29, 34, 20, 41, 37, 38, 24, 26, 36, 0];[0, 28, 27, 21, 40, 10, 6, 0];[0, 17, 32, 49, 52, 65, 54, 55, 56, 57, 50, 51, 53, 63, 72, 85, 83, 81, 82, 79, 59, 86, 87, 68, 60, 71, 88, 89, 64, 61, 62, 67, 70, 69, 66, 43, 0]",2,603.5236968994142
2021-02-01_02-38-11_944526,131208.0,"[0, 3, 4, 1, 2, 8, 9, 7, 0];[0, 17, 23, 46, 25, 35, 14, 0];[0, 18, 22, 31, 30, 33, 16, 11, 29, 34, 20, 41, 37, 38, 24, 26, 36, 0];[0, 28, 27, 21, 40, 10, 5, 6, 0];[0, 32, 49, 55, 52, 65, 53, 56, 57, 50, 51, 54, 63, 72, 85, 83, 81, 82, 79, 59, 86, 87, 60, 68, 71, 88, 89, 64, 61, 62, 67, 70, 69, 66, 43, 0];[0, 44, 39, 45, 15, 12, 13, 19, 47, 73, 84, 74, 75, 76, 77, 58, 78, 80, 48, 42, 0]",126114.0,"[0, 3, 2, 1, 5, 8, 9, 7, 4, 0];[0, 18, 22, 31, 30, 33, 16, 11, 29, 34, 20, 41, 37, 38, 24, 26, 36, 0];[0, 23, 46, 25, 35, 14, 0];[0, 44, 39, 45, 15, 12, 13, 47, 73, 84, 74, 75, 76, 77, 58, 78, 80, 48, 42, 19, 0];[0, 28, 27, 21, 40, 10, 6, 0];[0, 17, 32, 49, 52, 65, 54, 55, 56, 57, 50, 51, 53, 63, 72, 85, 83, 81, 82, 79, 59, 86, 87, 68, 60, 71, 88, 89, 64, 61, 62, 67, 70, 69, 66, 43, 0]",2,601.2411601543428
2021-02-01_02-48-23_418872,131208.0,"[0, 3, 4, 1, 2, 8, 9, 7, 0];[0, 17, 23, 46, 25, 35, 14, 0];[0, 18, 22, 31, 30, 33, 16, 11, 29, 34, 20, 41, 37, 38, 24, 26, 36, 0];[0, 28, 27, 21, 40, 10, 5, 6, 0];[0, 32, 49, 55, 52, 65, 53, 56, 57, 50, 51, 54, 63, 72, 85, 83, 81, 82, 79, 59, 86, 87, 60, 68, 71, 88, 89, 64, 61, 62, 67, 70, 69, 66, 43, 0];[0, 44, 39, 45, 15, 12, 13, 19, 47, 73, 84, 74, 75, 76, 77, 58, 78, 80, 48, 42, 0]",129718.0,"[0, 3, 2, 1, 5, 8, 9, 15, 7, 4, 0];[0, 32, 49, 52, 65, 54, 55, 56, 57, 50, 51, 53, 63, 72, 85, 83, 81, 82, 79, 59, 86, 87, 68, 60, 71, 88, 89, 64, 61, 62, 67, 70, 69, 66, 43, 0];[0, 23, 46, 25, 35, 14, 0];[0, 44, 39, 45, 12, 13, 19, 47, 73, 84, 74, 75, 76, 77, 58, 78, 80, 48, 42, 0];[0, 28, 27, 21, 40, 10, 6, 0];[0, 17, 18, 22, 31, 30, 33, 16, 11, 29, 34, 20, 41, 37, 38, 24, 26, 36, 0]",2,601.6071119308473
2021-02-01_02-58-35_383171,131208.0,"[0, 3, 4, 1, 2, 8, 9, 7, 0];[0, 17, 23, 46, 25, 35, 14, 0];[0, 18, 22, 31, 30, 33, 16, 11, 29, 34, 20, 41, 37, 38, 24, 26, 36, 0];[0, 28, 27, 21, 40, 10, 5, 6, 0];[0, 32, 49, 55, 52, 65, 53, 56, 57, 50, 51, 54, 63, 72, 85, 83, 81, 82, 79, 59, 86, 87, 60, 68, 71, 88, 89, 64, 61, 62, 67, 70, 69, 66, 43, 0];[0, 44, 39, 45, 15, 12, 13, 19, 47, 73, 84, 74, 75, 76, 77, 58, 78, 80, 48, 42, 0]",127408.0,"[0, 3, 2, 1, 5, 8, 9, 7, 4, 0];[0, 44, 39, 45, 15, 12, 13, 19, 47, 73, 84, 74, 75, 76, 77, 58, 78, 80, 48, 42, 0];[0, 18, 22, 31, 30, 33, 16, 11, 29, 34, 20, 41, 37, 38, 24, 26, 36, 0];[0, 28, 27, 21, 40, 10, 6, 0];[0, 17, 32, 49, 52, 65, 54, 55, 56, 57, 50, 51, 53, 63, 72, 85, 83, 81, 82, 79, 59, 86, 87, 68, 60, 71, 88, 89, 64, 61, 62, 67, 70, 69, 66, 43, 0];[0, 23, 46, 25, 35, 14, 0]",2,600.0858759880066
2021-02-01_03-08-45_814310,131208.0,"[0, 3, 4, 1, 2, 8, 9, 7, 0];[0, 17, 23, 46, 25, 35, 14, 0];[0, 18, 22, 31, 30, 33, 16, 11, 29, 34, 20, 41, 37, 38, 24, 26, 36, 0];[0, 28, 27, 21, 40, 10, 5, 6, 0];[0, 32, 49, 55, 52, 65, 53, 56, 57, 50, 51, 54, 63, 72, 85, 83, 81, 82, 79, 59, 86, 87, 60, 68, 71, 88, 89, 64, 61, 62, 67, 70, 69, 66, 43, 0];[0, 44, 39, 45, 15, 12, 13, 19, 47, 73, 84, 74, 75, 76, 77, 58, 78, 80, 48, 42, 0]",124661.0,"[0, 1, 5, 4, 3, 8, 9, 7, 2, 0];[0, 18, 22, 31, 30, 33, 16, 11, 29, 34, 20, 41, 37, 38, 24, 26, 36, 0];[0, 17, 28, 27, 21, 40, 10, 6, 0];[0, 44, 39, 45, 15, 12, 13, 47, 73, 84, 74, 75, 76, 77, 58, 78, 80, 48, 42, 19, 0];[0, 23, 46, 25, 35, 14, 0];[0, 32, 49, 52, 65, 54, 55, 56, 57, 50, 51, 53, 63, 72, 85, 83, 81, 82, 79, 59, 86, 87, 68, 60, 71, 88, 89, 64, 61, 62, 67, 70, 69, 66, 43, 0]",2,602.9555881023407
