datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_23-53-50_879288,142936.0,"[0, 6, 5, 2, 0];[0, 9, 7, 11, 29, 34, 20, 41, 17, 15, 8, 3, 4, 1, 0];[0, 18, 22, 32, 49, 78, 79, 80, 48, 42, 0];[0, 28, 27, 23, 21, 40, 0];[0, 31, 30, 33, 50, 51, 73, 84, 74, 75, 76, 77, 86, 87, 58, 59, 0];[0, 37, 38, 26, 36, 10, 46, 24, 35, 14, 0];[0, 44, 39, 25, 45, 12, 13, 16, 19, 47, 65, 53, 54, 55, 52, 56, 57, 61, 62, 85, 83, 81, 82, 60, 68, 71, 88, 67, 64, 70, 63, 72, 89, 69, 66, 43, 0]",141549.0,"[0, 6, 5, 2, 0];[0, 9, 7, 11, 29, 34, 20, 41, 15, 8, 3, 4, 1, 0];[0, 31, 30, 33, 50, 51, 73, 72, 84, 74, 75, 76, 77, 86, 87, 58, 59, 0];[0, 17, 44, 39, 25, 45, 12, 13, 16, 19, 47, 65, 53, 54, 52, 55, 56, 57, 61, 62, 85, 83, 81, 82, 60, 68, 71, 88, 67, 64, 70, 63, 89, 69, 66, 43, 0];[0, 37, 38, 26, 36, 10, 46, 24, 35, 14, 0];[0, 28, 27, 23, 21, 40, 0];[0, 18, 22, 32, 49, 78, 79, 80, 48, 42, 0]",2,601.2474360466002
2021-02-01_00-04-03_683759,142936.0,"[0, 6, 5, 2, 0];[0, 9, 7, 11, 29, 34, 20, 41, 17, 15, 8, 3, 4, 1, 0];[0, 18, 22, 32, 49, 78, 79, 80, 48, 42, 0];[0, 28, 27, 23, 21, 40, 0];[0, 31, 30, 33, 50, 51, 73, 84, 74, 75, 76, 77, 86, 87, 58, 59, 0];[0, 37, 38, 26, 36, 10, 46, 24, 35, 14, 0];[0, 44, 39, 25, 45, 12, 13, 16, 19, 47, 65, 53, 54, 55, 52, 56, 57, 61, 62, 85, 83, 81, 82, 60, 68, 71, 88, 67, 64, 70, 63, 72, 89, 69, 66, 43, 0]",137657.0,"[0, 6, 5, 2, 0];[0, 9, 7, 11, 29, 34, 20, 41, 8, 3, 4, 1, 0];[0, 37, 38, 26, 36, 10, 46, 24, 35, 14, 0];[0, 15, 17, 19, 31, 30, 48, 33, 50, 51, 54, 53, 73, 84, 74, 75, 77, 76, 86, 87, 58, 59, 0];[0, 28, 27, 23, 21, 40, 0];[0, 18, 22, 32, 49, 78, 79, 80, 42, 0];[0, 44, 39, 25, 45, 12, 13, 16, 47, 65, 52, 55, 56, 57, 61, 62, 85, 83, 81, 82, 60, 68, 71, 88, 67, 64, 70, 63, 72, 89, 69, 66, 43, 0]",2,600.8674912452698
2021-02-01_00-14-14_207468,142936.0,"[0, 6, 5, 2, 0];[0, 9, 7, 11, 29, 34, 20, 41, 17, 15, 8, 3, 4, 1, 0];[0, 18, 22, 32, 49, 78, 79, 80, 48, 42, 0];[0, 28, 27, 23, 21, 40, 0];[0, 31, 30, 33, 50, 51, 73, 84, 74, 75, 76, 77, 86, 87, 58, 59, 0];[0, 37, 38, 26, 36, 10, 46, 24, 35, 14, 0];[0, 44, 39, 25, 45, 12, 13, 16, 19, 47, 65, 53, 54, 55, 52, 56, 57, 61, 62, 85, 83, 81, 82, 60, 68, 71, 88, 67, 64, 70, 63, 72, 89, 69, 66, 43, 0]",138756.0,"[0, 6, 5, 2, 0];[0, 9, 7, 11, 29, 34, 20, 41, 8, 3, 4, 1, 0];[0, 17, 44, 39, 25, 45, 12, 13, 16, 47, 65, 52, 55, 56, 57, 61, 62, 85, 83, 81, 82, 60, 68, 71, 88, 67, 64, 70, 63, 72, 89, 69, 66, 43, 0];[0, 15, 19, 31, 30, 48, 33, 50, 51, 54, 53, 73, 84, 74, 75, 76, 77, 86, 87, 58, 59, 0];[0, 28, 27, 23, 21, 40, 0];[0, 18, 22, 32, 49, 78, 79, 80, 42, 0];[0, 37, 38, 26, 36, 10, 46, 24, 35, 14, 0]",2,600.4401378631593
2021-02-01_00-24-24_248098,142936.0,"[0, 6, 5, 2, 0];[0, 9, 7, 11, 29, 34, 20, 41, 17, 15, 8, 3, 4, 1, 0];[0, 18, 22, 32, 49, 78, 79, 80, 48, 42, 0];[0, 28, 27, 23, 21, 40, 0];[0, 31, 30, 33, 50, 51, 73, 84, 74, 75, 76, 77, 86, 87, 58, 59, 0];[0, 37, 38, 26, 36, 10, 46, 24, 35, 14, 0];[0, 44, 39, 25, 45, 12, 13, 16, 19, 47, 65, 53, 54, 55, 52, 56, 57, 61, 62, 85, 83, 81, 82, 60, 68, 71, 88, 67, 64, 70, 63, 72, 89, 69, 66, 43, 0]",137657.0,"[0, 6, 5, 2, 0];[0, 9, 7, 11, 29, 34, 20, 41, 8, 3, 4, 1, 0];[0, 18, 22, 32, 49, 78, 79, 80, 42, 0];[0, 44, 39, 25, 45, 12, 13, 16, 47, 65, 52, 55, 56, 57, 61, 62, 85, 83, 81, 82, 60, 68, 71, 88, 67, 64, 70, 63, 72, 89, 69, 66, 43, 0];[0, 28, 27, 23, 21, 40, 0];[0, 17, 37, 38, 26, 36, 10, 46, 24, 35, 14, 0];[0, 15, 19, 31, 30, 48, 33, 50, 51, 54, 53, 73, 84, 74, 75, 77, 76, 86, 87, 58, 59, 0]",2,600.9704229831698
2021-02-01_00-34-34_931289,142936.0,"[0, 6, 5, 2, 0];[0, 9, 7, 11, 29, 34, 20, 41, 17, 15, 8, 3, 4, 1, 0];[0, 18, 22, 32, 49, 78, 79, 80, 48, 42, 0];[0, 28, 27, 23, 21, 40, 0];[0, 31, 30, 33, 50, 51, 73, 84, 74, 75, 76, 77, 86, 87, 58, 59, 0];[0, 37, 38, 26, 36, 10, 46, 24, 35, 14, 0];[0, 44, 39, 25, 45, 12, 13, 16, 19, 47, 65, 53, 54, 55, 52, 56, 57, 61, 62, 85, 83, 81, 82, 60, 68, 71, 88, 67, 64, 70, 63, 72, 89, 69, 66, 43, 0]",137657.0,"[0, 6, 5, 2, 0];[0, 9, 7, 11, 29, 34, 20, 41, 8, 3, 4, 1, 0];[0, 28, 27, 23, 21, 40, 0];[0, 37, 38, 26, 36, 10, 46, 24, 35, 14, 0];[0, 15, 19, 31, 30, 48, 33, 50, 51, 54, 53, 73, 84, 74, 75, 77, 76, 86, 87, 58, 59, 0];[0, 18, 22, 32, 49, 78, 79, 80, 42, 0];[0, 17, 44, 39, 25, 45, 12, 13, 16, 47, 65, 52, 55, 56, 57, 61, 62, 85, 83, 81, 82, 60, 68, 71, 88, 67, 64, 70, 63, 72, 89, 69, 66, 43, 0]",2,602.8172731399536
2021-02-01_00-44-47_495278,142936.0,"[0, 6, 5, 2, 0];[0, 9, 7, 11, 29, 34, 20, 41, 17, 15, 8, 3, 4, 1, 0];[0, 18, 22, 32, 49, 78, 79, 80, 48, 42, 0];[0, 28, 27, 23, 21, 40, 0];[0, 31, 30, 33, 50, 51, 73, 84, 74, 75, 76, 77, 86, 87, 58, 59, 0];[0, 37, 38, 26, 36, 10, 46, 24, 35, 14, 0];[0, 44, 39, 25, 45, 12, 13, 16, 19, 47, 65, 53, 54, 55, 52, 56, 57, 61, 62, 85, 83, 81, 82, 60, 68, 71, 88, 67, 64, 70, 63, 72, 89, 69, 66, 43, 0]",137392.0,"[0, 9, 7, 11, 29, 34, 20, 41, 8, 3, 4, 1, 0];[0, 6, 5, 0];[0, 15, 16, 31, 30, 47, 48, 49, 50, 73, 84, 74, 75, 77, 76, 86, 87, 66, 54, 58, 59, 51, 19, 2, 0];[0, 44, 39, 38, 45, 12, 13, 33, 65, 53, 52, 55, 56, 57, 61, 62, 85, 83, 81, 82, 60, 68, 71, 70, 67, 64, 88, 63, 72, 89, 69, 43, 0];[0, 28, 27, 23, 21, 40, 0];[0, 37, 25, 26, 36, 10, 46, 24, 35, 14, 0];[0, 17, 18, 22, 32, 78, 79, 80, 42, 0]",2,604.7434937953949
2021-02-01_00-55-01_941909,142936.0,"[0, 6, 5, 2, 0];[0, 9, 7, 11, 29, 34, 20, 41, 17, 15, 8, 3, 4, 1, 0];[0, 18, 22, 32, 49, 78, 79, 80, 48, 42, 0];[0, 28, 27, 23, 21, 40, 0];[0, 31, 30, 33, 50, 51, 73, 84, 74, 75, 76, 77, 86, 87, 58, 59, 0];[0, 37, 38, 26, 36, 10, 46, 24, 35, 14, 0];[0, 44, 39, 25, 45, 12, 13, 16, 19, 47, 65, 53, 54, 55, 52, 56, 57, 61, 62, 85, 83, 81, 82, 60, 68, 71, 88, 67, 64, 70, 63, 72, 89, 69, 66, 43, 0]",137657.0,"[0, 6, 5, 2, 0];[0, 9, 7, 11, 29, 34, 20, 41, 8, 3, 4, 1, 0];[0, 15, 17, 19, 31, 30, 48, 33, 50, 51, 54, 53, 73, 84, 74, 75, 77, 76, 86, 87, 58, 59, 0];[0, 28, 27, 23, 21, 40, 0];[0, 18, 22, 32, 49, 78, 79, 80, 42, 0];[0, 37, 38, 26, 36, 10, 46, 24, 35, 14, 0];[0, 44, 39, 25, 45, 12, 13, 16, 47, 65, 52, 55, 56, 57, 61, 62, 85, 83, 81, 82, 60, 68, 71, 88, 67, 64, 70, 63, 72, 89, 69, 66, 43, 0]",2,600.1105630397798
2021-02-01_01-05-12_008973,142936.0,"[0, 6, 5, 2, 0];[0, 9, 7, 11, 29, 34, 20, 41, 17, 15, 8, 3, 4, 1, 0];[0, 18, 22, 32, 49, 78, 79, 80, 48, 42, 0];[0, 28, 27, 23, 21, 40, 0];[0, 31, 30, 33, 50, 51, 73, 84, 74, 75, 76, 77, 86, 87, 58, 59, 0];[0, 37, 38, 26, 36, 10, 46, 24, 35, 14, 0];[0, 44, 39, 25, 45, 12, 13, 16, 19, 47, 65, 53, 54, 55, 52, 56, 57, 61, 62, 85, 83, 81, 82, 60, 68, 71, 88, 67, 64, 70, 63, 72, 89, 69, 66, 43, 0]",137657.0,"[0, 6, 5, 2, 0];[0, 9, 7, 11, 29, 34, 20, 41, 8, 3, 4, 1, 0];[0, 15, 19, 31, 30, 48, 33, 50, 51, 54, 53, 73, 84, 74, 75, 77, 76, 86, 87, 58, 59, 0];[0, 18, 22, 32, 49, 78, 79, 80, 42, 0];[0, 28, 27, 23, 21, 40, 0];[0, 37, 38, 26, 36, 10, 46, 24, 35, 14, 0];[0, 17, 44, 39, 25, 45, 12, 13, 16, 47, 65, 52, 55, 56, 57, 61, 62, 85, 83, 81, 82, 60, 68, 71, 88, 67, 64, 70, 63, 72, 89, 69, 66, 43, 0]",2,601.360476732254
2021-02-01_01-15-23_125129,142936.0,"[0, 6, 5, 2, 0];[0, 9, 7, 11, 29, 34, 20, 41, 17, 15, 8, 3, 4, 1, 0];[0, 18, 22, 32, 49, 78, 79, 80, 48, 42, 0];[0, 28, 27, 23, 21, 40, 0];[0, 31, 30, 33, 50, 51, 73, 84, 74, 75, 76, 77, 86, 87, 58, 59, 0];[0, 37, 38, 26, 36, 10, 46, 24, 35, 14, 0];[0, 44, 39, 25, 45, 12, 13, 16, 19, 47, 65, 53, 54, 55, 52, 56, 57, 61, 62, 85, 83, 81, 82, 60, 68, 71, 88, 67, 64, 70, 63, 72, 89, 69, 66, 43, 0]",139507.0,"[0, 6, 5, 2, 0];[0, 9, 7, 11, 29, 34, 20, 41, 8, 3, 4, 1, 0];[0, 17, 37, 25, 26, 36, 10, 46, 24, 35, 14, 0];[0, 18, 22, 32, 49, 80, 79, 78, 42, 0];[0, 28, 27, 23, 21, 40, 0];[0, 15, 16, 31, 30, 48, 33, 50, 73, 84, 74, 54, 55, 75, 76, 77, 86, 87, 58, 59, 51, 19, 0];[0, 44, 39, 38, 45, 12, 13, 47, 65, 53, 52, 56, 57, 61, 62, 85, 83, 81, 82, 60, 68, 71, 70, 67, 64, 88, 63, 72, 89, 69, 66, 43, 0]",2,602.0595660209657
2021-02-01_01-25-34_881353,142936.0,"[0, 6, 5, 2, 0];[0, 9, 7, 11, 29, 34, 20, 41, 17, 15, 8, 3, 4, 1, 0];[0, 18, 22, 32, 49, 78, 79, 80, 48, 42, 0];[0, 28, 27, 23, 21, 40, 0];[0, 31, 30, 33, 50, 51, 73, 84, 74, 75, 76, 77, 86, 87, 58, 59, 0];[0, 37, 38, 26, 36, 10, 46, 24, 35, 14, 0];[0, 44, 39, 25, 45, 12, 13, 16, 19, 47, 65, 53, 54, 55, 52, 56, 57, 61, 62, 85, 83, 81, 82, 60, 68, 71, 88, 67, 64, 70, 63, 72, 89, 69, 66, 43, 0]",137657.0,"[0, 6, 5, 2, 0];[0, 9, 7, 11, 29, 34, 20, 41, 8, 3, 4, 1, 0];[0, 15, 19, 31, 30, 48, 33, 50, 51, 54, 53, 73, 84, 74, 75, 77, 76, 86, 87, 58, 59, 0];[0, 18, 22, 32, 49, 78, 79, 80, 42, 0];[0, 44, 39, 25, 45, 12, 13, 16, 47, 65, 52, 55, 56, 57, 61, 62, 85, 83, 81, 82, 60, 68, 71, 88, 67, 64, 70, 63, 72, 89, 69, 66, 43, 0];[0, 17, 28, 27, 23, 21, 40, 0];[0, 37, 38, 26, 36, 10, 46, 24, 35, 14, 0]",2,601.4855849742889
