it,instant,local_optimum_value
0,0.0,176553.0
1,6.584957122802734,176553.0
2,17.509098052978516,176553.0
3,29.06660485267639,176553.0
4,701.9303178787231,169995.0
5,792.1885731220245,169995.0
6,872.8226499557495,169995.0
7,942.0446360111237,169995.0
8,945.3768210411072,169995.0
9,1088.7653050422668,168861.0
10,1180.627748966217,168861.0
11,1274.157593011856,168861.0
12,1367.8040189743042,168861.0
13,1457.5488619804382,168861.0
14,1555.6948120594025,168861.0
15,1647.478266954422,168861.0
16,1739.0147948265076,168861.0
17,1828.864676952362,168861.0
