datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-02-03_04-50-02_197411,176553.0,"[0, 1, 2, 0];[0, 3, 7, 6, 29, 28, 30, 31, 70, 32, 57, 68, 73, 69, 86, 83, 84, 80, 88, 87, 90, 89, 85, 21, 16, 15, 5, 4, 0];[0, 14, 20, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 56, 34, 33, 55, 35, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 38, 37, 9, 10, 11, 13, 22, 23, 27, 26, 25, 24, 12, 8, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 100, 110, 111, 112, 113, 115, 114, 93, 94, 99, 79, 78, 92, 91, 96, 97, 95, 82, 81, 18, 19, 17, 0]",170113.0,"[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 100, 110, 111, 112, 113, 115, 114, 93, 94, 99, 79, 78, 96, 97, 95, 82, 81, 17, 0];[0, 1, 2, 14, 20, 21, 71, 75, 77, 76, 74, 66, 65, 64, 67, 56, 55, 33, 34, 52, 51, 39, 40, 50, 41, 45, 44, 43, 42, 49, 48, 46, 47, 63, 62, 61, 60, 59, 58, 54, 53, 38, 37, 36, 35, 24, 9, 8, 0];[0, 10, 12, 70, 72, 86, 31, 27, 22, 13, 11, 0];[0, 7, 6, 23, 25, 26, 29, 28, 30, 32, 57, 68, 73, 69, 83, 84, 88, 87, 90, 92, 91, 89, 85, 80, 19, 18, 16, 15, 5, 4, 3, 0]",2,6615.405064105988
2021-02-03_06-40-41_120817,176553.0,"[0, 1, 2, 0];[0, 3, 7, 6, 29, 28, 30, 31, 70, 32, 57, 68, 73, 69, 86, 83, 84, 80, 88, 87, 90, 89, 85, 21, 16, 15, 5, 4, 0];[0, 14, 20, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 56, 34, 33, 55, 35, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 38, 37, 9, 10, 11, 13, 22, 23, 27, 26, 25, 24, 12, 8, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 100, 110, 111, 112, 113, 115, 114, 93, 94, 99, 79, 78, 92, 91, 96, 97, 95, 82, 81, 18, 19, 17, 0]",173225.0,"[0, 14, 20, 19, 21, 72, 69, 71, 75, 77, 76, 74, 66, 65, 64, 67, 68, 56, 33, 34, 55, 51, 39, 40, 50, 41, 45, 44, 43, 42, 49, 48, 46, 47, 63, 62, 61, 60, 59, 58, 52, 54, 53, 38, 37, 36, 26, 25, 9, 8, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 100, 110, 111, 112, 113, 115, 114, 93, 94, 99, 79, 78, 92, 91, 96, 97, 95, 82, 81, 17, 0];[0, 7, 6, 22, 29, 28, 30, 73, 83, 84, 80, 88, 87, 90, 89, 85, 86, 70, 18, 16, 15, 0];[0, 3, 4, 5, 10, 12, 24, 35, 57, 32, 31, 27, 23, 13, 11, 2, 1, 0]",2,3117.779632329941
2021-02-03_07-33-01_899286,176553.0,"[0, 1, 2, 0];[0, 3, 7, 6, 29, 28, 30, 31, 70, 32, 57, 68, 73, 69, 86, 83, 84, 80, 88, 87, 90, 89, 85, 21, 16, 15, 5, 4, 0];[0, 14, 20, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 56, 34, 33, 55, 35, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 38, 37, 9, 10, 11, 13, 22, 23, 27, 26, 25, 24, 12, 8, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 100, 110, 111, 112, 113, 115, 114, 93, 94, 99, 79, 78, 92, 91, 96, 97, 95, 82, 81, 18, 19, 17, 0]",168929.0,"[0, 7, 6, 10, 26, 29, 28, 30, 32, 57, 68, 73, 69, 72, 83, 84, 88, 87, 90, 89, 85, 80, 18, 16, 15, 5, 4, 0];[0, 102, 103, 104, 106, 107, 109, 108, 105, 101, 98, 100, 110, 111, 112, 113, 115, 93, 94, 99, 114, 79, 78, 92, 91, 96, 97, 95, 82, 81, 17, 0];[0, 3, 14, 20, 21, 71, 75, 77, 76, 74, 66, 65, 64, 67, 56, 55, 33, 34, 52, 51, 39, 40, 50, 41, 42, 45, 44, 43, 49, 48, 46, 47, 63, 62, 61, 60, 59, 58, 54, 53, 37, 38, 36, 35, 24, 12, 13, 23, 25, 9, 8, 0];[0, 1, 2, 19, 86, 70, 31, 27, 22, 11, 0]",2,1842.1727406978607
2021-02-03_08-04-08_006970,176553.0,"[0, 1, 2, 0];[0, 3, 7, 6, 29, 28, 30, 31, 70, 32, 57, 68, 73, 69, 86, 83, 84, 80, 88, 87, 90, 89, 85, 21, 16, 15, 5, 4, 0];[0, 14, 20, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 56, 34, 33, 55, 35, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 38, 37, 9, 10, 11, 13, 22, 23, 27, 26, 25, 24, 12, 8, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 100, 110, 111, 112, 113, 115, 114, 93, 94, 99, 79, 78, 92, 91, 96, 97, 95, 82, 81, 18, 19, 17, 0]",174406.0,"[0, 3, 14, 20, 28, 29, 33, 34, 55, 32, 71, 75, 79, 74, 66, 65, 64, 67, 56, 51, 39, 40, 50, 41, 45, 44, 43, 42, 49, 48, 46, 47, 63, 62, 61, 60, 59, 58, 54, 53, 52, 38, 37, 36, 35, 24, 12, 13, 23, 25, 9, 8, 0];[0, 102, 103, 104, 106, 107, 109, 108, 105, 101, 98, 100, 110, 111, 112, 113, 115, 114, 93, 94, 99, 92, 91, 96, 97, 95, 82, 81, 17, 0];[0, 19, 86, 76, 77, 78, 70, 31, 27, 22, 11, 2, 1, 0];[0, 7, 6, 10, 26, 30, 57, 68, 73, 69, 72, 83, 84, 88, 87, 90, 89, 85, 80, 21, 18, 16, 15, 5, 4, 0]",2,1859.4637739658358
2021-02-03_08-35-31_473803,176553.0,"[0, 1, 2, 0];[0, 3, 7, 6, 29, 28, 30, 31, 70, 32, 57, 68, 73, 69, 86, 83, 84, 80, 88, 87, 90, 89, 85, 21, 16, 15, 5, 4, 0];[0, 14, 20, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 56, 34, 33, 55, 35, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 38, 37, 9, 10, 11, 13, 22, 23, 27, 26, 25, 24, 12, 8, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 100, 110, 111, 112, 113, 115, 114, 93, 94, 99, 79, 78, 92, 91, 96, 97, 95, 82, 81, 18, 19, 17, 0]",169860.0,"[0, 3, 4, 5, 2, 1, 0];[0, 14, 20, 21, 70, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 56, 32, 30, 33, 34, 55, 35, 51, 39, 40, 50, 41, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 38, 37, 12, 13, 22, 23, 27, 26, 25, 24, 9, 8, 0];[0, 102, 103, 104, 106, 107, 109, 108, 105, 101, 98, 100, 110, 111, 112, 113, 115, 114, 93, 94, 99, 79, 78, 92, 91, 96, 97, 95, 82, 81, 19, 17, 0];[0, 7, 6, 10, 11, 29, 28, 31, 57, 68, 73, 69, 86, 83, 84, 80, 88, 87, 90, 89, 85, 18, 16, 15, 0]",2,6449.0581080913535
2021-02-03_10-23-23_983348,176553.0,"[0, 1, 2, 0];[0, 3, 7, 6, 29, 28, 30, 31, 70, 32, 57, 68, 73, 69, 86, 83, 84, 80, 88, 87, 90, 89, 85, 21, 16, 15, 5, 4, 0];[0, 14, 20, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 56, 34, 33, 55, 35, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 38, 37, 9, 10, 11, 13, 22, 23, 27, 26, 25, 24, 12, 8, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 100, 110, 111, 112, 113, 115, 114, 93, 94, 99, 79, 78, 92, 91, 96, 97, 95, 82, 81, 18, 19, 17, 0]",170566.0,"[0, 2, 1, 0];[0, 7, 6, 29, 28, 30, 32, 69, 73, 86, 83, 84, 80, 88, 87, 90, 89, 85, 21, 16, 15, 5, 4, 0];[0, 3, 10, 11, 14, 20, 27, 31, 70, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 68, 57, 56, 33, 34, 55, 35, 51, 39, 40, 50, 41, 42, 45, 44, 43, 49, 48, 46, 47, 63, 62, 61, 60, 59, 58, 52, 53, 54, 36, 38, 37, 12, 13, 22, 23, 26, 25, 24, 9, 8, 0];[0, 102, 103, 104, 106, 107, 108, 105, 101, 98, 100, 110, 109, 111, 112, 113, 115, 114, 93, 94, 99, 79, 78, 92, 91, 96, 97, 95, 82, 81, 18, 19, 17, 0]",2,4261.641932964325
2021-02-03_11-34-48_823065,176553.0,"[0, 1, 2, 0];[0, 3, 7, 6, 29, 28, 30, 31, 70, 32, 57, 68, 73, 69, 86, 83, 84, 80, 88, 87, 90, 89, 85, 21, 16, 15, 5, 4, 0];[0, 14, 20, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 56, 34, 33, 55, 35, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 38, 37, 9, 10, 11, 13, 22, 23, 27, 26, 25, 24, 12, 8, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 100, 110, 111, 112, 113, 115, 114, 93, 94, 99, 79, 78, 92, 91, 96, 97, 95, 82, 81, 18, 19, 17, 0]",171941.0,"[0, 3, 4, 14, 20, 21, 71, 75, 77, 76, 74, 66, 65, 64, 67, 56, 55, 33, 34, 52, 51, 39, 40, 50, 41, 45, 44, 43, 42, 49, 48, 46, 47, 63, 62, 61, 60, 59, 58, 54, 53, 38, 37, 36, 35, 24, 12, 13, 23, 9, 8, 0];[0, 7, 6, 11, 22, 25, 26, 29, 28, 30, 32, 57, 68, 73, 69, 84, 88, 87, 90, 92, 91, 89, 85, 80, 19, 18, 16, 15, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 100, 110, 111, 112, 113, 115, 114, 93, 94, 99, 79, 78, 96, 97, 95, 82, 81, 17, 0];[0, 5, 10, 70, 72, 83, 86, 31, 27, 2, 1, 0]",2,4162.645326137543
2021-02-03_12-44-34_886447,176553.0,"[0, 1, 2, 0];[0, 3, 7, 6, 29, 28, 30, 31, 70, 32, 57, 68, 73, 69, 86, 83, 84, 80, 88, 87, 90, 89, 85, 21, 16, 15, 5, 4, 0];[0, 14, 20, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 56, 34, 33, 55, 35, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 38, 37, 9, 10, 11, 13, 22, 23, 27, 26, 25, 24, 12, 8, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 100, 110, 111, 112, 113, 115, 114, 93, 94, 99, 79, 78, 92, 91, 96, 97, 95, 82, 81, 18, 19, 17, 0]",169648.0,"[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 100, 110, 111, 112, 113, 115, 114, 93, 94, 99, 79, 78, 92, 91, 81, 17, 0];[0, 7, 6, 29, 27, 28, 31, 57, 68, 73, 69, 72, 83, 84, 88, 87, 90, 89, 85, 80, 19, 15, 0];[0, 3, 4, 5, 10, 11, 13, 12, 24, 25, 26, 22, 23, 18, 16, 2, 1, 0];[0, 14, 20, 21, 82, 95, 97, 96, 86, 70, 71, 75, 77, 76, 74, 66, 65, 64, 67, 56, 32, 30, 33, 34, 55, 35, 51, 39, 40, 50, 41, 45, 44, 43, 42, 49, 48, 46, 47, 63, 62, 61, 60, 59, 58, 52, 54, 53, 36, 37, 38, 9, 8, 0]",2,3592.7401416301727
2021-02-03_13-44-51_440702,176553.0,"[0, 1, 2, 0];[0, 3, 7, 6, 29, 28, 30, 31, 70, 32, 57, 68, 73, 69, 86, 83, 84, 80, 88, 87, 90, 89, 85, 21, 16, 15, 5, 4, 0];[0, 14, 20, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 56, 34, 33, 55, 35, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 38, 37, 9, 10, 11, 13, 22, 23, 27, 26, 25, 24, 12, 8, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 100, 110, 111, 112, 113, 115, 114, 93, 94, 99, 79, 78, 92, 91, 96, 97, 95, 82, 81, 18, 19, 17, 0]",173277.0,"[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 100, 110, 111, 112, 113, 115, 114, 93, 99, 79, 78, 92, 96, 97, 95, 82, 81, 17, 0];[0, 1, 2, 14, 20, 21, 71, 75, 77, 76, 74, 66, 65, 64, 67, 56, 55, 33, 34, 52, 51, 39, 40, 50, 41, 45, 44, 43, 42, 49, 48, 46, 47, 63, 62, 61, 60, 59, 58, 54, 53, 38, 37, 36, 35, 24, 9, 8, 0];[0, 10, 12, 70, 72, 86, 31, 27, 22, 13, 11, 0];[0, 7, 6, 23, 25, 26, 29, 28, 30, 32, 57, 68, 73, 69, 83, 84, 88, 87, 90, 91, 94, 89, 85, 80, 19, 18, 16, 15, 5, 4, 3, 0]",2,6727.777400970459
2021-02-03_15-37-22_299297,176553.0,"[0, 1, 2, 0];[0, 3, 7, 6, 29, 28, 30, 31, 70, 32, 57, 68, 73, 69, 86, 83, 84, 80, 88, 87, 90, 89, 85, 21, 16, 15, 5, 4, 0];[0, 14, 20, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 56, 34, 33, 55, 35, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 38, 37, 9, 10, 11, 13, 22, 23, 27, 26, 25, 24, 12, 8, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 100, 110, 111, 112, 113, 115, 114, 93, 94, 99, 79, 78, 92, 91, 96, 97, 95, 82, 81, 18, 19, 17, 0]",168861.0,"[0, 7, 6, 10, 26, 29, 28, 30, 32, 57, 68, 73, 69, 72, 83, 84, 88, 87, 90, 89, 85, 80, 18, 16, 15, 5, 4, 0];[0, 3, 14, 20, 21, 71, 75, 76, 77, 78, 79, 74, 66, 65, 64, 67, 56, 55, 33, 34, 52, 51, 39, 40, 50, 41, 42, 45, 44, 43, 49, 48, 46, 47, 63, 62, 61, 60, 59, 58, 54, 53, 38, 37, 36, 35, 24, 12, 13, 23, 25, 9, 8, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 100, 110, 111, 112, 113, 115, 114, 93, 94, 99, 92, 91, 96, 97, 95, 82, 81, 17, 0];[0, 1, 19, 86, 70, 31, 27, 22, 11, 2, 0]",2,1830.4723029136658
