datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-02-02_23-15-45_745023,204185.0,"[0, 7, 6, 11, 20, 21, 80, 85, 89, 91, 92, 93, 99, 100, 110, 111, 112, 113, 115, 114, 94, 95, 82, 81, 18, 19, 15, 14, 0];[0, 8, 4, 3, 1, 2, 5, 10, 9, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 55, 35, 36, 38, 37, 26, 25, 24, 0];[0, 13, 22, 23, 29, 30, 32, 56, 57, 68, 73, 69, 86, 83, 84, 70, 31, 28, 27, 0];[0, 88, 87, 90, 72, 71, 75, 76, 77, 78, 79, 74, 66, 65, 64, 67, 34, 33, 12, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 97, 96, 16, 17, 0]",204185.0,"[0, 7, 6, 11, 20, 21, 80, 85, 89, 91, 92, 93, 99, 100, 110, 111, 112, 113, 115, 114, 94, 95, 82, 81, 18, 19, 15, 14, 0];[0, 8, 4, 3, 1, 2, 5, 10, 9, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 55, 35, 36, 38, 37, 26, 25, 24, 0];[0, 13, 22, 23, 29, 30, 32, 56, 57, 68, 73, 69, 86, 83, 84, 70, 31, 28, 27, 0];[0, 88, 87, 90, 72, 71, 75, 76, 77, 78, 79, 74, 66, 65, 64, 67, 34, 33, 12, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 97, 96, 16, 17, 0]",2,1800.0161788463593
2021-02-02_23-46-09_406573,204185.0,"[0, 7, 6, 11, 20, 21, 80, 85, 89, 91, 92, 93, 99, 100, 110, 111, 112, 113, 115, 114, 94, 95, 82, 81, 18, 19, 15, 14, 0];[0, 8, 4, 3, 1, 2, 5, 10, 9, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 55, 35, 36, 38, 37, 26, 25, 24, 0];[0, 13, 22, 23, 29, 30, 32, 56, 57, 68, 73, 69, 86, 83, 84, 70, 31, 28, 27, 0];[0, 88, 87, 90, 72, 71, 75, 76, 77, 78, 79, 74, 66, 65, 64, 67, 34, 33, 12, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 97, 96, 16, 17, 0]",204185.0,"[0, 7, 6, 11, 20, 21, 80, 85, 89, 91, 92, 93, 99, 100, 110, 111, 112, 113, 115, 114, 94, 95, 82, 81, 18, 19, 15, 14, 0];[0, 8, 4, 3, 1, 2, 5, 10, 9, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 55, 35, 36, 38, 37, 26, 25, 24, 0];[0, 13, 22, 23, 29, 30, 32, 56, 57, 68, 73, 69, 86, 83, 84, 70, 31, 28, 27, 0];[0, 88, 87, 90, 72, 71, 75, 76, 77, 78, 79, 74, 66, 65, 64, 67, 34, 33, 12, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 97, 96, 16, 17, 0]",2,1801.8270709514616
2021-02-03_00-16-34_230587,204185.0,"[0, 7, 6, 11, 20, 21, 80, 85, 89, 91, 92, 93, 99, 100, 110, 111, 112, 113, 115, 114, 94, 95, 82, 81, 18, 19, 15, 14, 0];[0, 8, 4, 3, 1, 2, 5, 10, 9, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 55, 35, 36, 38, 37, 26, 25, 24, 0];[0, 13, 22, 23, 29, 30, 32, 56, 57, 68, 73, 69, 86, 83, 84, 70, 31, 28, 27, 0];[0, 88, 87, 90, 72, 71, 75, 76, 77, 78, 79, 74, 66, 65, 64, 67, 34, 33, 12, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 97, 96, 16, 17, 0]",204185.0,"[0, 7, 6, 11, 20, 21, 80, 85, 89, 91, 92, 93, 99, 100, 110, 111, 112, 113, 115, 114, 94, 95, 82, 81, 18, 19, 15, 14, 0];[0, 8, 4, 3, 1, 2, 5, 10, 9, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 55, 35, 36, 38, 37, 26, 25, 24, 0];[0, 13, 22, 23, 29, 30, 32, 56, 57, 68, 73, 69, 86, 83, 84, 70, 31, 28, 27, 0];[0, 88, 87, 90, 72, 71, 75, 76, 77, 78, 79, 74, 66, 65, 64, 67, 34, 33, 12, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 97, 96, 16, 17, 0]",2,1802.1350803375244
2021-02-03_00-47-00_201349,204185.0,"[0, 7, 6, 11, 20, 21, 80, 85, 89, 91, 92, 93, 99, 100, 110, 111, 112, 113, 115, 114, 94, 95, 82, 81, 18, 19, 15, 14, 0];[0, 8, 4, 3, 1, 2, 5, 10, 9, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 55, 35, 36, 38, 37, 26, 25, 24, 0];[0, 13, 22, 23, 29, 30, 32, 56, 57, 68, 73, 69, 86, 83, 84, 70, 31, 28, 27, 0];[0, 88, 87, 90, 72, 71, 75, 76, 77, 78, 79, 74, 66, 65, 64, 67, 34, 33, 12, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 97, 96, 16, 17, 0]",204185.0,"[0, 7, 6, 11, 20, 21, 80, 85, 89, 91, 92, 93, 99, 100, 110, 111, 112, 113, 115, 114, 94, 95, 82, 81, 18, 19, 15, 14, 0];[0, 8, 4, 3, 1, 2, 5, 10, 9, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 55, 35, 36, 38, 37, 26, 25, 24, 0];[0, 13, 22, 23, 29, 30, 32, 56, 57, 68, 73, 69, 86, 83, 84, 70, 31, 28, 27, 0];[0, 88, 87, 90, 72, 71, 75, 76, 77, 78, 79, 74, 66, 65, 64, 67, 34, 33, 12, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 97, 96, 16, 17, 0]",2,1800.9220180511475
2021-02-03_01-17-25_430893,204185.0,"[0, 7, 6, 11, 20, 21, 80, 85, 89, 91, 92, 93, 99, 100, 110, 111, 112, 113, 115, 114, 94, 95, 82, 81, 18, 19, 15, 14, 0];[0, 8, 4, 3, 1, 2, 5, 10, 9, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 55, 35, 36, 38, 37, 26, 25, 24, 0];[0, 13, 22, 23, 29, 30, 32, 56, 57, 68, 73, 69, 86, 83, 84, 70, 31, 28, 27, 0];[0, 88, 87, 90, 72, 71, 75, 76, 77, 78, 79, 74, 66, 65, 64, 67, 34, 33, 12, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 97, 96, 16, 17, 0]",204185.0,"[0, 7, 6, 11, 20, 21, 80, 85, 89, 91, 92, 93, 99, 100, 110, 111, 112, 113, 115, 114, 94, 95, 82, 81, 18, 19, 15, 14, 0];[0, 8, 4, 3, 1, 2, 5, 10, 9, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 55, 35, 36, 38, 37, 26, 25, 24, 0];[0, 13, 22, 23, 29, 30, 32, 56, 57, 68, 73, 69, 86, 83, 84, 70, 31, 28, 27, 0];[0, 88, 87, 90, 72, 71, 75, 76, 77, 78, 79, 74, 66, 65, 64, 67, 34, 33, 12, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 97, 96, 16, 17, 0]",2,1800.4177467823029
2021-02-03_01-47-49_669499,204185.0,"[0, 7, 6, 11, 20, 21, 80, 85, 89, 91, 92, 93, 99, 100, 110, 111, 112, 113, 115, 114, 94, 95, 82, 81, 18, 19, 15, 14, 0];[0, 8, 4, 3, 1, 2, 5, 10, 9, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 55, 35, 36, 38, 37, 26, 25, 24, 0];[0, 13, 22, 23, 29, 30, 32, 56, 57, 68, 73, 69, 86, 83, 84, 70, 31, 28, 27, 0];[0, 88, 87, 90, 72, 71, 75, 76, 77, 78, 79, 74, 66, 65, 64, 67, 34, 33, 12, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 97, 96, 16, 17, 0]",204185.0,"[0, 7, 6, 11, 20, 21, 80, 85, 89, 91, 92, 93, 99, 100, 110, 111, 112, 113, 115, 114, 94, 95, 82, 81, 18, 19, 15, 14, 0];[0, 8, 4, 3, 1, 2, 5, 10, 9, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 55, 35, 36, 38, 37, 26, 25, 24, 0];[0, 13, 22, 23, 29, 30, 32, 56, 57, 68, 73, 69, 86, 83, 84, 70, 31, 28, 27, 0];[0, 88, 87, 90, 72, 71, 75, 76, 77, 78, 79, 74, 66, 65, 64, 67, 34, 33, 12, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 97, 96, 16, 17, 0]",2,1801.8686158657074
2021-02-03_02-18-12_262408,204185.0,"[0, 7, 6, 11, 20, 21, 80, 85, 89, 91, 92, 93, 99, 100, 110, 111, 112, 113, 115, 114, 94, 95, 82, 81, 18, 19, 15, 14, 0];[0, 8, 4, 3, 1, 2, 5, 10, 9, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 55, 35, 36, 38, 37, 26, 25, 24, 0];[0, 13, 22, 23, 29, 30, 32, 56, 57, 68, 73, 69, 86, 83, 84, 70, 31, 28, 27, 0];[0, 88, 87, 90, 72, 71, 75, 76, 77, 78, 79, 74, 66, 65, 64, 67, 34, 33, 12, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 97, 96, 16, 17, 0]",204185.0,"[0, 7, 6, 11, 20, 21, 80, 85, 89, 91, 92, 93, 99, 100, 110, 111, 112, 113, 115, 114, 94, 95, 82, 81, 18, 19, 15, 14, 0];[0, 8, 4, 3, 1, 2, 5, 10, 9, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 55, 35, 36, 38, 37, 26, 25, 24, 0];[0, 13, 22, 23, 29, 30, 32, 56, 57, 68, 73, 69, 86, 83, 84, 70, 31, 28, 27, 0];[0, 88, 87, 90, 72, 71, 75, 76, 77, 78, 79, 74, 66, 65, 64, 67, 34, 33, 12, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 97, 96, 16, 17, 0]",2,1801.1571991443634
2021-02-03_02-48-34_728484,204185.0,"[0, 7, 6, 11, 20, 21, 80, 85, 89, 91, 92, 93, 99, 100, 110, 111, 112, 113, 115, 114, 94, 95, 82, 81, 18, 19, 15, 14, 0];[0, 8, 4, 3, 1, 2, 5, 10, 9, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 55, 35, 36, 38, 37, 26, 25, 24, 0];[0, 13, 22, 23, 29, 30, 32, 56, 57, 68, 73, 69, 86, 83, 84, 70, 31, 28, 27, 0];[0, 88, 87, 90, 72, 71, 75, 76, 77, 78, 79, 74, 66, 65, 64, 67, 34, 33, 12, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 97, 96, 16, 17, 0]",204185.0,"[0, 7, 6, 11, 20, 21, 80, 85, 89, 91, 92, 93, 99, 100, 110, 111, 112, 113, 115, 114, 94, 95, 82, 81, 18, 19, 15, 14, 0];[0, 8, 4, 3, 1, 2, 5, 10, 9, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 55, 35, 36, 38, 37, 26, 25, 24, 0];[0, 13, 22, 23, 29, 30, 32, 56, 57, 68, 73, 69, 86, 83, 84, 70, 31, 28, 27, 0];[0, 88, 87, 90, 72, 71, 75, 76, 77, 78, 79, 74, 66, 65, 64, 67, 34, 33, 12, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 97, 96, 16, 17, 0]",2,1800.3294467926025
2021-02-03_03-18-56_457926,204185.0,"[0, 7, 6, 11, 20, 21, 80, 85, 89, 91, 92, 93, 99, 100, 110, 111, 112, 113, 115, 114, 94, 95, 82, 81, 18, 19, 15, 14, 0];[0, 8, 4, 3, 1, 2, 5, 10, 9, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 55, 35, 36, 38, 37, 26, 25, 24, 0];[0, 13, 22, 23, 29, 30, 32, 56, 57, 68, 73, 69, 86, 83, 84, 70, 31, 28, 27, 0];[0, 88, 87, 90, 72, 71, 75, 76, 77, 78, 79, 74, 66, 65, 64, 67, 34, 33, 12, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 97, 96, 16, 17, 0]",204185.0,"[0, 7, 6, 11, 20, 21, 80, 85, 89, 91, 92, 93, 99, 100, 110, 111, 112, 113, 115, 114, 94, 95, 82, 81, 18, 19, 15, 14, 0];[0, 8, 4, 3, 1, 2, 5, 10, 9, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 55, 35, 36, 38, 37, 26, 25, 24, 0];[0, 13, 22, 23, 29, 30, 32, 56, 57, 68, 73, 69, 86, 83, 84, 70, 31, 28, 27, 0];[0, 88, 87, 90, 72, 71, 75, 76, 77, 78, 79, 74, 66, 65, 64, 67, 34, 33, 12, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 97, 96, 16, 17, 0]",2,1800.6200201511385
2021-02-03_03-49-18_533695,204185.0,"[0, 7, 6, 11, 20, 21, 80, 85, 89, 91, 92, 93, 99, 100, 110, 111, 112, 113, 115, 114, 94, 95, 82, 81, 18, 19, 15, 14, 0];[0, 8, 4, 3, 1, 2, 5, 10, 9, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 55, 35, 36, 38, 37, 26, 25, 24, 0];[0, 13, 22, 23, 29, 30, 32, 56, 57, 68, 73, 69, 86, 83, 84, 70, 31, 28, 27, 0];[0, 88, 87, 90, 72, 71, 75, 76, 77, 78, 79, 74, 66, 65, 64, 67, 34, 33, 12, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 97, 96, 16, 17, 0]",204185.0,"[0, 7, 6, 11, 20, 21, 80, 85, 89, 91, 92, 93, 99, 100, 110, 111, 112, 113, 115, 114, 94, 95, 82, 81, 18, 19, 15, 14, 0];[0, 8, 4, 3, 1, 2, 5, 10, 9, 39, 51, 40, 41, 50, 45, 44, 43, 42, 49, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 55, 35, 36, 38, 37, 26, 25, 24, 0];[0, 13, 22, 23, 29, 30, 32, 56, 57, 68, 73, 69, 86, 83, 84, 70, 31, 28, 27, 0];[0, 88, 87, 90, 72, 71, 75, 76, 77, 78, 79, 74, 66, 65, 64, 67, 34, 33, 12, 0];[0, 102, 103, 104, 106, 107, 108, 109, 105, 101, 98, 97, 96, 16, 17, 0]",2,1800.0921840667725
