datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-02-02_18-10-05_296610,304102.0,"[0, 2, 5, 0];[0, 10, 11, 13, 6, 90, 85, 0];[0, 19, 20, 0];[0, 26, 25, 39, 51, 38, 37, 40, 50, 114, 112, 113, 78, 92, 91, 84, 70, 28, 27, 0];[0, 29, 23, 22, 12, 0];[0, 30, 31, 86, 83, 80, 21, 16, 17, 1, 7, 0];[0, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 68, 57, 56, 34, 8, 0];[0, 88, 87, 89, 4, 0];[0, 102, 109, 105, 101, 98, 97, 96, 81, 95, 82, 18, 15, 14, 3, 0];[0, 103, 104, 106, 107, 108, 111, 110, 100, 99, 94, 93, 115, 79, 73, 69, 32, 33, 55, 35, 9, 45, 44, 43, 42, 49, 41, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 24, 0]",297391.0,"[0, 19, 20, 0];[0, 1, 2, 0];[0, 17, 83, 86, 31, 80, 21, 16, 15, 10, 7, 0];[0, 26, 25, 39, 51, 38, 37, 40, 50, 114, 112, 113, 78, 92, 91, 84, 70, 28, 27, 0];[0, 3, 29, 33, 23, 22, 12, 0];[0, 102, 105, 109, 101, 98, 97, 96, 81, 95, 82, 18, 14, 0];[0, 5, 11, 13, 6, 30, 90, 85, 0];[0, 88, 87, 89, 4, 0];[0, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 68, 57, 56, 8, 0];[0, 103, 104, 106, 107, 108, 111, 110, 100, 99, 94, 93, 115, 79, 73, 69, 32, 34, 55, 35, 9, 45, 44, 43, 42, 49, 41, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 24, 0]",2,1804.273670911789
2021-02-02_18-40-30_173024,304102.0,"[0, 2, 5, 0];[0, 10, 11, 13, 6, 90, 85, 0];[0, 19, 20, 0];[0, 26, 25, 39, 51, 38, 37, 40, 50, 114, 112, 113, 78, 92, 91, 84, 70, 28, 27, 0];[0, 29, 23, 22, 12, 0];[0, 30, 31, 86, 83, 80, 21, 16, 17, 1, 7, 0];[0, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 68, 57, 56, 34, 8, 0];[0, 88, 87, 89, 4, 0];[0, 102, 109, 105, 101, 98, 97, 96, 81, 95, 82, 18, 15, 14, 3, 0];[0, 103, 104, 106, 107, 108, 111, 110, 100, 99, 94, 93, 115, 79, 73, 69, 32, 33, 55, 35, 9, 45, 44, 43, 42, 49, 41, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 24, 0]",297366.0,"[0, 4, 83, 86, 80, 21, 16, 15, 10, 7, 0];[0, 1, 2, 0];[0, 3, 29, 23, 22, 12, 0];[0, 26, 25, 39, 51, 38, 37, 40, 50, 114, 112, 113, 78, 92, 91, 84, 70, 28, 27, 0];[0, 102, 105, 109, 101, 98, 97, 96, 81, 95, 82, 18, 14, 0];[0, 19, 20, 0];[0, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 68, 57, 56, 34, 8, 0];[0, 88, 87, 89, 85, 17, 0];[0, 5, 11, 13, 6, 30, 31, 90, 0];[0, 103, 104, 106, 107, 108, 111, 110, 100, 99, 94, 93, 115, 79, 73, 69, 32, 33, 55, 35, 9, 45, 44, 43, 42, 49, 41, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 24, 0]",2,1800.1406428813934
2021-02-02_19-10-50_452841,304102.0,"[0, 2, 5, 0];[0, 10, 11, 13, 6, 90, 85, 0];[0, 19, 20, 0];[0, 26, 25, 39, 51, 38, 37, 40, 50, 114, 112, 113, 78, 92, 91, 84, 70, 28, 27, 0];[0, 29, 23, 22, 12, 0];[0, 30, 31, 86, 83, 80, 21, 16, 17, 1, 7, 0];[0, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 68, 57, 56, 34, 8, 0];[0, 88, 87, 89, 4, 0];[0, 102, 109, 105, 101, 98, 97, 96, 81, 95, 82, 18, 15, 14, 3, 0];[0, 103, 104, 106, 107, 108, 111, 110, 100, 99, 94, 93, 115, 79, 73, 69, 32, 33, 55, 35, 9, 45, 44, 43, 42, 49, 41, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 24, 0]",299046.0,"[0, 1, 2, 0];[0, 30, 31, 86, 83, 80, 21, 16, 7, 0];[0, 17, 19, 20, 3, 0];[0, 26, 25, 39, 51, 38, 37, 40, 50, 114, 112, 113, 78, 92, 91, 84, 70, 28, 27, 0];[0, 10, 29, 23, 22, 12, 0];[0, 102, 105, 109, 101, 98, 97, 96, 81, 95, 82, 15, 14, 0];[0, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 68, 57, 56, 34, 8, 0];[0, 88, 87, 89, 4, 0];[0, 5, 11, 13, 6, 18, 90, 85, 0];[0, 103, 104, 106, 107, 108, 111, 110, 100, 99, 94, 93, 115, 79, 73, 69, 32, 33, 55, 35, 9, 45, 44, 43, 42, 49, 41, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 24, 0]",2,1800.104640007019
2021-02-02_19-41-10_704895,304102.0,"[0, 2, 5, 0];[0, 10, 11, 13, 6, 90, 85, 0];[0, 19, 20, 0];[0, 26, 25, 39, 51, 38, 37, 40, 50, 114, 112, 113, 78, 92, 91, 84, 70, 28, 27, 0];[0, 29, 23, 22, 12, 0];[0, 30, 31, 86, 83, 80, 21, 16, 17, 1, 7, 0];[0, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 68, 57, 56, 34, 8, 0];[0, 88, 87, 89, 4, 0];[0, 102, 109, 105, 101, 98, 97, 96, 81, 95, 82, 18, 15, 14, 3, 0];[0, 103, 104, 106, 107, 108, 111, 110, 100, 99, 94, 93, 115, 79, 73, 69, 32, 33, 55, 35, 9, 45, 44, 43, 42, 49, 41, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 24, 0]",296617.0,"[0, 1, 2, 0];[0, 17, 83, 86, 80, 21, 16, 15, 10, 7, 0];[0, 5, 11, 13, 6, 30, 87, 90, 0];[0, 26, 25, 39, 51, 38, 37, 40, 50, 114, 112, 113, 78, 92, 91, 84, 70, 28, 27, 0];[0, 4, 19, 20, 0];[0, 88, 89, 85, 31, 34, 0];[0, 3, 29, 23, 22, 12, 0];[0, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 68, 57, 56, 8, 0];[0, 102, 105, 109, 101, 98, 97, 96, 81, 95, 82, 18, 14, 0];[0, 103, 104, 106, 107, 108, 111, 110, 100, 99, 94, 93, 115, 79, 73, 69, 32, 33, 55, 35, 9, 45, 44, 43, 42, 49, 41, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 24, 0]",2,1803.737102031708
2021-02-02_20-11-34_583474,304102.0,"[0, 2, 5, 0];[0, 10, 11, 13, 6, 90, 85, 0];[0, 19, 20, 0];[0, 26, 25, 39, 51, 38, 37, 40, 50, 114, 112, 113, 78, 92, 91, 84, 70, 28, 27, 0];[0, 29, 23, 22, 12, 0];[0, 30, 31, 86, 83, 80, 21, 16, 17, 1, 7, 0];[0, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 68, 57, 56, 34, 8, 0];[0, 88, 87, 89, 4, 0];[0, 102, 109, 105, 101, 98, 97, 96, 81, 95, 82, 18, 15, 14, 3, 0];[0, 103, 104, 106, 107, 108, 111, 110, 100, 99, 94, 93, 115, 79, 73, 69, 32, 33, 55, 35, 9, 45, 44, 43, 42, 49, 41, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 24, 0]",299083.0,"[0, 19, 20, 0];[0, 1, 2, 0];[0, 30, 31, 86, 83, 80, 21, 16, 7, 0];[0, 26, 25, 39, 51, 38, 37, 40, 50, 114, 112, 113, 78, 92, 91, 84, 70, 28, 27, 0];[0, 10, 29, 23, 22, 12, 0];[0, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 68, 57, 56, 8, 0];[0, 5, 11, 13, 6, 34, 90, 85, 17, 0];[0, 88, 87, 89, 4, 0];[0, 102, 105, 109, 101, 98, 97, 96, 81, 95, 82, 18, 15, 14, 3, 0];[0, 103, 104, 106, 107, 108, 111, 110, 100, 99, 94, 93, 115, 79, 73, 69, 32, 33, 55, 35, 9, 45, 44, 43, 42, 49, 41, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 24, 0]",2,1802.9342930316925
2021-02-02_20-41-57_822932,304102.0,"[0, 2, 5, 0];[0, 10, 11, 13, 6, 90, 85, 0];[0, 19, 20, 0];[0, 26, 25, 39, 51, 38, 37, 40, 50, 114, 112, 113, 78, 92, 91, 84, 70, 28, 27, 0];[0, 29, 23, 22, 12, 0];[0, 30, 31, 86, 83, 80, 21, 16, 17, 1, 7, 0];[0, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 68, 57, 56, 34, 8, 0];[0, 88, 87, 89, 4, 0];[0, 102, 109, 105, 101, 98, 97, 96, 81, 95, 82, 18, 15, 14, 3, 0];[0, 103, 104, 106, 107, 108, 111, 110, 100, 99, 94, 93, 115, 79, 73, 69, 32, 33, 55, 35, 9, 45, 44, 43, 42, 49, 41, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 24, 0]",297496.0,"[0, 19, 20, 4, 0];[0, 1, 2, 0];[0, 83, 86, 80, 21, 16, 10, 7, 0];[0, 26, 25, 39, 51, 38, 37, 40, 50, 114, 112, 113, 78, 92, 91, 84, 70, 28, 27, 0];[0, 17, 18, 88, 89, 85, 31, 34, 0];[0, 5, 11, 13, 6, 30, 87, 90, 0];[0, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 68, 57, 56, 8, 0];[0, 102, 105, 109, 101, 98, 97, 96, 81, 95, 82, 15, 14, 0];[0, 3, 29, 23, 22, 12, 0];[0, 103, 104, 106, 107, 108, 111, 110, 100, 99, 94, 93, 115, 79, 73, 69, 32, 33, 55, 35, 9, 45, 44, 43, 42, 49, 41, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 24, 0]",2,1801.5782678127289
2021-02-02_21-12-19_895876,304102.0,"[0, 2, 5, 0];[0, 10, 11, 13, 6, 90, 85, 0];[0, 19, 20, 0];[0, 26, 25, 39, 51, 38, 37, 40, 50, 114, 112, 113, 78, 92, 91, 84, 70, 28, 27, 0];[0, 29, 23, 22, 12, 0];[0, 30, 31, 86, 83, 80, 21, 16, 17, 1, 7, 0];[0, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 68, 57, 56, 34, 8, 0];[0, 88, 87, 89, 4, 0];[0, 102, 109, 105, 101, 98, 97, 96, 81, 95, 82, 18, 15, 14, 3, 0];[0, 103, 104, 106, 107, 108, 111, 110, 100, 99, 94, 93, 115, 79, 73, 69, 32, 33, 55, 35, 9, 45, 44, 43, 42, 49, 41, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 24, 0]",297496.0,"[0, 1, 2, 0];[0, 3, 51, 54, 32, 31, 83, 86, 80, 21, 16, 15, 10, 7, 0];[0, 26, 25, 39, 38, 37, 40, 50, 114, 112, 113, 78, 92, 91, 84, 70, 28, 27, 0];[0, 4, 88, 89, 85, 17, 0];[0, 29, 23, 22, 12, 0];[0, 19, 20, 0];[0, 103, 104, 106, 107, 108, 111, 110, 100, 99, 94, 93, 115, 79, 73, 69, 33, 34, 55, 35, 9, 45, 44, 43, 42, 49, 41, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 36, 24, 0];[0, 5, 11, 13, 6, 30, 87, 90, 0];[0, 102, 105, 109, 101, 98, 97, 96, 81, 95, 82, 18, 14, 0];[0, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 68, 57, 56, 8, 0]",2,1806.00468492508
2021-02-02_21-42-46_637920,304102.0,"[0, 2, 5, 0];[0, 10, 11, 13, 6, 90, 85, 0];[0, 19, 20, 0];[0, 26, 25, 39, 51, 38, 37, 40, 50, 114, 112, 113, 78, 92, 91, 84, 70, 28, 27, 0];[0, 29, 23, 22, 12, 0];[0, 30, 31, 86, 83, 80, 21, 16, 17, 1, 7, 0];[0, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 68, 57, 56, 34, 8, 0];[0, 88, 87, 89, 4, 0];[0, 102, 109, 105, 101, 98, 97, 96, 81, 95, 82, 18, 15, 14, 3, 0];[0, 103, 104, 106, 107, 108, 111, 110, 100, 99, 94, 93, 115, 79, 73, 69, 32, 33, 55, 35, 9, 45, 44, 43, 42, 49, 41, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 24, 0]",298909.0,"[0, 19, 20, 4, 0];[0, 1, 2, 0];[0, 102, 105, 109, 101, 98, 97, 96, 81, 95, 82, 15, 14, 0];[0, 26, 25, 39, 51, 38, 37, 40, 50, 114, 112, 113, 78, 92, 91, 84, 70, 28, 27, 0];[0, 10, 29, 23, 22, 12, 0];[0, 3, 5, 11, 13, 6, 83, 90, 0];[0, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 68, 57, 56, 34, 8, 0];[0, 30, 31, 86, 80, 21, 16, 7, 0];[0, 88, 87, 89, 85, 18, 17, 0];[0, 103, 104, 106, 107, 108, 111, 110, 100, 99, 94, 93, 115, 79, 73, 69, 32, 33, 55, 35, 9, 45, 44, 43, 42, 49, 41, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 24, 0]",2,1803.2177770137787
2021-02-02_22-13-11_367987,304102.0,"[0, 2, 5, 0];[0, 10, 11, 13, 6, 90, 85, 0];[0, 19, 20, 0];[0, 26, 25, 39, 51, 38, 37, 40, 50, 114, 112, 113, 78, 92, 91, 84, 70, 28, 27, 0];[0, 29, 23, 22, 12, 0];[0, 30, 31, 86, 83, 80, 21, 16, 17, 1, 7, 0];[0, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 68, 57, 56, 34, 8, 0];[0, 88, 87, 89, 4, 0];[0, 102, 109, 105, 101, 98, 97, 96, 81, 95, 82, 18, 15, 14, 3, 0];[0, 103, 104, 106, 107, 108, 111, 110, 100, 99, 94, 93, 115, 79, 73, 69, 32, 33, 55, 35, 9, 45, 44, 43, 42, 49, 41, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 24, 0]",298727.0,"[0, 1, 2, 0];[0, 17, 19, 20, 0];[0, 3, 30, 31, 83, 86, 80, 21, 16, 7, 0];[0, 26, 25, 39, 51, 38, 37, 40, 50, 114, 112, 113, 78, 92, 91, 84, 70, 28, 27, 0];[0, 102, 105, 109, 101, 98, 97, 96, 81, 95, 82, 18, 14, 0];[0, 5, 11, 13, 6, 15, 90, 85, 0];[0, 10, 29, 34, 23, 22, 12, 0];[0, 88, 87, 89, 4, 0];[0, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 68, 57, 56, 8, 0];[0, 103, 104, 106, 107, 108, 111, 110, 100, 99, 94, 93, 115, 79, 73, 69, 32, 33, 55, 35, 9, 45, 44, 43, 42, 49, 41, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 24, 0]",2,1804.9728920459747
2021-02-02_22-43-37_369302,304102.0,"[0, 2, 5, 0];[0, 10, 11, 13, 6, 90, 85, 0];[0, 19, 20, 0];[0, 26, 25, 39, 51, 38, 37, 40, 50, 114, 112, 113, 78, 92, 91, 84, 70, 28, 27, 0];[0, 29, 23, 22, 12, 0];[0, 30, 31, 86, 83, 80, 21, 16, 17, 1, 7, 0];[0, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 68, 57, 56, 34, 8, 0];[0, 88, 87, 89, 4, 0];[0, 102, 109, 105, 101, 98, 97, 96, 81, 95, 82, 18, 15, 14, 3, 0];[0, 103, 104, 106, 107, 108, 111, 110, 100, 99, 94, 93, 115, 79, 73, 69, 32, 33, 55, 35, 9, 45, 44, 43, 42, 49, 41, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 24, 0]",299325.0,"[0, 19, 20, 0];[0, 1, 2, 0];[0, 30, 31, 86, 80, 21, 16, 7, 0];[0, 26, 25, 39, 51, 38, 37, 40, 50, 114, 112, 113, 78, 92, 91, 84, 70, 28, 27, 0];[0, 10, 29, 23, 22, 12, 0];[0, 5, 11, 13, 6, 83, 90, 85, 17, 0];[0, 72, 71, 75, 77, 76, 74, 66, 65, 64, 67, 68, 57, 56, 34, 8, 0];[0, 88, 87, 89, 4, 0];[0, 102, 105, 109, 101, 98, 97, 96, 81, 95, 82, 18, 15, 14, 3, 0];[0, 103, 104, 106, 107, 108, 111, 110, 100, 99, 94, 93, 115, 79, 73, 69, 32, 33, 55, 35, 9, 45, 44, 43, 42, 49, 41, 48, 47, 46, 63, 62, 61, 60, 58, 59, 52, 53, 54, 36, 24, 0]",2,1804.6143670082092
