it,instant,local_optimum_value
0,0.0,42900.0
1,0.5958170890808105,42100.0
2,1.0607709884643555,41400.0
3,1.4107329845428467,41400.0
4,1.9860820770263672,41400.0
5,2.220525026321411,41400.0
6,2.339168071746826,41400.0
7,3.1744940280914307,41400.0
8,3.5298280715942383,41400.0
9,3.7661221027374268,41400.0
10,3.88753604888916,41400.0
11,4.721808195114136,41400.0
12,5.075245141983032,41400.0
13,5.424139976501465,41400.0
14,5.889959096908569,41400.0
15,6.241109132766724,41400.0
16,6.3557329177856445,41400.0
17,7.093385934829712,41400.0
18,7.441787242889404,41400.0
19,7.800781011581421,41400.0
20,8.04512906074524,41400.0
21,8.166791915893555,41400.0
22,9.101254224777222,41400.0
23,9.461806058883667,41400.0
24,9.933023929595947,41400.0
25,10.16292929649353,41400.0
26,10.283215045928955,41400.0
27,11.13909101486206,41400.0
28,11.488519191741943,41400.0
29,11.95943307876587,41400.0
30,12.318223237991333,41400.0
31,12.848770141601562,41400.0
32,13.212433099746704,40900.0
33,13.563940048217773,40900.0
34,13.921235084533691,40900.0
35,14.27341604232788,40900.0
36,14.62497615814209,40900.0
37,14.972126007080078,40900.0
38,15.325979232788086,40900.0
