datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_21-34-51_431074,14900.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 14, 10, 2, 9, 13, 5, 0]",13400.0,"[0, 8, 3, 4, 11, 7, 12, 1, 6, 10, 14, 9, 2, 13, 5, 0]",3,8.798753976821901
2021-01-31_21-35-03_113530,14900.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 14, 10, 2, 9, 13, 5, 0]",12800.0,"[0, 5, 4, 11, 1, 12, 7, 14, 6, 10, 9, 2, 13, 8, 3, 0]",2,15.111545085906982
2021-01-31_21-35-20_001488,14900.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 14, 10, 2, 9, 13, 5, 0]",13400.0,"[0, 8, 3, 4, 11, 7, 12, 1, 6, 10, 14, 9, 2, 13, 5, 0]",3,8.423333883285522
2021-01-31_21-35-30_192989,14900.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 14, 10, 2, 9, 13, 5, 0]",13400.0,"[0, 8, 3, 4, 11, 7, 12, 1, 6, 10, 14, 9, 2, 13, 5, 0]",3,14.062185049057007
2021-01-31_21-35-47_890157,14900.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 14, 10, 2, 9, 13, 5, 0]",13000.0,"[0, 4, 11, 7, 12, 1, 6, 10, 14, 9, 2, 13, 8, 3, 5, 0]",3,9.222688913345335
2021-01-31_21-35-59_554610,14900.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 14, 10, 2, 9, 13, 5, 0]",13400.0,"[0, 8, 3, 4, 11, 7, 12, 1, 6, 10, 14, 9, 2, 13, 5, 0]",3,9.154520750045775
2021-01-31_21-36-10_827287,14900.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 14, 10, 2, 9, 13, 5, 0]",12800.0,"[0, 5, 4, 11, 1, 12, 7, 14, 6, 10, 9, 2, 13, 8, 3, 0]",2,15.44222378730774
2021-01-31_21-36-29_090011,14900.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 14, 10, 2, 9, 13, 5, 0]",13700.0,"[0, 5, 8, 1, 4, 11, 7, 12, 6, 10, 14, 9, 2, 13, 3, 0]",2,15.759585857391356
2021-01-31_21-36-48_269145,14900.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 14, 10, 2, 9, 13, 5, 0]",13400.0,"[0, 8, 3, 4, 11, 7, 12, 1, 6, 10, 14, 9, 2, 13, 5, 0]",2,15.105891942977905
2021-01-31_21-37-07_338900,14900.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 14, 10, 2, 9, 13, 5, 0]",13000.0,"[0, 4, 11, 7, 12, 1, 6, 10, 14, 9, 2, 13, 8, 3, 5, 0]",3,11.77466082572937
