it,instant,local_optimum_value
0,0.0,15000.0
1,0.2375319004058838,15000.0
2,0.4710969924926758,15000.0
3,0.7075328826904297,15000.0
4,0.9390020370483398,15000.0
5,1.1712589263916016,15000.0
6,1.4078691005706787,15000.0
7,1.6430680751800537,15000.0
8,1.8756771087646484,15000.0
9,2.1125829219818115,15000.0
10,2.349846839904785,15000.0
11,2.58634614944458,15000.0
12,2.8233249187469482,15000.0
13,3.0584449768066406,15000.0
14,3.295926809310913,15000.0
15,3.530719041824341,15000.0
16,3.7619669437408447,15000.0
17,3.995837926864624,15000.0
18,4.233760118484497,15000.0
19,4.4707841873168945,15000.0
20,4.708101987838745,15000.0
