it,instant,local_optimum_value
0,0.0,15000.0
1,0.7153911590576172,13700.0
2,1.313727855682373,13700.0
3,1.903386116027832,13700.0
4,2.0203909873962402,13700.0
5,3.5849609375,13700.0
6,3.938939094543457,13700.0
7,4.518238067626953,13700.0
8,4.639137029647827,13700.0
9,6.194828033447266,13700.0
10,6.545960187911987,13700.0
11,7.023601055145264,13000.0
12,7.829012870788574,13000.0
13,8.182448148727417,13000.0
14,8.882263898849487,13000.0
15,9.236439943313599,13000.0
16,9.587446928024292,13000.0
17,9.940643072128296,13000.0
18,10.288354873657227,13000.0
19,10.751031875610352,13000.0
20,11.104159116744995,13000.0
21,11.690623044967651,13000.0
22,12.046027898788452,13000.0
23,12.397471189498901,13000.0
24,12.749364137649536,13000.0
25,13.48524785041809,13000.0
26,14.188580989837646,13000.0
27,14.543617010116577,13000.0
28,14.89612603187561,13000.0
29,15.244725942611694,13000.0
