datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_21-31-39_389106,15000.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 14, 10, 2, 9, 13, 0];[0, 5, 0]",13400.0,"[0, 5, 0];[0, 8, 3, 4, 11, 1, 12, 7, 14, 6, 10, 9, 2, 13, 0]",2,15.04676103591919
2021-01-31_21-31-59_679085,15000.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 14, 10, 2, 9, 13, 0];[0, 5, 0]",13400.0,"[0, 5, 0];[0, 4, 11, 7, 12, 1, 6, 10, 14, 9, 2, 13, 3, 8, 0]",2,15.196287870407104
2021-01-31_21-32-18_162785,15000.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 14, 10, 2, 9, 13, 0];[0, 5, 0]",13300.0,"[0, 5, 0];[0, 8, 1, 12, 7, 11, 4, 6, 10, 14, 9, 2, 13, 3, 0]",2,15.230023860931395
2021-01-31_21-32-36_681498,15000.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 14, 10, 2, 9, 13, 0];[0, 5, 0]",13600.0,"[0, 8, 3, 5, 0];[0, 4, 11, 7, 12, 1, 6, 10, 14, 9, 2, 13, 0]",2,15.101793050765991
2021-01-31_21-32-55_732808,15000.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 14, 10, 2, 9, 13, 0];[0, 5, 0]",13700.0,"[0, 5, 0];[0, 8, 1, 4, 11, 7, 12, 6, 10, 14, 9, 2, 13, 3, 0]",2,15.83612608909607
2021-01-31_21-33-14_841847,15000.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 14, 10, 2, 9, 13, 0];[0, 5, 0]",13000.0,"[0, 5, 0];[0, 4, 11, 7, 12, 1, 6, 10, 14, 9, 2, 13, 8, 3, 0]",2,15.24586296081543
2021-01-31_21-33-32_421154,15000.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 14, 10, 2, 9, 13, 0];[0, 5, 0]",13400.0,"[0, 5, 0];[0, 4, 11, 7, 12, 1, 6, 10, 14, 9, 2, 13, 3, 8, 0]",2,15.35022783279419
2021-01-31_21-33-51_761959,15000.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 14, 10, 2, 9, 13, 0];[0, 5, 0]",13400.0,"[0, 5, 0];[0, 4, 11, 7, 12, 1, 6, 10, 14, 9, 2, 13, 3, 8, 0]",2,15.071367025375366
2021-01-31_21-34-09_742034,15000.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 14, 10, 2, 9, 13, 0];[0, 5, 0]",13500.0,"[0, 5, 0];[0, 8, 3, 4, 11, 7, 12, 1, 6, 10, 14, 9, 2, 13, 0]",2,15.075519323348999
2021-01-31_21-34-26_748713,15000.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 14, 10, 2, 9, 13, 0];[0, 5, 0]",13000.0,"[0, 5, 0];[0, 4, 11, 7, 12, 1, 6, 10, 14, 9, 2, 13, 8, 3, 0]",2,15.034547090530396
