datetime_str,initial_solution_value,initial_solution_routes,local_optimum_value,local_optimum_routes,exit_condition,exec_time
2021-01-31_21-28-27_005982,16100.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 0];[0, 5, 0];[0, 14, 10, 2, 9, 13, 0]",15700.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 0];[0, 5, 0];[0, 14, 10, 9, 2, 13, 0]",2,15.077981948852539
2021-01-31_21-28-47_790749,16100.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 0];[0, 5, 0];[0, 14, 10, 2, 9, 13, 0]",14700.0,"[0, 8, 3, 4, 11, 7, 12, 1, 6, 0];[0, 5, 0];[0, 14, 10, 9, 2, 13, 0]",2,15.079828977584839
2021-01-31_21-29-04_573070,16100.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 0];[0, 5, 0];[0, 14, 10, 2, 9, 13, 0]",14700.0,"[0, 8, 3, 4, 11, 7, 12, 1, 6, 0];[0, 5, 0];[0, 14, 10, 9, 2, 13, 0]",2,15.02816891670227
2021-01-31_21-29-21_916030,16100.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 0];[0, 5, 0];[0, 14, 10, 2, 9, 13, 0]",15700.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 0];[0, 5, 0];[0, 14, 10, 9, 2, 13, 0]",2,15.102548837661743
2021-01-31_21-29-38_920789,16100.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 0];[0, 5, 0];[0, 14, 10, 2, 9, 13, 0]",14700.0,"[0, 8, 3, 4, 11, 7, 12, 1, 6, 0];[0, 5, 0];[0, 14, 10, 9, 2, 13, 0]",2,15.646929025650024
2021-01-31_21-30-00_603740,16100.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 0];[0, 5, 0];[0, 14, 10, 2, 9, 13, 0]",14700.0,"[0, 8, 3, 4, 11, 7, 12, 1, 6, 0];[0, 5, 0];[0, 14, 10, 9, 2, 13, 0]",2,15.035838842391968
2021-01-31_21-30-18_843543,16100.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 0];[0, 5, 0];[0, 14, 10, 2, 9, 13, 0]",14700.0,"[0, 8, 3, 4, 11, 7, 12, 1, 6, 0];[0, 5, 0];[0, 14, 10, 9, 2, 13, 0]",2,15.248167276382446
2021-01-31_21-30-37_638758,16100.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 0];[0, 5, 0];[0, 14, 10, 2, 9, 13, 0]",14700.0,"[0, 8, 3, 4, 11, 7, 12, 1, 6, 0];[0, 5, 0];[0, 14, 10, 9, 2, 13, 0]",2,15.033655643463135
2021-01-31_21-30-55_838492,16100.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 0];[0, 5, 0];[0, 14, 10, 2, 9, 13, 0]",14700.0,"[0, 8, 3, 4, 11, 7, 12, 1, 6, 0];[0, 5, 0];[0, 14, 10, 9, 2, 13, 0]",2,15.01701307296753
2021-01-31_21-31-13_123549,16100.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 0];[0, 5, 0];[0, 14, 10, 2, 9, 13, 0]",15700.0,"[0, 3, 8, 4, 11, 7, 12, 1, 6, 0];[0, 5, 0];[0, 14, 10, 9, 2, 13, 0]",2,15.096261978149414
