original_idx,city,vehicles_capacity,local_optimum_datetime_str,local_optimum_value,avg_percentage_gap,avg_execution_time
1,Bari,30,2021-01-31_23-21-47_284464,15400.0,0.0,5.607022047042847
2,Bari,20,2021-01-31_22-46-27_722875,17900.0,0.0,15.721853971481323
3,Bari,10,2021-01-31_21-57-52_948124,23200.0,0.0,5.165910005569458
4,ReggioEmilia,30,2021-01-31_21-45-38_021082,20400.0,0.0,5.203919887542725
5,ReggioEmilia,20,2021-01-31_21-43-45_058516,25200.0,0.0,5.54877495765686
6,ReggioEmilia,10,2021-01-31_21-40-30_528639,42100.0,0.0,5.28900408744812
7,Bergamo,30,2021-01-31_21-37-21_446106,13400.0,0.0,5.843197822570801
8,Bergamo,20,2021-01-31_21-34-43_844001,15000.0,0.0,4.708897590637207
9,Bergamo,12,2021-01-31_21-31-30_866179,16100.0,0.0,4.708842039108276
10,Parma,30,2021-01-31_23-53-40_720297,31400.0,0.0,6.8804988861083975
11,Parma,20,2021-01-31_23-50-45_517348,31100.0,0.0,5.952162981033325
12,Parma,10,2021-01-31_23-47-49_443701,33500.0,0.0,5.7580721378326425
13,Treviso,30,2021-01-31_23-43-23_729452,29858.0,0.0,15.093277215957642
14,Treviso,20,2021-01-31_23-39-57_515262,35296.0,0.0,15.003168106079102
15,Treviso,10,2021-01-31_23-36-46_683172,37108.0,0.0,5.7226312160491934
16,LaSpezia,30,2021-01-31_23-33-30_897968,21783.0,0.0,15.059115886688232
17,LaSpezia,20,2021-01-31_23-30-01_935838,21783.0,0.0,15.281364917755127
18,LaSpezia,10,2021-01-31_23-26-45_073117,25237.0,0.0,5.37385892868042
19,BuenosAires,30,2021-01-31_23-23-34_215711,92673.0,0.0,4.825827121734619
20,BuenosAires,20,2021-01-31_23-19-18_237328,109383.0,0.0,15.077436923980713
21,Ottawa,30,2021-01-31_23-16-08_238954,18091.0,0.0,15.46613097190857
22,Ottawa,20,2021-01-31_23-12-49_425789,19517.0,0.0,15.46023678779602
23,Ottawa,10,2021-01-31_23-09-23_743658,23005.0,0.0,15.07160997390747
24,SanAntonio,30,2021-01-31_23-06-05_708316,25693.0,0.0,12.966166973114015
25,SanAntonio,20,2021-01-31_23-02-38_997134,30477.0,0.0,6.940845966339111
26,SanAntonio,10,2021-01-31_22-59-30_378937,47964.0,0.0,6.460173845291138
27,Brescia,30,2021-01-31_22-56-11_946916,34900.0,0.0,15.480956077575685
28,Brescia,20,2021-01-31_22-52-47_761937,41200.0,0.0,15.941566944122314
29,Brescia,11,2021-01-31_22-49-22_412369,50000.0,0.0,6.996845006942749
30,Roma,30,2021-01-31_22-43-16_679600,69900.0,0.0,5.79369592666626
31,Roma,20,2021-01-31_22-40-10_546827,72500.0,0.0,8.454642057418821
32,Roma,18,2021-01-31_22-37-51_768420,73400.0,0.0,5.3091700077056885
33,Madison,30,2021-01-31_22-34-43_807308,40510.0,0.0,23.77743721008301
34,Madison,20,2021-01-31_22-29-42_089364,38660.0,0.0,15.161625862121582
35,Madison,10,2021-01-31_22-26-15_719358,47063.0,0.0,26.458386182785034
36,Guadalajara,30,2021-01-31_22-21-32_434742,61301.0,0.0,56.26885509490967
37,Guadalajara,20,2021-01-31_22-11-11_491825,64246.0,0.0,31.38378715515137
38,Guadalajara,11,2021-01-31_22-05-06_550184,74577.0,0.0,15.020783185958862
39,Dublin,30,2021-01-31_22-01-44_310155,42758.0,0.0,16.817692041397095
40,Dublin,20,2021-01-31_21-55-28_182650,50725.0,0.0,15.465965986251831
41,Dublin,11,2021-01-31_21-49-00_397168,69171.0,0.0,12.759442806243895
42,Denver,30,2021-02-02_18-08-26_209202,60423.0,0.0,94.91590094566344
43,Denver,20,2021-02-02_16-18-16_551287,60418.0,0.0,58.32411694526672
44,Denver,10,2021-02-02_14-49-24_188960,87154.0,0.0,17.701751947402954
45,RioDeJaneiro,30,2021-02-02_13-03-42_636861,144744.0,0.0,102.42794299125671
46,RioDeJaneiro,20,2021-02-02_11-10-07_661659,197750.0,0.0,12.153218030929565
47,RioDeJaneiro,10,2021-02-02_09-28-51_489004,307111.0,0.0,24.618552207946774
49,Boston,20,2021-02-02_01-37-35_870077,99720.0,0.0,600.3428909778595
50,Boston,16,2021-02-01_23-56-05_975357,125235.0,0.0,11.714309215545654
51,Torino,30,2021-02-01_22-04-31_897295,64859.0,0.0,600.2031168937682
52,Torino,20,2021-02-01_20-22-11_468260,72917.0,0.0,36.616890907287605
53,Torino,10,2021-02-01_18-14-08_768883,86747.0,0.0,20.165326833724976
54,Toronto,30,2021-02-01_16-22-24_815719,59293.0,0.0,600.0793600082397
55,Toronto,20,2021-02-01_14-30-43_824492,66785.0,0.0,600.4503870010376
56,Toronto,12,2021-02-01_12-39-06_219321,75208.0,0.0,600.2003338336946
57,Miami,30,2021-02-01_10-54-26_141886,161625.0,0.0,187.4824459552765
58,Miami,20,2021-02-01_08-58-40_669022,225852.0,0.0,90.63838291168213
59,Miami,10,2021-02-01_07-14-17_210558,453866.0,0.0,106.12095594406128
60,CiudadDeMexico,30,2021-02-01_05-02-31_214991,114749.0,0.0,57.866333961486816
61,CiudadDeMexico,20,2021-02-01_03-18-59_115934,128455.0,0.0,51.68542695045471
62,CiudadDeMexico,17,2021-02-01_01-35-46_176726,137657.0,0.0,52.905895948410034
63,Minneapolis,30,2021-02-03_16-08-17_771108,176553.0,0.0,41.20486211776733
64,Minneapolis,20,2021-02-03_04-19-40_197402,204185.0,0.0,1800.6163589954376
65,Minneapolis,10,2021-02-02_23-14-05_079531,301420.0,0.0,77.77885389328003
