original_idx,city,vehicles_capacity,local_optimum_datetime_str,local_optimum_value,avg_percentage_gap,avg_execution_time
1,Bari,30,2021-01-31_23-19-35_638032,15400.0,0.0,9.544135284423827
2,Bari,20,2021-01-31_22-43-24_880281,17900.0,0.0,15.500898361206055
3,Bari,10,2021-01-31_21-55-47_005718,21900.0,0.0,10.753392100334167
4,ReggioEmilia,30,2021-01-31_21-43-53_404819,20400.0,0.0,7.581179881095887
5,ReggioEmilia,20,2021-01-31_21-41-17_277321,23800.0,4.915966386554622,15.270578384399414
6,ReggioEmilia,10,2021-01-31_21-40-13_117038,34300.0,16.005830903790088,15.205771493911744
7,Bergamo,30,2021-01-31_21-35-03_113530,12800.0,3.359375,12.28553900718689
8,Bergamo,20,2021-01-31_21-33-14_841847,13000.0,2.8461538461538463,15.218851613998414
9,Bergamo,12,2021-01-31_21-28-47_790749,14700.0,2.0408163265306123,15.13663945198059
10,Parma,30,2021-01-31_23-51-44_108151,29600.0,4.358108108108108,13.976340627670288
11,Parma,20,2021-01-31_23-49-06_404448,30500.0,2.2950819672131146,14.299360513687134
12,Parma,10,2021-01-31_23-47-07_783011,32900.0,3.282674772036474,15.567108106613158
13,Treviso,30,2021-01-31_23-40-16_483038,29858.0,0.0388505593140818,15.482817339897156
14,Treviso,20,2021-01-31_23-39-04_758648,32897.0,6.023649572909379,15.190292716026306
15,Treviso,10,2021-01-31_23-36-29_384108,32064.0,6.41716566866267,15.16169011592865
16,LaSpezia,30,2021-01-31_23-31-18_852374,21705.0,0.6823312600783162,15.640795922279358
17,LaSpezia,20,2021-01-31_23-26-55_156229,21705.0,1.21953466943101,15.594278597831726
18,LaSpezia,10,2021-01-31_23-24-03_116450,24971.0,1.6090665171599026,15.37353582382202
19,BuenosAires,30,2021-01-31_23-21-56_177173,92673.0,0.0,7.158559703826905
20,BuenosAires,20,2021-01-31_23-16-25_618011,109383.0,0.0,15.064321947097778
21,Ottawa,30,2021-01-31_23-13-07_356975,18091.0,0.0,15.683159017562867
22,Ottawa,20,2021-01-31_23-09-58_729487,18091.0,7.094135205350735,16.03852708339691
23,Ottawa,10,2021-01-31_23-06-22_384245,23005.0,0.15518365572701903,15.133642077445984
24,SanAntonio,30,2021-01-31_23-03-05_671138,24736.0,2.5590232858990944,17.210090780258177
25,SanAntonio,20,2021-01-31_23-00-17_664491,30477.0,0.06070151261607114,15.34980251789093
26,SanAntonio,10,2021-01-31_22-58-54_021895,46467.0,2.8456754255708416,15.7778165102005
27,Brescia,30,2021-01-31_22-54-41_735356,31700.0,6.309148264984227,15.863409566879273
28,Brescia,20,2021-01-31_22-51-48_349697,36700.0,5.395095367847412,16.760234975814818
29,Brescia,11,2021-01-31_22-48-13_018860,44800.0,1.1830357142857142,13.310093355178832
30,Roma,30,2021-01-31_22-42-40_425149,69700.0,0.24390243902439024,13.827949595451354
